Ref,x,y,Connectivity,Gate Counts,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
65592,0.68000000,7.04000000,91.00000000,4.00000000,0.14248098,0.25702423,30.15317154,0.28346118,0.77057511,0.00469400,1.06736922,2.63934612,28.69151306,11.31999969
65593,0.68000000,7.08000000,102.00000000,6.00000000,0.16039945,0.15034185,17.09288597,0.34497270,1.26314783,0.02883000,2.05456972,3.66156220,38.37519455,22.07679939
65594,0.68000000,7.12000000,135.00000000,8.00000000,0.19199972,0.13696030,6.38261652,0.47152910,1.50161254,0.02883000,2.39896035,4.19718266,73.01100922,62.73120117
65595,0.68000000,7.16000000,136.00000000,12.00000000,0.19092746,0.13408560,0.95941240,0.47235447,1.50126386,0.02883000,2.43375564,4.23007488,72.05467224,61.19680023
65596,0.68000000,7.20000000,106.00000000,18.00000000,0.15829158,0.13884689,353.72811890,0.36265212,1.26160133,0.02883000,2.19820809,3.78499913,42.23612595,26.40640068
65597,0.68000000,7.24000000,84.00000000,38.00000000,0.12820828,0.17007980,340.84774780,0.29539195,1.27010286,0.01911100,1.60504448,3.07777309,27.22744751,11.82400036
65599,0.68000000,7.32000000,81.00000000,24.00000000,0.12599266,0.39237100,32.34393311,0.23897253,0.50405103,0.01612800,0.55137181,2.00876474,22.34488297,7.31199980
65600,0.68000000,7.36000000,89.00000000,35.00000000,0.13626523,0.22890288,17.64455795,0.21377918,0.48902214,0.02883000,1.18726790,2.73509121,23.43040276,7.48159981
65601,0.68000000,7.40000000,91.00000000,39.00000000,0.14139777,0.24666324,3.74253058,0.20090860,0.47688347,0.02883000,1.10502362,2.68394732,23.32996178,7.29920006
65602,0.68000000,7.44000000,90.00000000,31.00000000,0.14086996,0.24546356,350.96069336,0.20303261,0.47951147,0.02883000,1.11037779,2.68547177,23.02829552,7.20959997
