Ref,x,y,Connectivity,Gate Counts,Point First Moment,Point Second Moment
65592,0.68000000,7.04000000,91.00000000,27.00000000,28.69151306,11.31999969
65593,0.68000000,7.08000000,102.00000000,37.00000000,38.37519455,22.07679939
65594,0.68000000,7.12000000,135.00000000,28.00000000,73.01100922,62.73120117
65595,0.68000000,7.16000000,136.00000000,29.00000000,72.05467224,61.19680023
65596,0.68000000,7.20000000,106.00000000,21.00000000,42.23612595,26.40640068
65597,0.68000000,7.24000000,84.00000000,12.00000000,27.22744751,11.82400036
65599,0.68000000,7.32000000,81.00000000,23.00000000,22.34488297,7.31199980
65600,0.68000000,7.36000000,89.00000000,31.00000000,23.43040276,7.48159981
65601,0.68000000,7.40000000,91.00000000,32.00000000,23.32996178,7.29920006
65602,0.68000000,7.44000000,90.00000000,30.00000000,23.02829552,7.20959997
65603,0.68000000,7.48000000,84.00000000,36.00000000,22.41389275,7.28639984
65604,0.68000000,7.52000000,82.00000000,28.00000000,23.04098892,7.71999979
65606,0.68000000,7.60000000,87.00000000,21.00000000,38.34028244,26.31360054
65607,0.68000000,7.64000000,97.00000000,29.00000000,44.36598587,32.12480164
65608,0.68000000,7.68000000,108.00000000,43.00000000,51.78316116,38.50559998
65609,0.68000000,7.72000000,109.00000000,40.00000000,53.24469757,39.59199905
65610,0.68000000,7.76000000,95.00000000,38.00000000,38.69772339,23.26399994
131128,0.72000000,7.04000000,102.00000000,34.00000000,32.76999283,13.74400043
131129,0.72000000,7.08000000,113.00000000,63.00000000,40.95810318,22.48640060
131130,0.72000000,7.12000000,145.00000000,71.00000000,73.25566101,59.78559875
131131,0.72000000,7.16000000,143.00000000,69.00000000,70.48439789,57.27199936
131132,0.72000000,7.20000000,115.00000000,73.00000000,40.43276978,22.95680046
131133,0.72000000,7.24000000,100.00000000,69.00000000,27.02370262,9.50559998
131135,0.72000000,7.32000000,96.00000000,81.00000000,23.95674515,7.16800022
131136,0.72000000,7.36000000,100.00000000,112.00000000,23.60302544,6.79199982
131137,0.72000000,7.40000000,99.00000000,104.00000000,23.02419472,6.57600021
131138,0.72000000,7.44000000,101.00000000,105.00000000,23.55228233,6.74399996
131139,0.72000000,7.48000000,99.00000000,96.00000000,23.68151855,6.97599983
131140,0.72000000,7.52000000,84.00000000,59.00000000,21.68857002,6.81759977
131142,0.72000000,7.60000000,102.00000000,85.00000000,39.80908585,25.36319923
131143,0.72000000,7.64000000,111.00000000,84.00000000,45.54705429,30.56800079
131144,0.72000000,7.68000000,120.00000000,81.00000000,53.09302902,36.97439957
131145,0.72000000,7.72000000,122.00000000,82.00000000,55.90539169,38.90719986
131146,0.72000000,7.76000000,107.00000000,63.00000000,43.01367188,25.20639992
196664,0.76000000,7.04000000,102.00000000,31.00000000,30.45937729,12.10079956
196665,0.76000000,7.08000000,112.00000000,72.00000000,37.26616287,19.37759972
196666,0.76000000,7.12000000,149.00000000,76.00000000,72.02291107,57.11199951
196667,0.76000000,7.16000000,148.00000000,91.00000000,68.98416138,53.79520035
196668,0.76000000,7.20000000,124.00000000,130.00000000,40.58594894,21.23520088
196669,0.76000000,7.24000000,117.00000000,165.00000000,30.89657021,10.64960003
196670,0.76000000,7.28000000,93.00000000,245.00000000,20.42593384,5.53760004
196671,0.76000000,7.32000000,109.00000000,225.00000000,24.63986969,6.73280001
196672,0.76000000,7.36000000,104.00000000,148.00000000,22.75644875,6.07200003
196673,0.76000000,7.40000000,101.00000000,157.00000000,21.33610535,5.55200005
196674,0.76000000,7.44000000,101.00000000,162.00000000,21.45566559,5.64319992
196675,0.76000000,7.48000000,102.00000000,197.00000000,22.46376228,6.13280010
196676,0.76000000,7.52000000,108.00000000,276.00000000,24.52491379,6.90719986
196677,0.76000000,7.56000000,89.00000000,225.00000000,20.55211449,6.03679991
196678,0.76000000,7.60000000,120.00000000,164.00000000,41.94468307,23.11199951
196679,0.76000000,7.64000000,123.00000000,125.00000000,48.51716232,30.85440063
196680,0.76000000,7.68000000,126.00000000,104.00000000,54.09829330,36.62879944
196681,0.76000000,7.72000000,123.00000000,81.00000000,52.33275223,34.18560028
196682,0.76000000,7.76000000,105.00000000,52.00000000,38.42658615,20.74239922
262200,0.80000000,7.04000000,102.00000000,24.00000000,29.13722801,11.40639973
262201,0.80000000,7.08000000,110.00000000,71.00000000,33.31148911,15.56159973
262202,0.80000000,7.12000000,146.00000000,95.00000000,66.70840454,51.47840118
262203,0.80000000,7.16000000,141.00000000,106.00000000,62.47753906,47.95999908
262204,0.80000000,7.20000000,109.00000000,99.00000000,31.90243340,15.99520016
262205,0.80000000,7.24000000,86.00000000,95.00000000,19.30418015,5.79519987
262207,0.80000000,7.32000000,86.00000000,84.00000000,18.25393867,4.78399992
262208,0.80000000,7.36000000,95.00000000,118.00000000,18.94806290,4.67999983
262209,0.80000000,7.40000000,100.00000000,151.00000000,19.75224495,4.82719994
262210,0.80000000,7.44000000,99.00000000,127.00000000,19.69362259,4.89919996
262211,0.80000000,7.48000000,97.00000000,135.00000000,19.82155418,5.09759998
262212,0.80000000,7.52000000,84.00000000,85.00000000,18.72151566,5.20480013
262214,0.80000000,7.60000000,91.00000000,95.00000000,28.88841629,15.74400043
262215,0.80000000,7.64000000,106.00000000,144.00000000,38.80229568,24.69280052
262216,0.80000000,7.68000000,121.00000000,125.00000000,48.85221100,32.19520187
262217,0.80000000,7.72000000,117.00000000,95.00000000,45.91129684,28.65600014
262218,0.80000000,7.76000000,101.00000000,38.00000000,32.79520798,15.56799984
327736,0.84000000,7.04000000,92.00000000,22.00000000,22.00300598,6.91200018
327737,0.84000000,7.08000000,94.00000000,75.00000000,22.68310165,8.46399975
327738,0.84000000,7.12000000,137.00000000,91.00000000,60.21097183,46.25759888
327739,0.84000000,7.16000000,128.00000000,115.00000000,54.65717697,41.98559952
327740,0.84000000,7.20000000,95.00000000,89.00000000,25.36714935,12.06079960
327741,0.84000000,7.24000000,81.00000000,33.00000000,17.43361473,4.92959976
327743,0.84000000,7.32000000,81.00000000,41.00000000,16.45958710,4.08640003
327744,0.84000000,7.36000000,83.00000000,116.00000000,14.92940044,3.32480001
