Ref,x1,y1,x2,y2,Choice,Choice [Line Length Wgt],Choice [Line Length Wgt][Norm],Choice [Norm],Connectivity,Integration [HH],Line Length,Mean Depth,Mean Depth [Line Length Wgt],Node Count,RA,Total Depth,Total Line Length
0,530635.696268,184468.675646,530732.377854,183731.866556,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,2.8499999,2.2126532,61,0.062711865,171,13793.731
1,530655.080407,184267.843134,531386.664678,184568.766995,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,2.7833333,2.1507094,61,0.060451977,167,13793.731
2,530781.419478,184322.997346,530814.78724,184178.968574,151,5913097,0.062155772,0.085310735,4,1.3502036,147.84348,3.5666666,2.9681807,61,0.087005652,214,13793.731
3,530667.76131,184203.901437,531124.686107,184392.857349,123,10576759,0.11117806,0.069491528,4,1.7621301,494.45386,2.9666667,2.3782876,61,0.06666667,178,13793.731
4,530798.725861,184207.390438,530856.762846,184149.487013,10,1522733.6,0.01600628,0.0056497175,3,1.0608743,81.982307,4.2666669,3.7115657,61,0.11073446,256,13793.731
5,530747.870324,184145.998012,530810.755405,184207.340453,10,1555573.4,0.016351476,0.0056497175,3,1.0608743,87.848892,4.2666669,3.710254,61,0.11073446,256,13793.731
6,530753.938689,184164.022852,530781.427723,183967.049235,66,3922796,0.041234639,0.037288137,3,1.2914991,198.88251,3.6833334,3.1503384,61,0.09096045,221,13793.731
7,530638.070845,184123.954322,531070.977779,184116.826362,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,2.8499999,2.2712638,61,0.062711865,171,13793.731
8,530837.494138,183967.908989,530855.674498,184153.675814,59,3421053,0.035960544,0.033333335,3,1.2914991,186.65433,3.6833334,3.1525366,61,0.09096045,221,13793.731
9,530776.925919,183970.168342,530838.112518,183968.488823,52,2569898.8,0.0270136,0.029378532,3,1.2525985,61.209644,3.7666667,3.4303253,61,0.093785308,226,13793.731
10,530803.879024,183673.983124,530817.351454,183970.908131,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,3.2,2.7956841,61,0.074576274,192,13793.731
11,530803.31836,183742.403539,530916.415863,183745.002795,6,2027136.2,0.021308329,0.0033898305,2,1.3328934,113.12737,3.5999999,2.9800205,61,0.088135593,216,13793.731
12,530912.186147,183663.646083,530932.996681,184418.919889,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,2.6833334,2.0483947,61,0.057062145,161,13793.731
13,530995.213912,184191.1051,531426.867596,184272.091918,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,3.2166667,2.7363062,61,0.075141244,193,13793.731
14,530992.995991,184260.565217,531006.303519,184067.090599,36,4887256,0.051372603,0.020338982,2,1.3679695,193.93173,3.5333333,2.9841175,61,0.085875705,212,13793.731
15,531065.503058,184264.454104,531069.386482,184200.262479,11,1241007,0.013044897,0.0062146895,3,1.1060178,64.308983,4.1333332,3.658536,61,0.10621469,248,13793.731
16,531014.260003,184282.658893,531076.262863,184252.777446,0,912474,0.0095915096,0,2,1.0718112,68.827721,4.2333331,3.7678835,61,0.10960452,254,13793.731
17,531055.856337,184254.05708,531446.820644,184352.768824,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,3.3,2.8284242,61,0.077966101,198,13793.731
18,531101.674141,184455.949289,531227.444303,184068.530187,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,2.55,2.0906422,61,0.052542374,153,13793.731
19,531214.16151,184067.600453,531445.270572,184127.80322,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,2.7166667,2.4149785,61,0.058192089,163,13793.731
20,531166.28244,183883.173244,531225.605654,184081.636435,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,2.4833333,2.0975304,61,0.050282486,149,13793.731
21,531103.958023,183944.145791,531189.244935,183939.966987,0,1152857.2,0.012118309,0,1,1.4049417,85.389229,3.4666667,3.0851495,61,0.083615817,208,13793.731
22,531274.235025,184528.638482,531297.510832,184441.573404,0,1163713.4,0.012232422,0,1,1.2525985,90.122643,3.7666667,3.1376421,61,0.093785308,226,13793.731
23,531332.577077,184583.962646,531443.794706,184125.074001,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,2.5999999,2.1917222,61,0.054237287,156,13793.731
24,531026.454449,184114.297086,531441.626255,184200.71235,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,2.6666667,2.2358756,61,0.056497175,160,13793.731
25,531379.087467,183726.907975,531438.204555,184206.79061,705,27842404,0.29266661,0.39830509,8,2.28496,483.51025,2.5166667,2.2431903,61,0.05141243,151,13793.731
26,531370.314722,183511.419658,531409.569458,184011.596484,64,8276266,0.086996324,0.036158193,5,1.8080988,501.71484,2.9166667,2.6150637,61,0.064971752,175,13793.731
27,531287.1303,183716.111065,531396.253684,183759.488649,114,4365175.5,0.045884728,0.064406782,5,1.5517266,117.42882,3.2333333,3.0352588,61,0.075706214,194,13793.731
28,531294.394199,183777.773415,531391.413833,183726.268158,123,3808731.2,0.040035643,0.069491528,5,1.5872623,109.84353,3.1833334,3.019012,61,0.074011296,191,13793.731
29,531303.999695,183967.539095,531311.931444,183765.686875,295,7454536.5,0.07835868,0.16666667,4,1.5177472,202.008,3.2833333,3.1061518,61,0.077401131,197,13793.731
30,531069.774,183880.95388,531403.294966,183913.414588,597,24337468,0.25582433,0.33728814,9,2.1887512,335.09689,2.5833333,2.2417359,61,0.053672317,155,13793.731
31,531055.773886,183973.477395,531081.160429,183854.721389,58,2181829.8,0.022934398,0.032768361,3,1.5872623,121.43914,3.1833334,2.7848537,61,0.074011296,191,13793.731
32,530979.070082,183853.471746,531006.056167,183971.198048,58,2446526,0.025716761,0.032768361,2,1.4049417,120.77968,3.4666667,3.0126004,61,0.083615817,208,13793.731
33,531002.370625,183965.559662,531057.760946,183972.597647,1,768207.38,0.0080750445,0.00056497176,2,1.1060178,55.835659,4.1333332,3.7592456,61,0.10621469,248,13793.731
34,530675.049944,183881.16382,531237.536258,183892.420597,739,34329532,0.36085635,0.41751412,10,2.28496,562.59894,2.5166667,2.0382085,61,0.05141243,151,13793.731
35,531246.803707,183901.647956,531247.100529,183877.364907,0,326251.34,0.0034294049,0,1,1.3502036,24.284863,3.5666666,3.2382147,61,0.087005652,214,13793.731
36,531378.13104,184039.148597,531423.297484,184035.389673,68,967737.31,0.010172412,0.038418081,2,1.414499,45.32259,3.45,3.2279208,61,0.083050847,207,13793.731
37,531365.837654,184048.645878,531385.988583,184035.489644,2,335066.16,0.0035220622,0.0011299435,2,1.0718112,24.065462,4.2333331,4.0683317,61,0.10960452,254,13793.731
38,531360.008395,184112.477607,531368.607994,184041.148025,48,1256455.4,0.013207285,0.027118644,2,1.3077444,71.8461,3.6500001,3.3977861,61,0.08983051,219,13793.731
39,531176.638237,183932.709065,531212.594948,183499.852969,225,12328213,0.12958854,0.12711865,6,1.9432838,434.34695,2.7833333,2.3879004,61,0.060451977,167,13793.731
40,531191.28971,183523.406227,531385.782456,183575.241389,86,7919797,0.083249286,0.048587572,4,1.5633937,201.28168,3.2166667,2.7539303,61,0.075141244,193,13793.731
41,530904.180192,183681.79089,531226.595062,183515.558473,146,14165075,0.14889678,0.082485877,5,1.718441,362.74588,3.0166667,2.470819,61,0.06836158,181,13793.731
42,531087.294754,183504.461649,531157.699331,183893.960157,8,5541017,0.058244638,0.0045197741,3,1.6244638,395.81042,3.1333334,2.6539471,61,0.072316386,188,13793.731
43,531029.208299,183891.140964,531030.230687,183855.631128,0,468768.06,0.0049274755,0,1,1.3862091,35.524551,3.5,3.0330577,61,0.084745765,210,13793.731
44,531182.681866,183748.751722,531275.851057,183743.153325,56,2671849.2,0.028085258,0.031638417,3,1.3590285,93.337242,3.55,3.2752559,61,0.086440675,213,13793.731
45,531240.760077,183741.113908,531312.920852,183782.89195,30,1499127.1,0.015758138,0.016949153,4,1.3160213,83.382149,3.6333334,3.5002115,61,0.08926554,218,13793.731
46,531238.319539,183754.010217,531308.056265,183714.501526,19,1446493,0.015204873,0.010734463,4,1.2525985,80.15078,3.7666667,3.5738239,61,0.093785308,226,13793.731
