Ref,x1,y1,x2,y2,Connectivity,Line Length
0,4.563755,5.01449239403,5.007673,5.9306970016,7,1.0180836
1,4.60875267611,4.936522,5.007673,5.86074516485,6,1.0066409
2,4.69701779633,4.936522,5.007673,6.03827421671,8,1.1447116
3,4.64913357216,4.936522,5.007673,6.416263,8,1.5225583
4,4.7536157283,5.09256,4.89185535459,6.86589,9,1.77871
5,2.699644,5.35065197019,5.200392,5.12776640014,14,2.5106609
6,1.165755,6.719113,5.012308,6.63811571336,10,3.8474057
7,0.982795,6.01022094859,5.007673,5.93218006048,16,4.0256343
8,1.470921,6.01310907788,5.007673,5.93069265423,14,3.5377121
9,3.836244,6.114967,5.007673,5.85529272815,8,1.1998652
10,4.40146062891,5.44413,4.70699188828,4.936522,6,0.5924654
11,3.195668,5.03388545918,4.543783,5.31511643162,3,1.3771365
12,3.94140092422,4.971474,4.11505173775,6.86589,6,1.9023582
13,2.65184335729,4.909674,3.32728130909,6.114967,8,1.3816468
14,1.947722,5.09744241681,3.242329,5.49219348312,8,1.3534533
15,2.81903540581,6.002979,3.36241934342,5.155383,8,1.0068192
16,2.367031,5.64238747379,3.404885,5.155383,7,1.1464355
17,3.024554,4.789643,3.09941959778,7.169408,9,2.3809423
18,2.313601,6.27581539904,3.434089,6.42665104586,1,1.1305948
19,2.70149947465,4.909674,2.79495914033,6.002979,7,1.0972924
20,2.54581610915,5.472367,2.82262675794,6.002979,5,0.59847575
21,0.897346,5.13705002665,2.552807,5.25799114676,9,1.6598729
22,2.04232365997,7.259111,2.12662960649,4.973272,10,2.2873931
23,0.65117,7.19981711131,2.180503,7.10628141413,6,1.5321907
24,1.61334417537,7.52656,2.178199,6.89507050572,4,0.84725434
25,1.229219,6.97706010379,2.178199,6.90631747898,4,0.95161313
26,0.877484,6.51563822252,2.20638384546,6.82794908583,9,1.3651054
27,1.76283211456,7.781322,1.891032,7.035306,3,0.75695115
28,1.46244227115,4.919209,1.67779324863,5.44413,6,0.56737828
29,1.30748893201,5.496596,1.568479,5.03007857214,6,0.53455997
30,1.393771,4.919209,1.568479,5.12719335072,6,0.27162543
31,0.982795,5.78317319435,1.568479,5.0591535694,9,0.93125194
32,0.982795,5.73288091002,1.6733076755,6.114967,6,0.78917521
33,0.897346,5.23788628063,1.568479,5.04612917346,7,0.69799018
34,0.65117,7.781322,1.93462,7.572438,3,1.3003371
35,0.877484,6.831563,2.21369984688,6.54970619376,9,1.3656193
36,0.982795,6.01489908158,1.47286553039,4.919209,10,1.2002941
37,1.393771,4.919209,1.453427,5.496596,6,0.58046067
38,1.11119999207,6.821965,1.350191,6.564016,8,0.35164526
39,1.232614,6.564016,1.415837,7.781322,9,1.2310177
40,0.982795,5.524291,1.415837,7.50275714535,13,2.0253034
41,0.877484,6.58602432295,1.35640143516,6.57022651091,7,0.47917792
42,1.20320676193,5.096047,1.21257143194,6.821965,12,1.7259434
43,0.877484,6.54033662142,1.12445097988,6.821965,4,0.37457606
44,0.877484,6.432042,1.071846,6.831563,4,0.44429001
45,0.687421142857,7.035306,0.827830541192,7.781322,2,0.75911438
