Ref,x1,y1,x2,y2,Connectivity,Line Length
0,3967.64500541,1438.02964282,6156.61414826,1609.07306083,38,2195.6416
1,4130.29553472,1394.45317198,6156.61414826,1627.93430686,42,2039.7256
2,4497.68514232,1336.08057922,6156.61414826,1672.45787073,43,1692.6887
3,4325.70100019,1363.40623047,6156.61414826,1648.53529699,41,1852.9818
4,4612.55241031,1317.82992619,6156.61414826,1692.86185479,47,1588.9542
5,4807.8354816,1306.80243124,6069.18846891,1700.9311562,46,1321.4949
6,4926.15367977,1313.48377501,6019.32865788,1700.9311562,42,1159.8047
7,5138.22267377,1339.29590581,5939.67240001,1700.9311562,29,879.26202
8,5349.92727917,1372.9325315,5847.7680483,1700.9311562,26,596.17828
9,3967.64500541,1438.02964282,5349.92727917,1372.9325315,46,1383.8142
10,3967.64500541,1569.33259087,5349.92727917,1372.9325315,41,1396.1652
11,3459.79783738,1700.9311562,5349.92727917,1372.9325315,36,1918.3776
12,3988.07798722,1432.55534624,5349.92727917,1372.9325315,44,1363.1538
13,3967.64500541,1438.02964282,5345.93269564,1372.29785324,43,1379.8542
14,3967.64500541,1569.33259087,5273.09937011,1360.72575114,40,1322.0166
15,3523.42560327,1700.9311562,5258.96224741,1358.47957844,37,1768.9999
16,4128.81170952,1394.85071059,5378.46607261,1379.16467256,44,1249.7528
17,3967.64500541,1438.02964282,5648.02595779,1438.02964282,44,1680.381
18,3967.64500541,1569.33259087,5648.02595779,1438.02964282,37,1685.5031
19,3459.05681493,1663.86749456,5648.02595779,1438.02964282,30,2200.5881
20,4130.29553472,1394.45317198,5648.02595779,1438.02964282,46,1518.3558
21,4497.68514232,1336.08057922,5648.02595779,1438.02964282,43,1154.8496
22,4227.64885913,1378.98521687,5648.02595779,1438.02964282,43,1421.6038
23,4577.01926067,1323.47560051,5648.02595779,1438.02964282,42,1077.1156
24,5138.22267377,1339.29590581,5648.02595779,1438.02964282,19,519.27618
25,4497.68514232,1336.08057922,5523.88039752,1410.91943423,38,1028.9205
26,4612.55241031,1317.82992619,5648.02595779,1447.95697767,43,1043.618
27,4807.8354816,1306.80243124,5648.02595779,1508.91478597,40,864.1582
28,5003.11855289,1317.82992619,5693.35590762,1700.9311562,40,789.42645
29,3967.64500541,1569.33259087,5003.11855289,1317.82992619,45,1065.5792
30,3668.55385684,1700.9311562,5003.11855289,1317.82992619,46,1388.463
31,4497.68514232,1336.08057922,5003.11855289,1317.82992619,24,505.76282
32,3967.64500541,1466.18484098,5003.11855289,1317.82992619,42,1046.0471
33,4612.55241031,1317.82992619,5003.11855289,1317.82992619,19,390.56613
34,3967.64500541,1569.33259087,4807.8354816,1306.80243124,44,880.25116
35,3739.31184414,1700.9311562,4807.8354816,1306.80243124,47,1138.8943
36,4497.68514232,1336.08057922,4807.8354816,1306.80243124,19,311.52921
37,3967.64500541,1532.9085515,4807.8354816,1306.80243124,39,870.08276
38,4807.8354816,1306.80243124,5117.903723,1336.06753512,20,311.44623
39,3967.64500541,1438.02964282,5117.903723,1336.06753512,43,1154.7689
40,3967.64500541,1569.33259087,5117.903723,1336.06753512,42,1173.6727
41,3608.78179253,1700.9311562,5117.903723,1336.06753512,41,1552.6025
42,4497.68514232,1336.08057922,5117.903723,1336.06753512,28,620.21857
43,3975.97528542,1435.79783819,5117.903723,1336.06753512,38,1146.2751
44,4612.55241031,1317.82992619,5117.903723,1336.06753512,25,505.6803
45,4005.61670124,1700.9311562,4612.55241031,1317.82992619,43,717.73077
46,3967.64500541,1438.02964282,5110.84078219,1334.94534179,41,1147.834
47,3967.64500541,1569.33259087,4732.15020477,1311.07632453,40,806.94763
48,3774.35064951,1700.9311562,4674.58891652,1314.32676918,45,979.74072
49,4130.29553472,1394.45317198,5382.41464627,1380.02693985,44,1252.2023
50,3967.64500541,1569.33259087,4130.29553472,1394.45317198,25,238.82631
51,3926.83609268,1700.9311562,4130.29553472,1394.45317198,34,367.86478
52,3821.51605109,1700.9311562,4477.38132963,1339.30654469,35,748.95367
53,3459.05681493,1621.91517078,6156.61414826,1557.702176,21,2698.3215
54,3967.64500541,1438.02964282,4477.38132963,1339.30654469,19,519.20844
55,3967.64500541,1569.33259087,4477.38132963,1339.30654469,28,559.23438
56,3967.64500541,1438.02964282,4007.69003369,1700.9311562,29,265.93384
