Ref,x1,y1,x2,y2,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration [HH] R3,Integration [P-value] R3,Integration [Tekl] R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3
0,-48.3119906868,25.4947613504,18.8591385332,26.8917345751,2,1.5142466,3.6923077,1.1,0.5678072,0.60206002,1.6824962,67.185654,2.1111112,10,1.3243603
1,-33.9930151339,-14.6682188591,-33.2945285215,36.3213038417,3,1.5262643,4.6153846,1.2052853,0.57038748,0.62747359,1.5262643,50.994308,2.1818182,12,1.4668683
2,-44.2374854482,-11.5250291036,20.8381839348,-8.61466821886,2,1.5388472,3.4285715,0.98558021,0.53667498,0.57015699,1.7312031,65.140717,2.125,9,1.293768
3,4.42374854482,-21.5366705471,7.10128055879,6.28637951106,2,1.5491613,2.6666667,0.84912294,0.53210753,0.51139158,2.1688259,27.951588,2,7,1.0911623
4,3.95809080326,0.34924330617,16.8800931315,-0.93131548312,2,1.4575424,1.6,0.70398736,0.55935729,0.36907023,3.6438563,12.985298,1.75,5,0.79481012
5,14.5518044237,4.88940628638,15.3667054715,-1.28055878929,1,1.5,1.3333334,0.33333334,0.33333334,0,3,6.2235465,2,4,0.81028318
6,-34.8079161816,11.059371362,-23.7485448196,11.1757857974,2,1.5085742,4,1.1058542,0.54504734,0.60528529,1.5085742,11.059984,2.2,11,1.4395257
7,-25.4947613504,4.88940628638,-24.4470314319,13.3876600698,3,1.5388472,3.4285715,1.2671746,0.69001073,0.64379281,2.3082709,8.5625963,1.875,9,1.0680546
8,-26.6589057043,5.12223515716,-14.318975553,5.93713620489,2,1.5491613,2.6666667,0.84912294,0.53210753,0.51139158,2.1688259,12.366808,2,7,1.0911623
9,-15.5995343423,3.02677532014,-15.3667054715,13.8533178114,2,1.4874687,2,0.87255627,0.60375935,0.5,2.9749374,10.829045,1.8,6,0.87540293
10,-25.8440046566,13.1548311991,10.1280558789,12.1071012806,3,1.4413203,2.1818182,1.2736844,0.79816127,0.66096407,3.3630807,35.987316,1.6666666,7,0.85354406
11,4.42374854482,10.3608847497,4.77299185099,17.3457508731,1,1.4874687,2,0.58170414,0.40250626,0.3868528,1.7849625,6.9935918,2.2,6,1.2149562
12,-5.00582072177,40.7450523865,3.72526193248,35.3899883586,1,1.5,1.3333334,0.33333334,0.33333334,0,3,10.242486,2,4,0.81028318
13,-4.54016298021,34.8079161816,-0.58207217695,39.5809080326,2,1.4874687,2,0.69804502,0.48300749,0.43067655,2.2312031,6.2006397,2,6,1.1120105
14,-20.605355064,36.6705471478,-2.21187427241,30.6169965076,1,1.4874687,2,0.58170414,0.40250626,0.3868528,1.7849625,19.364029,2.2,6,1.2149562
15,-15.1338766007,38.8824214203,-13.6204889406,22.8172293364,3,1.5388472,3.4285715,1.1087778,0.60375935,0.60245162,1.9785179,16.136318,2,9,1.2209314
16,-16.9965075669,37.2526193248,-0.46565774156,35.9720605355,2,1.4413203,2.1818182,1.0189475,0.638529,0.56932342,2.5223105,16.580376,1.8333334,7,0.99900293
