Ref,x1,y1,x2,y2,Choice,Choice [Norm],Connectivity,Entropy,Harmonic Mean Depth,Integration [HH],Integration [P-value],Integration [Tekl],Intensity,Line Length,Mean Depth,Node Count,Relativised Entropy
2,-5.81583213806,-3.31179332733,-3.23101782799,1.47011303902,0,0,2,1.2619444,4.4444447,1.5154221,1.5154221,0.68604112,1.4913888,5.4357972,2,13,1.4914869
4,-1.26009690762,-1.40549278259,2.6494345665,1.34087240696,8,0.12121212,5,1.3296816,3.6585367,2.273133,2.273133,0.81981057,2.4694088,4.7777567,1.6666666,13,1.0967137
5,2.45557355881,5.54119539261,4.39418411255,3.69951534271,0,0,1,1.3296816,3.6585367,1.1365665,1.1365665,0.61485791,1.1523907,2.6739478,2.3333333,13,1.7289333
8,-9.337641716,-1.37318253517,-6.39741516113,2.27786755562,2,0.030303031,4,1.2887533,3.5897436,2.0205629,2.0205629,0.7758643,2.094224,4.6877604,1.75,13,1.2201209
9,-10.662358284,-0.0484652668238,-7.7544426918,-1.89014542103,0,0,3,1.2038761,3.4285715,1.8185065,1.8185065,0.7403627,1.7389321,3.4420574,1.8333334,13,1.3791672
10,-3.81260085106,-2.31017780304,-1.16316640377,0.565428137779,1,0.015151516,3,1.3845311,5.1219511,1.6531878,1.6531878,0.71093518,1.7998905,3.9100654,1.9166666,13,1.3098779
11,-12.5040388107,4.60420036316,-2.35864305496,-1.4378029108,6,0.090909094,5,1.3296816,3.6585367,2.273133,2.273133,0.81981057,2.4694088,11.808254,1.6666666,13,1.0967137
12,-14.4426498413,-0.630048453808,5.65428113937,0.791599333286,49,0.74242425,10,0.70661503,6.6666665,9.0925322,9.0925322,2.4594316,9.1859961,20.147152,1.1666666,13,0.96668845
13,-1.48626816273,0.145395800471,2.71405482292,-2.08400654793,0,0,2,1.4535002,5.4545455,1.1365665,1.1365665,0.61485791,1.2597001,4.7553072,2.3333333,13,1.650112
14,-10.2100162506,5.12116336823,7.49596118927,-0.339256852865,1,0.015151516,4,0.95425206,10.666667,2.273133,2.273133,0.81981057,1.7721823,18.528837,1.6666666,13,1.4271461
15,-14.1841678619,-2.2455573082,6.52665567398,6.02584791183,30,0.45454547,7,1.0110886,11.666667,3.637013,3.637013,1.0592196,3.2860379,22.301443,1.4166666,13,1.0668586
17,-7.85137319565,7.60904693604,2.55250406265,-2.60096931458,19,0.28787878,6,1.0296713,12,3.0308442,3.0308442,0.95143801,2.6771452,14.576868,1.5,13,1.1594622
18,-2.74636507034,0.533117949963,2.58481431007,-2.56865906715,4,0.060606062,4,1.2887533,3.5897436,2.0205629,2.0205629,0.7758643,2.094224,6.1678596,1.75,13,1.2201209
