Ref,x1,y1,x2,y2,Connectivity,Entropy,Harmonic Mean Depth,Integration [HH],Integration [P-value],Integration [Tekl],Intensity,Line Length,Mean Depth,Node Count,RA,RA [Penn],RRA,Relativised Entropy,Total Depth
0,-48.3119906868,25.4947613504,18.8591385332,26.8917345751,2,2.2288017,4.1999998,0.86089426,0.35036874,0.57138318,1.1481706,67.185654,3.125,17,0.28333333,0.37037036,1.1615828,1.7158482,50
1,-33.9930151339,-14.6682188591,-33.2945285215,36.3213038417,3,2.1341171,3.3070867,1.0093243,0.41077715,0.59837425,1.2957139,50.994308,2.8125,17,0.24166666,0.46296296,0.99076182,1.5617118,45
2,-44.2374854482,-11.5250291036,20.8381839348,-8.61466821886,2,2.4196908,2.909091,0.7702738,0.31348783,0.5539121,1.1117498,65.140717,3.375,17,0.31666666,0.41538462,1.2982396,1.7289604,54
3,4.42374854482,-21.5366705471,7.10128055879,6.28637951106,2,2.6261482,2.5116279,0.59735519,0.243113,0.51772767,0.93009412,27.951588,4.0625,17,0.40833333,0.34666666,1.6740458,2.0456951,65
4,3.95809080326,0.34924330617,16.8800931315,-0.93131548312,2,2.7437952,1.9672132,0.4721033,0.1921377,0.48820874,0.76466423,12.985298,4.875,17,0.51666665,0.26190478,2.1181805,2.4072747,78
5,14.5518044237,4.88940628638,15.3667054715,-1.28055878929,1,2.8614423,1.670886,0.38013512,0.15470828,0.46385664,0.64005947,6.2235465,5.8125,17,0.64166665,0.16304348,2.6306434,2.6201115,93
6,-34.8079161816,11.059371362,-23.7485448196,11.1757857974,2,2.3908539,2.8235295,0.86089426,0.35036874,0.57138318,1.231652,11.059984,3.125,17,0.28333333,0.47692308,1.1615828,1.5882056,50
7,-25.4947613504,4.88940628638,-24.4470314319,13.3876600698,3,2.654985,2.5714285,0.71391231,0.2905497,0.54257816,1.1283686,8.5625963,3.5625,17,0.34166667,0.45333335,1.4007323,1.8408129,57
8,-26.6589057043,5.12223515716,-14.318975553,5.93713620489,2,2.8614423,2.3076923,0.54204452,0.22060254,0.50511682,0.91782111,12.366808,4.375,17,0.44999999,0.35714287,1.8448669,2.1111569,70
9,-15.5995343423,3.02677532014,-15.3667054715,13.8533178114,2,2.9790893,1.8857143,0.45031393,0.1832698,0.48268235,0.79132062,10.829045,5.0625,17,0.54166669,0.29347825,2.2206731,2.4738891,81
10,-25.8440046566,13.1548311991,10.1280558789,12.1071012806,3,2.8170371,2.1428571,0.56289244,0.22908725,0.50994146,0.93901235,35.987316,4.25,17,0.43333334,0.38095239,1.7765385,2.2122009,68
11,4.42374854482,10.3608847497,4.77299185099,17.3457508731,1,2.9790893,1.8857143,0.43687171,0.17779906,0.4792034,0.7673412,6.9935918,5.1875,17,0.55833334,0.27173913,2.2890015,2.3817103,83
12,-5.00582072177,40.7450523865,3.72526193248,35.3899883586,1,2.934684,1.7837838,0.36588007,0.14890671,0.45981076,0.63151431,10.242486,6,17,0.66666669,0.13043478,2.7331362,2.7271187,96
13,-4.54016298021,34.8079161816,-0.58207217695,39.5809080326,2,2.8170371,2.1428571,0.45031393,0.1832698,0.48268235,0.74827546,6.2006397,5.0625,17,0.54166669,0.22619048,2.2206731,2.5427082,81
14,-20.605355064,36.6705471478,-2.21187427241,30.6169965076,1,2.654985,2.5714285,0.52268583,0.21272388,0.50055331,0.82063168,19.364029,4.5,17,0.46666667,0.25333333,1.9131953,2.1961927,72
15,-15.1338766007,38.8824214203,-13.6204889406,22.8172293364,3,2.4929326,3.4285715,0.71391231,0.2905497,0.54257816,1.0594964,16.136318,3.5625,17,0.34166667,0.36923078,1.4007323,1.9309597,57
16,-16.9965075669,37.2526193248,-0.46565774156,35.9720605355,2,2.654985,2.5714285,0.56289244,0.22908725,0.50994146,0.88499498,16.580376,4.25,17,0.43333334,0.30666667,1.7765385,2.2566061,68
