Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length
0,530635.696268,184468.675646,530661.691978,184270.562683,2,0,3,199.81122
1,530661.691978,184270.562683,530670.301217,184204.951786,4,0,6,66.173325
2,530670.301217,184204.951786,530681.022227,184123.247113,4,0,6,82.40506
3,530681.022227,184123.247113,530712.688736,183881.917068,4,0,6,243.39876
4,530712.688736,183881.917068,530730.767941,183744.135682,4,0,6,138.96246
5,530730.767941,183744.135682,530732.377854,183731.866556,2,0,3,12.374299
6,530655.080407,184267.843134,530661.691978,184270.562683,2,1,3,7.1490431
7,530661.691978,184270.562683,530782.093572,184320.087685,4,1,6,130.18936
8,530782.093572,184320.087685,530931.972172,184381.737517,4,1,6,162.06264
9,530931.972172,184381.737517,531102.93655,184452.060599,4,1,6,184.86253
10,531102.93655,184452.060599,531275.708412,184523.127156,4,1,6,186.81696
11,531275.708412,184523.127156,531340.829339,184549.913463,4,1,6,70.41478
12,531340.829339,184549.913463,531386.664678,184568.766995,2,1,3,49.561417
13,530781.419478,184322.997346,530782.093572,184320.087685,2,2,3,2.9867253
14,530782.093572,184320.087685,530796.661501,184257.206605,4,2,6,64.546532
15,530796.661501,184257.206605,530808.682633,184205.318529,4,2,6,53.262371
16,530808.682633,184205.318529,530811.051613,184195.093051,4,2,6,10.496307
17,530811.051613,184195.093051,530814.78724,184178.968574,2,2,3,16.551546
18,530667.76131,184203.901437,530670.301217,184204.951786,2,3,3,2.7485197
19,530670.301217,184204.951786,530796.661501,184257.206605,4,3,6,136.73875
20,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603
21,530930.06091,184312.372373,531122.455508,184391.934911,4,3,6,208.19673
22,531122.455508,184391.934911,531124.686107,184392.857349,2,3,3,2.4138064
23,530798.725861,184207.390438,530804.698203,184201.43184,2,4,3,8.4364538
24,530804.698203,184201.43184,530811.051613,184195.093051,4,4,6,8.9747467
25,530811.051613,184195.093051,530855.397836,184150.848882,4,4,6,62.642906
26,530855.397836,184150.848882,530856.762846,184149.487013,2,4,3,1.9281958
27,530747.870324,184145.998012,530755.425648,184153.367996,2,5,3,10.5546
28,530755.425648,184153.367996,530804.698203,184201.43184,4,5,6,68.832535
29,530804.698203,184201.43184,530808.682633,184205.318529,4,5,6,5.5661507
30,530808.682633,184205.318529,530810.755405,184207.340453,2,5,3,2.8956106
31,530753.938689,184164.022852,530755.425648,184153.367996,2,6,3,10.758114
32,530755.425648,184153.367996,530759.810269,184121.949841,4,6,6,31.722631
33,530759.810269,184121.949841,530781.008068,183970.056291,4,6,6,153.36557
34,530781.008068,183970.056291,530781.427723,183967.049235,2,6,3,3.0361972
35,530638.070845,184123.954322,530681.022227,184123.247113,2,7,3,42.957203
36,530681.022227,184123.247113,530759.810269,184121.949841,4,7,6,78.798721
37,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635
38,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705
39,530924.739254,184119.234229,531002.805399,184117.948843,4,7,6,78.076729
40,531002.805399,184117.948843,531040.97912,184117.3203,4,7,6,38.178894
41,531040.97912,184117.3203,531060.782857,184116.994225,4,7,6,19.806421
42,531060.782857,184116.994225,531070.977779,184116.826362,2,7,3,10.196303
43,530837.494138,183967.908989,530837.552389,183968.504198,2,8,3,0.59805268
44,530837.552389,183968.504198,530852.420354,184120.424984,4,8,6,152.64659
45,530852.420354,184120.424984,530855.397836,184150.848882,4,8,6,30.569248
46,530855.397836,184150.848882,530855.674498,184153.675814,2,8,3,2.8404379
47,530776.925919,183970.168342,530781.008068,183970.056291,2,9,3,4.0836859
48,530781.008068,183970.056291,530817.267644,183969.060997,4,9,6,36.273235
49,530817.267644,183969.060997,530837.552389,183968.504198,4,9,6,20.292385
50,530837.552389,183968.504198,530838.112518,183968.488823,2,9,3,0.56033993
51,530803.879024,183673.983124,530804.10279,183678.914813,2,10,3,4.9367628
52,530804.10279,183678.914813,530806.987301,183742.48786,4,10,6,63.638454
53,530806.987301,183742.48786,530810.256885,183814.547701,4,10,6,72.13398
54,530810.256885,183814.547701,530813.405101,183883.932657,4,10,6,69.456345
55,530813.405101,183883.932657,530817.267644,183969.060997,4,10,6,85.215919
56,530817.267644,183969.060997,530817.351454,183970.908131,2,10,3,1.8490347
57,530803.31836,183742.403539,530806.987301,183742.48786,2,11,3,3.6699102
58,530806.987301,183742.48786,530914.42656,183744.957076,4,11,6,107.46763
59,530914.42656,183744.957076,530916.415863,183745.002795,2,11,3,1.9898283
60,530912.186147,183663.646083,530912.244928,183665.779416,2,12,3,2.1341424
61,530912.244928,183665.779416,530912.566958,183677.466796,4,12,6,11.691815
62,530912.566958,183677.466796,530914.42656,183744.957076,4,12,6,67.515892
63,530914.42656,183744.957076,530916.388132,183816.148133,4,12,6,71.218079
64,530916.388132,183816.148133,530918.31369,183886.032144,4,12,6,69.910538
65,530918.31369,183886.032144,530922.424921,184035.240495,4,12,6,149.26498
66,530922.424921,184035.240495,530924.739254,184119.234229,4,12,6,84.025612
67,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144
68,530930.06091,184312.372373,530931.972172,184381.737517,4,12,6,69.391472
69,530931.972172,184381.737517,530932.996681,184418.919889,2,12,3,37.196484
70,530995.213912,184191.1051,530997.74097,184191.579226,2,13,3,2.571151
71,530997.74097,184191.579226,531069.101814,184204.96794,4,13,6,72.605972
72,531069.101814,184204.96794,531176.603948,184225.137479,4,13,6,109.37788
73,531176.603948,184225.137479,531408.976546,184268.735201,4,13,6,236.42712
74,531408.976546,184268.735201,531426.867596,184272.091918,2,13,3,18.20322
75,530992.995991,184260.565217,530997.74097,184191.579226,2,14,3,69.148979
76,530997.74097,184191.579226,531002.805399,184117.948843,4,14,6,73.804344
77,531002.805399,184117.948843,531006.303519,184067.090599,2,14,3,50.978405
78,531065.503058,184264.454104,531065.907547,184257.768052,2,15,3,6.698276
79,531065.907547,184257.768052,531065.977455,184256.612488,4,15,6,1.1576769
80,531065.977455,184256.612488,531069.101814,184204.96794,4,15,6,51.738968
81,531069.101814,184204.96794,531069.386482,184200.262479,2,15,3,4.7140641
82,531014.260003,184282.658893,531065.907547,184257.768052,2,16,3,57.332561
83,531065.907547,184257.768052,531067.505019,184256.998171,4,16,6,1.773312
84,531067.505019,184256.998171,531076.262863,184252.777446,2,16,3,9.7218494
85,531055.856337,184254.05708,531065.977455,184256.612488,2,17,3,10.438733
86,531065.977455,184256.612488,531067.505019,184256.998171,4,17,6,1.5755012
87,531067.505019,184256.998171,531158.779512,184280.043406,4,17,6,94.138809
88,531158.779512,184280.043406,531391.966563,184338.919115,4,17,6,240.50478
89,531391.966563,184338.919115,531446.820644,184352.768824,2,17,3,56.575478
90,531101.674141,184455.949289,531102.93655,184452.060599,2,18,3,4.08847
91,531102.93655,184452.060599,531122.455508,184391.934911,4,18,6,63.214619
92,531122.455508,184391.934911,531139.683702,184338.865635,4,18,6,55.795689
93,531139.683702,184338.865635,531158.779512,184280.043406,4,18,6,61.844196
94,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696
95,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333
96,531200.805668,184150.587138,531224.447434,184077.761662,4,18,6,76.566856
97,531224.447434,184077.761662,531226.686905,184070.863256,4,18,6,7.2528086
98,531226.686905,184070.863256,531227.444303,184068.530187,2,18,3,2.4529297
99,531214.16151,184067.600453,531222.022192,184069.648122,2,19,3,8.1230087
100,531222.022192,184069.648122,531226.686905,184070.863256,4,19,6,4.8203835
101,531226.686905,184070.863256,531282.101437,184085.298468,4,19,6,57.263824
102,531282.101437,184085.298468,531360.813158,184105.802482,4,19,6,81.338486
103,531360.813158,184105.802482,531427.917161,184123.282742,4,19,6,69.343399
104,531427.917161,184123.282742,531443.26017,184127.27952,4,19,6,15.855036
105,531443.26017,184127.27952,531445.270572,184127.80322,2,19,3,2.0774934
106,531166.28244,183883.173244,531168.490957,183890.561739,2,20,3,7.7115107
107,531168.490957,183890.561739,531168.634422,183891.041697,4,20,6,0.50094116
108,531168.634422,183891.041697,531177.606206,183921.056404,4,20,6,31.326914
109,531177.606206,183921.056404,531183.34523,183940.256055,4,20,6,20.039038
110,531183.34523,183940.256055,531206.527247,184017.810468,4,20,6,80.945
111,531206.527247,184017.810468,531222.022192,184069.648122,4,20,6,54.103935
112,531222.022192,184069.648122,531224.447434,184077.761662,4,20,6,8.468255
113,531224.447434,184077.761662,531225.605654,184081.636435,2,20,3,4.0441732
114,531103.958023,183944.145791,531183.34523,183940.256055,2,21,3,79.482445
115,531183.34523,183940.256055,531189.244935,183939.966987,2,21,3,5.9067822
116,531274.235025,184528.638482,531275.708412,184523.127156,2,22,3,5.7048731
117,531275.708412,184523.127156,531297.510832,184441.573404,2,22,3,84.41777
118,531332.577077,184583.962646,531340.829339,184549.913463,2,23,3,35.034935
119,531340.829339,184549.913463,531374.160466,184412.387824,4,23,6,141.50713
120,531374.160466,184412.387824,531391.966563,184338.919115,4,23,6,75.595688
121,531391.966563,184338.919115,531408.976546,184268.735201,4,23,6,72.215797
122,531408.976546,184268.735201,531426.238998,184197.509594,4,23,6,73.287651
123,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101
124,531433.414157,184167.904584,531443.26017,184127.27952,4,23,6,41.801193
125,531443.26017,184127.27952,531443.794706,184125.074001,2,23,3,2.2693708
126,531026.454449,184114.297086,531040.97912,184117.3203,2,24,3,14.835966
127,531040.97912,184117.3203,531060.553704,184121.39462,4,24,6,19.99411
