Ref,x1,y1,x2,y2,Angular Connectivity,Axial Choice,Axial Choice [Line Length Wgt],Axial Choice [Line Length Wgt][Norm],Axial Choice [Norm],Axial Connectivity,Axial Integration [HH],Axial Line Length,Axial Line Ref,Axial Mean Depth,Axial Mean Depth [Line Length Wgt],Axial Node Count,Axial RA,Axial Total Depth,Axial Total Line Length,Connectivity,Segment Length
0,530635.696268,184468.675646,530661.691978,184270.562683,2,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,3,199.81122
1,530661.691978,184270.562683,530670.301217,184204.951786,4,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,6,66.173325
2,530670.301217,184204.951786,530681.022227,184123.247113,4,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,6,82.40506
3,530681.022227,184123.247113,530712.688736,183881.917068,4,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,6,243.39876
4,530712.688736,183881.917068,530730.767941,183744.135682,4,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,6,138.96246
5,530730.767941,183744.135682,530732.377854,183731.866556,2,182,17580946,0.18480287,0.10282486,5,1.8732555,743.12512,0,2.8499999,2.2126532,61,0.062711865,171,13793.731,3,12.374299
6,530655.080407,184267.843134,530661.691978,184270.562683,2,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,3,7.1490431
7,530661.691978,184270.562683,530782.093572,184320.087685,4,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,6,130.18936
8,530782.093572,184320.087685,530931.972172,184381.737517,4,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,6,162.06264
9,530931.972172,184381.737517,531102.93655,184452.060599,4,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,6,184.86253
10,531102.93655,184452.060599,531275.708412,184523.127156,4,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,6,186.81696
11,531275.708412,184523.127156,531340.829339,184549.913463,4,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,6,70.41478
12,531340.829339,184549.913463,531386.664678,184568.766995,2,360,25343200,0.26639614,0.20338982,6,1.9432838,791.0567,1,2.7833333,2.1507094,61,0.060451977,167,13793.731,3,49.561417
13,530781.419478,184322.997346,530782.093572,184320.087685,2,151,5913097,0.062155772,0.085310735,4,1.3502036,147.84348,2,3.5666666,2.9681807,61,0.087005652,214,13793.731,3,2.9867253
14,530782.093572,184320.087685,530796.661501,184257.206605,4,151,5913097,0.062155772,0.085310735,4,1.3502036,147.84348,2,3.5666666,2.9681807,61,0.087005652,214,13793.731,6,64.546532
15,530796.661501,184257.206605,530808.682633,184205.318529,4,151,5913097,0.062155772,0.085310735,4,1.3502036,147.84348,2,3.5666666,2.9681807,61,0.087005652,214,13793.731,6,53.262371
