Ref,x1,y1,x2,y2,Angular Connectivity,Axial Connectivity,Axial Line Length,Axial Line Ref,Connectivity,Segment Length
0,-5.81583213806,-3.31179332733,-4.20764438674,-0.33664605413,2,2,5.4357972,2,3,3.3819771
1,-4.20764438674,-0.33664605413,-3.96562402619,0.111091602836,4,2,5.4357972,2,6,0.50896251
2,-3.96562402619,0.111091602836,-3.23101782799,1.47011303902,2,2,5.4357972,2,3,1.5448577
3,-1.26009690762,-1.40549278259,-0.42394104316,-0.818110541425,2,5,4.7777567,4,3,1.0218486
4,-0.42394104316,-0.818110541425,-0.0998735793475,-0.590459835049,4,5,4.7777567,4,6,0.39603606
5,-0.0998735793475,-0.590459835049,0.251966821262,-0.343299213652,4,5,4.7777567,4,6,0.42997679
6,0.251966821262,-0.343299213652,1.44350368279,0.493730844866,4,5,4.7777567,4,6,1.4561523
7,1.44350368279,0.493730844866,2.46594108604,1.21197202323,4,5,4.7777567,4,6,1.2494993
8,2.46594108604,1.21197202323,2.6494345665,1.34087240696,2,5,4.7777567,4,3,0.22424354
9,2.45557355881,5.54119539261,3.30132734535,4.737729285,2,1,2.6739478,5,3,1.1665579
10,3.30132734535,4.737729285,4.39418411255,3.69951534271,2,1,2.6739478,5,3,1.5073898
11,-9.337641716,-1.37318253517,-9.07859836893,-1.05151336506,2,4,4.6877604,8,3,0.41300666
12,-9.07859836893,-1.05151336506,-8.3946506296,-0.202215731292,4,4,4.6877604,8,6,1.0904545
13,-8.3946506296,-0.202215731292,-8.07549323801,0.194100539509,4,4,4.6877604,8,6,0.50884968
14,-8.07549323801,0.194100539509,-7.11064370424,1.39221024708,4,4,4.6877604,8,6,1.5383112
15,-7.11064370424,1.39221024708,-6.39741516113,2.27786755562,2,4,4.6877604,8,3,1.1371385
16,-10.662358284,-0.0484652668238,-10.2161444871,-0.331067381038,2,3,3.4420574,9,3,0.52817678
17,-10.2161444871,-0.331067381038,-9.8968322517,-0.533298494101,4,3,3.4420574,9,6,0.37796524
18,-9.8968322517,-0.533298494101,-9.07859836893,-1.05151336506,4,3,3.4420574,9,6,0.96853155
19,-9.07859836893,-1.05151336506,-7.7544426918,-1.89014542103,2,3,3.4420574,9,3,1.5673838
20,-3.81260085106,-2.31017780304,-2.77847665908,-1.18777461505,2,3,3.9100654,10,3,1.5261723
21,-2.77847665908,-1.18777461505,-1.73505520933,-0.0552805000322,4,3,3.9100654,10,6,1.5398933
22,-1.73505520933,-0.0552805000322,-1.41556664868,0.291481505712,4,3,3.9100654,10,6,0.47150487
23,-1.41556664868,0.291481505712,-1.16316640377,0.565428137779,2,3,3.9100654,10,3,0.37249514
24,-12.5040388107,4.60420036316,-7.11064370424,1.39221024708,2,5,11.808254,11,3,6.2773871
25,-7.11064370424,1.39221024708,-6.2937195971,0.905698114021,4,5,11.808254,11,6,0.95082021
26,-6.2937195971,0.905698114021,-4.85394418459,0.0482522375301,4,5,11.808254,11,6,1.6757585
27,-4.85394418459,0.0482522375301,-4.20764438674,-0.33664605413,4,5,11.808254,11,6,0.75223011
28,-4.20764438674,-0.33664605413,-2.77847665908,-1.18777461505,4,5,11.808254,11,6,1.6634122
29,-2.77847665908,-1.18777461505,-2.35864305496,-1.4378029108,2,5,11.808254,11,3,0.48864546
30,-14.4426498413,-0.630048453808,-10.2161444871,-0.331067381038,2,10,20.147152,12,3,4.2370672
31,-10.2161444871,-0.331067381038,-9.21273547936,-0.260086682704,4,10,20.147152,12,6,1.0059165
32,-9.21273547936,-0.260086682704,-8.3946506296,-0.202215731292,4,10,20.147152,12,6,0.82012916
33,-8.3946506296,-0.202215731292,-4.85394418459,0.0482522375301,4,10,20.147152,12,6,3.5495543
34,-4.85394418459,0.0482522375301,-3.96562402619,0.111091602836,4,10,20.147152,12,6,0.89054
35,-3.96562402619,0.111091602836,-2.23181055037,0.233740782131,4,10,20.147152,12,6,1.7381462
36,-2.23181055037,0.233740782131,-1.41556664868,0.291481505712,4,10,20.147152,12,6,0.81828362
37,-1.41556664868,0.291481505712,-0.463494617518,0.358830649596,4,10,20.147152,12,6,0.9544512
38,-0.463494617518,0.358830649596,1.44350368279,0.493730844866,4,10,20.147152,12,6,1.9117638
39,1.44350368279,0.493730844866,4.1695996928,0.686573640801,4,10,20.147152,12,6,2.7329082
40,4.1695996928,0.686573640801,5.65428113937,0.791599333286,2,10,20.147152,12,3,1.4883915
41,-1.48626816273,0.145395800471,-0.0998735793475,-0.590459835049,2,2,4.7553072,13,3,1.5695775
42,-0.0998735793475,-0.590459835049,1.21492596379,-1.28831502361,4,2,4.7553072,13,6,1.4885226
43,1.21492596379,-1.28831502361,2.71405482292,-2.08400654793,2,2,4.7553072,13,3,1.6972072
44,-10.2100162506,5.12116336823,-3.07365001264,2.92034962364,2,4,18.528837,14,3,7.4680185
45,-3.07365001264,2.92034962364,-2.04417298564,2.60286491011,4,4,18.528837,14,6,1.0773205
46,-2.04417298564,2.60286491011,2.46594108604,1.21197202323,4,4,18.528837,14,6,4.7197151
47,2.46594108604,1.21197202323,4.1695996928,0.686573640801,4,4,18.528837,14,6,1.7828337
48,4.1695996928,0.686573640801,7.49596118927,-0.339256852865,2,4,18.528837,14,3,3.4809494
49,-14.1841678619,-2.2455573082,-9.8968322517,-0.533298494101,2,7,22.301443,15,3,4.6166086
50,-9.8968322517,-0.533298494101,-9.21273547936,-0.260086682704,4,7,22.301443,15,6,0.73663634
51,-9.21273547936,-0.260086682704,-8.07549323801,0.194100539509,4,7,22.301443,15,6,1.224584
52,-8.07549323801,0.194100539509,-6.2937195971,0.905698114021,4,7,22.301443,15,6,1.9186163
53,-6.2937195971,0.905698114021,-2.54593891991,2.40247165386,4,7,22.301443,15,6,4.0356154
54,-2.54593891991,2.40247165386,-2.04417298564,2.60286491011,4,7,22.301443,15,6,0.54030222
55,-2.04417298564,2.60286491011,3.30132734535,4.737729285,4,7,22.301443,15,6,5.756042
56,3.30132734535,4.737729285,6.52665567398,6.02584791183,2,7,22.301443,15,3,3.473038
