Ref,x1,y1,x2,y2,Connectivity,Data Map Ref,Line Length
0,530661.691978,184270.562683,530670.301217,184204.951786,2,0,66.173325
1,530670.301217,184204.951786,530681.022227,184123.247113,3,1,82.40506
2,530681.022227,184123.247113,530712.688736,183881.917068,4,2,243.39876
3,530712.688736,183881.917068,530730.767941,183744.135682,2,3,138.96246
4,530661.691978,184270.562683,530782.093572,184320.087685,2,4,130.18936
5,530782.093572,184320.087685,530931.972172,184381.737517,4,5,162.06264
6,530931.972172,184381.737517,531102.93655,184452.060599,4,6,184.86253
7,531102.93655,184452.060599,531275.708412,184523.127156,4,7,186.81696
8,531275.708412,184523.127156,531340.829339,184549.913463,2,8,70.41478
9,530782.093572,184320.087685,530796.661501,184257.206605,4,9,64.546532
10,530796.661501,184257.206605,530808.682633,184205.318529,4,10,53.262371
11,530808.682633,184205.318529,530811.051613,184195.093051,1,11,10.496307
12,530670.301217,184204.951786,530796.661501,184257.206605,4,12,136.73875
13,530796.661501,184257.206605,530930.06091,184312.372373,4,13,144.35603
14,530930.06091,184312.372373,531122.455508,184391.934911,2,14,208.19673
15,530804.698203,184201.43184,530811.051613,184195.093051,2,15,8.9747467
16,530811.051613,184195.093051,530855.397836,184150.848882,2,16,62.642906
17,530755.425648,184153.367996,530804.698203,184201.43184,1,17,68.832535
18,530804.698203,184201.43184,530808.682633,184205.318529,3,18,5.5661507
19,530755.425648,184153.367996,530759.810269,184121.949841,1,19,31.722631
20,530759.810269,184121.949841,530781.008068,183970.056291,2,20,153.36557
21,530681.022227,184123.247113,530759.810269,184121.949841,2,21,78.798721
22,530759.810269,184121.949841,530852.420354,184120.424984,4,22,92.622635
23,530852.420354,184120.424984,530924.739254,184119.234229,3,23,72.328705
24,530924.739254,184119.234229,531002.805399,184117.948843,2,24,78.076729
25,531002.805399,184117.948843,531040.97912,184117.3203,2,25,38.178894
26,531040.97912,184117.3203,531060.782857,184116.994225,3,26,19.806421
27,530837.552389,183968.504198,530852.420354,184120.424984,2,27,152.64659
28,530852.420354,184120.424984,530855.397836,184150.848882,2,28,30.569248
29,530781.008068,183970.056291,530817.267644,183969.060997,2,29,36.273235
30,530817.267644,183969.060997,530837.552389,183968.504198,1,30,20.292385
31,530804.10279,183678.914813,530806.987301,183742.48786,4,31,63.638454
32,530806.987301,183742.48786,530810.256885,183814.547701,4,32,72.13398
33,530810.256885,183814.547701,530813.405101,183883.932657,3,33,69.456345
34,530813.405101,183883.932657,530817.267644,183969.060997,3,34,85.215919
35,530806.987301,183742.48786,530914.42656,183744.957076,2,35,107.46763
36,530912.244928,183665.779416,530912.566958,183677.466796,1,36,11.691815
37,530912.566958,183677.466796,530914.42656,183744.957076,3,37,67.515892
38,530914.42656,183744.957076,530916.388132,183816.148133,3,38,71.218079
39,530916.388132,183816.148133,530918.31369,183886.032144,4,39,69.910538
