Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
38,0.66000000,7.08000000,2.56671214,39.00000000,16.14000702,10.42199993
39,0.66000000,7.14000000,2.50326109,46.00000000,24.59118462,21.43079948
40,0.66000000,7.20000000,2.54865694,35.00000000,14.15540791,8.93879986
42,0.66000000,7.32000000,3.34304357,35.00000000,9.34003258,2.96639991
43,0.66000000,7.38000000,2.84304357,40.00000000,10.20815849,3.16799998
44,0.66000000,7.44000000,2.96870947,35.00000000,8.51910400,2.57399988
45,0.66000000,7.50000000,3.04787636,35.00000000,9.34003258,2.96639991
47,0.66000000,7.62000000,2.87338018,41.00000000,21.50289726,17.51040077
48,0.66000000,7.68000000,2.79421329,44.00000000,20.71555710,15.29640007
49,0.66000000,7.74000000,2.71504641,43.00000000,19.48905373,13.26599979
65574,0.72000000,7.08000000,2.57002783,42.00000000,15.99015141,9.69120026
65575,0.72000000,7.14000000,2.50326109,52.00000000,25.00289154,20.02680016
65576,0.72000000,7.20000000,2.55213571,42.00000000,14.46628666,8.38080025
65578,0.72000000,7.32000000,2.84304357,41.00000000,9.32731056,2.54879999
65579,0.72000000,7.38000000,3.04787636,42.00000000,8.96524715,2.35080004
65580,0.72000000,7.44000000,3.13821077,42.00000000,8.96524715,2.35080004
65581,0.72000000,7.50000000,3.18708539,40.00000000,8.96612740,2.43000007
65583,0.72000000,7.62000000,2.88381624,48.00000000,20.63355064,14.61600018
65584,0.72000000,7.68000000,2.79421329,49.00000000,20.80438995,14.16240025
65585,0.72000000,7.74000000,2.70387888,47.00000000,19.86268616,12.78719997
131110,0.78000000,7.08000000,2.57370758,47.00000000,16.96795273,9.32400036
131111,0.78000000,7.14000000,2.50326109,55.00000000,24.52680397,18.40320015
131112,0.78000000,7.20000000,2.56097698,48.00000000,15.60370541,8.21160030
131113,0.78000000,7.26000000,2.54787636,45.00000000,11.06357765,3.52080011
131114,0.78000000,7.32000000,3.34304357,46.00000000,9.51834202,2.37599993
131115,0.78000000,7.38000000,3.34304357,46.00000000,9.00217342,2.12400007
131116,0.78000000,7.44000000,3.34304357,45.00000000,8.67906380,2.01959991
131117,0.78000000,7.50000000,3.34304357,47.00000000,9.82428265,2.46959996
131118,0.78000000,7.56000000,3.34304357,31.00000000,6.82004833,1.91880000
131119,0.78000000,7.62000000,2.89498377,56.00000000,21.18447876,12.81960011
131120,0.78000000,7.68000000,2.79421329,53.00000000,21.59004784,14.20199966
131121,0.78000000,7.74000000,2.68907642,50.00000000,19.56577301,11.72159958
196646,0.84000000,7.08000000,2.58764601,34.00000000,8.76250267,3.61439991
196647,0.84000000,7.14000000,2.50326109,46.00000000,19.16096115,14.50800037
196648,0.84000000,7.20000000,2.62704325,36.00000000,10.68726254,5.95800018
196650,0.84000000,7.32000000,3.97138453,36.00000000,7.15860605,1.74600005
196651,0.84000000,7.38000000,3.84304357,35.00000000,5.93245077,1.23479998
196652,0.84000000,7.44000000,3.63821077,38.00000000,6.84849834,1.52639997
196653,0.84000000,7.50000000,3.54787636,35.00000000,6.91121960,1.68480003
196655,0.84000000,7.62000000,2.90978622,38.00000000,13.44343281,8.03880024
196656,0.84000000,7.68000000,2.79421329,46.00000000,17.84958649,11.87279987
196657,0.84000000,7.74000000,2.66854739,41.00000000,13.13754749,6.88679981
262149,0.90000000,5.10000000,1.26181698,80.00000000,32.73764801,16.26840019
262150,0.90000000,5.16000000,1.15037656,91.00000000,45.30130386,34.53839874
262151,0.90000000,5.22000000,1.18066883,90.00000000,43.33089828,33.15599823
262152,0.90000000,5.28000000,1.23359823,80.00000000,29.51815224,14.76360035
262153,0.90000000,5.34000000,1.30633473,75.00000000,26.04678535,11.62800026
262154,0.90000000,5.40000000,1.36621594,74.00000000,26.83385849,12.25080013
262155,0.90000000,5.46000000,1.44691873,72.00000000,27.13816833,12.18599987
262172,0.90000000,6.48000000,1.22755957,25.00000000,9.63487339,5.95440006
262173,0.90000000,6.54000000,1.32725537,19.00000000,3.63952994,0.98280001
262174,0.90000000,6.60000000,1.63722515,16.00000000,2.32923174,0.42120001
262175,0.90000000,6.66000000,1.80672646,13.00000000,1.95361757,0.34200001
262176,0.90000000,6.72000000,1.47973228,7.00000000,0.89613986,0.14399999
262177,0.90000000,6.78000000,1.23300052,10.00000000,1.69534993,0.36359999
262182,0.90000000,7.08000000,2.70809388,31.00000000,6.31249905,1.66680002
262183,0.90000000,7.14000000,2.50326109,44.00000000,17.47346306,12.61079979
262184,0.90000000,7.20000000,2.59675097,32.00000000,7.67842054,3.08520007
262186,0.90000000,7.32000000,4.12471199,34.00000000,6.58114243,1.58039999
262187,0.90000000,7.38000000,4.04787636,32.00000000,5.02270794,0.95400000
262188,0.90000000,7.44000000,3.84304357,31.00000000,4.63852072,0.80640000
262189,0.90000000,7.50000000,3.71737766,34.00000000,6.58114243,1.58039999
262191,0.90000000,7.62000000,2.93031526,38.00000000,12.62071133,7.01280022
262192,0.90000000,7.68000000,2.79421329,41.00000000,15.39915657,9.92520046
262193,0.90000000,7.74000000,2.63825512,36.00000000,9.48387241,3.86640000
327685,0.96000000,5.10000000,1.29516709,82.00000000,31.09652328,14.74199963
327686,0.96000000,5.16000000,1.14886439,93.00000000,42.51575089,30.87000084
327687,0.96000000,5.22000000,1.18066883,92.00000000,40.63651276,29.82239914
327688,0.96000000,5.28000000,1.23838472,79.00000000,25.27159882,11.44799995
327689,0.96000000,5.34000000,1.31987786,78.00000000,24.21743011,9.89280033
327690,0.96000000,5.40000000,1.38550162,77.00000000,25.10808182,10.59119987
327691,0.96000000,5.46000000,1.47583604,72.00000000,24.31167793,9.95040035
327708,0.96000000,6.48000000,1.31789398,17.00000000,2.94843268,0.67320001
327709,0.96000000,6.54000000,1.17868507,24.00000000,5.55511475,2.25359988
327710,0.96000000,6.60000000,1.72755957,18.00000000,2.16292715,0.30960000
327711,0.96000000,6.66000000,1.77489948,17.00000000,2.03593516,0.28080001
327712,0.96000000,6.72000000,1.57006681,14.00000000,1.87148988,0.31320000
327713,0.96000000,6.78000000,1.23300052,15.00000000,2.47276974,0.51480001
327718,0.96000000,7.08000000,2.79842830,31.00000000,6.45135498,1.68840003
327719,0.96000000,7.14000000,2.50326109,42.00000000,16.19852829,11.06639957
327720,0.96000000,7.20000000,2.54787636,29.00000000,5.60568905,1.35360003
327722,0.96000000,7.32000000,4.23649740,32.00000000,6.22177839,1.48679996
327723,0.96000000,7.38000000,4.13821077,31.00000000,5.09770632,1.03680003
327724,0.96000000,7.44000000,3.96870947,31.00000000,5.09770632,1.03680003
327725,0.96000000,7.50000000,3.84304357,31.00000000,5.75316334,1.26719999
327727,0.96000000,7.62000000,2.96060753,36.00000000,10.93198967,5.50080013
327728,0.96000000,7.68000000,2.79421329,43.00000000,15.81974125,9.44639969
327729,0.96000000,7.74000000,2.58938050,31.00000000,6.80789137,2.00519991
393221,1.02000000,5.10000000,1.30633473,88.00000000,33.50370407,16.78319931
393222,1.02000000,5.16000000,1.14719343,96.00000000,40.85511398,27.41040039
393223,1.02000000,5.22000000,1.18066883,96.00000000,39.74020767,27.70560074
393224,1.02000000,5.28000000,1.25111544,81.00000000,23.39509201,9.67319965
393225,1.02000000,5.34000000,1.33662713,79.00000000,22.00840759,8.16479969
393226,1.02000000,5.40000000,1.43843091,75.00000000,21.16810799,7.68240023
393227,1.02000000,5.46000000,1.51116753,71.00000000,21.46588135,7.83360004
393229,1.02000000,5.58000000,1.49115872,91.00000000,43.34988785,25.81920052
393230,1.02000000,5.64000000,1.44228411,94.00000000,40.50537109,22.15080070
393231,1.02000000,5.70000000,1.33714724,100.00000000,40.95536804,21.25799942
393232,1.02000000,5.76000000,1.27278280,106.00000000,43.21392059,22.84560013
393233,1.02000000,5.82000000,1.17068458,112.00000000,46.60991287,26.50320053
393234,1.02000000,5.88000000,1.06795001,116.00000000,48.33191681,27.47879982
393235,1.02000000,5.94000000,0.94228411,223.00000000,300.79418945,724.28039551
393236,1.02000000,6.00000000,0.92175508,224.00000000,301.49008179,724.49279785
393237,1.02000000,6.06000000,1.01900339,108.00000000,41.80269241,21.42720032
393238,1.02000000,6.12000000,1.13557541,102.00000000,39.03260803,19.90800095
393239,1.02000000,6.18000000,1.23737919,97.00000000,38.41374969,20.68919945
393240,1.02000000,6.24000000,1.32289088,97.00000000,41.44226074,23.90760040
393241,1.02000000,6.30000000,1.39333749,95.00000000,44.43724823,27.76320076
393242,1.02000000,6.36000000,1.45105338,95.00000000,48.82481766,32.66640091
393244,1.02000000,6.48000000,1.52272677,15.00000000,2.27684236,0.41400000
393245,1.02000000,6.54000000,1.19989789,27.00000000,7.84675217,3.99959993
393246,1.02000000,6.60000000,1.83425927,16.00000000,1.92115414,0.26280001
