Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
38,0.66000000,7.08000000,39.00000000,0.15917793,0.14857012,15.47885990,0.36919290,1.28285205,0.00883000,2.07259274,3.66927814,16.14000702,10.42199993
39,0.66000000,7.14000000,46.00000000,0.18834190,0.13248464,3.05509377,0.49638104,1.52089500,0.00883000,2.44800615,4.22664356,24.59118462,21.43079948
40,0.66000000,7.20000000,35.00000000,0.15134567,0.12647253,352.34191895,0.39369282,1.30059505,0.00883000,2.31737685,3.87785745,14.15540791,8.93879986
42,0.66000000,7.32000000,35.00000000,0.12441619,0.38794976,29.22006798,0.25696495,0.52235883,0.00883000,0.56374598,2.00750041,9.34003258,2.96639991
43,0.66000000,7.38000000,40.00000000,0.13252042,0.22052383,10.89568710,0.23118475,0.50308353,0.00883000,1.22357202,2.74801159,10.20815849,3.16799998
44,0.66000000,7.44000000,35.00000000,0.13413692,0.22665864,351.07510376,0.22898151,0.49872091,0.00883000,1.19398701,2.72704911,8.51910400,2.57399988
45,0.66000000,7.50000000,35.00000000,0.12588386,0.37392539,332.24221802,0.25329253,0.52669120,0.00883000,0.60174018,2.05682564,9.34003258,2.96639991
47,0.66000000,7.62000000,41.00000000,0.15746002,0.20575824,7.75294447,0.46059391,1.28211617,0.00883000,1.59799874,3.10106921,21.50289726,17.51040077
48,0.66000000,7.68000000,44.00000000,0.17941108,0.16251138,357.11511230,0.47051758,1.27611637,0.00883000,2.06158280,3.72466898,20.71555710,15.29640007
49,0.66000000,7.74000000,43.00000000,0.16640420,0.15581529,346.88040161,0.42285234,1.28444731,0.00883000,2.08038259,3.66338086,19.48905373,13.26599979
65574,0.72000000,7.08000000,42.00000000,0.17533596,0.12569237,28.53237343,0.29606497,1.22380197,0.04469400,2.49797916,4.18683624,15.99015141,9.69120026
65575,0.72000000,7.14000000,52.00000000,0.20874174,0.11730473,8.82825375,0.40461579,1.46091628,0.06883000,2.83231878,4.72880936,25.00289154,20.02680016
65576,0.72000000,7.20000000,42.00000000,0.17486812,0.12091454,358.13177490,0.28939733,1.22213733,0.05911100,2.53655457,4.26305532,14.46628666,8.38080025
65578,0.72000000,7.32000000,41.00000000,0.15093189,0.24691702,28.67729568,0.17941344,0.47801223,0.01612800,1.12045693,2.77153230,9.32731056,2.54879999
65579,0.72000000,7.38000000,42.00000000,0.15499727,0.27339363,9.70468998,0.14707193,0.44463199,0.06883000,1.00495040,2.66914868,8.96524715,2.35080004
65580,0.72000000,7.44000000,42.00000000,0.15433605,0.27426949,349.94863892,0.14666343,0.44130328,0.06883000,1.00003481,2.65919304,8.96524715,2.35080004
65581,0.72000000,7.50000000,40.00000000,0.15401228,0.25974652,332.30416870,0.17026389,0.48312542,0.02656000,1.05979705,2.72965479,8.96612740,2.43000007
65583,0.72000000,7.62000000,48.00000000,0.18275464,0.15856065,3.81081939,0.35408726,1.22298157,0.04756200,2.10408974,3.80576015,20.63355064,14.61600018
65584,0.72000000,7.68000000,49.00000000,0.20140241,0.13999216,350.58969116,0.37880096,1.21628976,0.06883000,2.46157813,4.25192308,20.80438995,14.16240025
65585,0.72000000,7.74000000,47.00000000,0.18429820,0.13061333,336.04776001,0.34246245,1.22558010,0.04132200,2.53006577,4.21086884,19.86268616,12.78719997
131110,0.78000000,7.08000000,47.00000000,0.17842928,0.12718455,41.46918869,0.23526779,1.16497433,0.04469400,2.40464950,4.19875765,16.96795273,9.32400036
131111,0.78000000,7.14000000,55.00000000,0.21901408,0.12197529,13.84342194,0.33121011,1.40093994,0.10469400,2.73117256,4.75012493,24.52680397,18.40320015
131112,0.78000000,7.20000000,48.00000000,0.19131133,0.13231827,9.86441803,0.18968678,1.16309822,0.05972129,2.35348034,4.26250935,15.60370541,8.21160030
131113,0.78000000,7.26000000,45.00000000,0.17227903,0.20800927,355.77539062,0.09669493,0.67437088,0.00851600,1.71515048,3.22611451,11.06357765,3.52080011
131114,0.78000000,7.32000000,46.00000000,0.16210337,0.28737649,47.71565628,0.09645248,0.47044665,0.01823827,0.77083421,2.66241241,9.51834202,2.37599993
