Ref,x,y,Connectivity,Metric Mean Penn Distance,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
38,0.66000000,7.08000000,39.00000000,0.44966334,3.12105393,2.94763851,2.49797511,1866.00000000,16.14000702,10.42199993
39,0.66000000,7.14000000,46.00000000,0.42250222,3.05928349,2.94219446,2.51969218,1866.00000000,24.59118462,21.43079948
40,0.66000000,7.20000000,35.00000000,0.40197164,3.01339126,2.94488311,2.54291153,1866.00000000,14.15540791,8.93879986
42,0.66000000,7.32000000,35.00000000,0.38266283,3.61465764,2.97639227,2.59372926,1866.00000000,9.34003258,2.96639991
43,0.66000000,7.38000000,40.00000000,0.37610295,3.14232206,2.99740148,2.62129855,1866.00000000,10.20815849,3.16799998
44,0.66000000,7.44000000,35.00000000,0.38865566,3.27021646,3.03896904,2.65031338,1866.00000000,8.51910400,2.57399988
45,0.66000000,7.50000000,35.00000000,0.40563166,3.37148118,3.08637452,2.68074274,1866.00000000,9.34003258,2.96639991
47,0.66000000,7.62000000,41.00000000,0.48429859,4.49802494,3.22987366,2.74557519,1866.00000000,21.50289726,17.51040077
48,0.66000000,7.68000000,44.00000000,0.47248667,4.02408552,3.25237083,2.77988410,1866.00000000,20.71555710,15.29640007
49,0.66000000,7.74000000,43.00000000,0.48233762,3.83485937,3.29775071,2.81541324,1866.00000000,19.48905373,13.26599979
65574,0.72000000,7.08000000,42.00000000,0.44033548,3.12629056,2.88979316,2.44945765,1866.00000000,15.99015141,9.69120026
65575,0.72000000,7.14000000,52.00000000,0.41210780,3.04992223,2.88359904,2.47149134,1866.00000000,25.00289154,20.02680016
65576,0.72000000,7.20000000,42.00000000,0.39060879,2.97732520,2.88567543,2.49506664,1866.00000000,14.46628666,8.38080025
65578,0.72000000,7.32000000,41.00000000,0.37162808,3.14509583,2.91832852,2.54670048,1866.00000000,9.32731056,2.54879999
65579,0.72000000,7.38000000,42.00000000,0.38757679,3.33499026,2.96230078,2.57472396,1866.00000000,8.96524715,2.35080004
