Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
38,0.66000000,7.08000000,39.00000000,16.14000702,10.42199993,1.94712150,3.08683896,0.37030843,0.80263644,3.68471861,1866.00000000,2.71049500
39,0.66000000,7.14000000,46.00000000,24.59118462,21.43079948,1.95231414,3.26968527,0.39224333,0.80809546,3.53458452,1866.00000000,2.63292694
40,0.66000000,7.20000000,35.00000000,14.15540791,8.93879986,1.95172167,2.82246208,0.33859283,0.79428780,3.93619299,1866.00000000,2.83160853
42,0.66000000,7.32000000,35.00000000,9.34003258,2.96639991,2.05694938,2.14455414,0.25726852,0.76972651,4.86434317,1866.00000000,3.15131974
43,0.66000000,7.38000000,40.00000000,10.20815849,3.16799998,2.12327719,2.44360518,0.29314375,0.78120720,4.39142084,1866.00000000,2.89374924
44,0.66000000,7.44000000,35.00000000,8.51910400,2.57399988,2.08212638,2.42064238,0.29038909,0.78036541,4.42359257,1866.00000000,2.93101048
45,0.66000000,7.50000000,35.00000000,9.34003258,2.96639991,2.08569932,2.42215991,0.29057112,0.78042120,4.42144775,1866.00000000,2.92774844
47,0.66000000,7.62000000,41.00000000,21.50289726,17.51040077,1.99586618,2.71678710,0.32591566,0.79078227,4.05040216,1866.00000000,2.84993601
48,0.66000000,7.68000000,44.00000000,20.71555710,15.29640007,2.00781798,2.72589111,0.32700780,0.79108834,4.04021454,1866.00000000,2.83881736
49,0.66000000,7.74000000,43.00000000,19.48905373,13.26599979,2.00749969,2.72589111,0.32700780,0.79108834,4.04021454,1866.00000000,2.83891296
65574,0.72000000,7.08000000,42.00000000,15.99015141,9.69120026,1.97746038,3.10794330,0.37284020,0.80327898,3.66648793,1866.00000000,2.67859912
65575,0.72000000,7.14000000,52.00000000,25.00289154,20.02680016,1.98382974,3.29548025,0.39533779,0.80884665,3.51474524,1866.00000000,2.59912562
65576,0.72000000,7.20000000,42.00000000,14.46628666,8.38080025,1.96715021,2.83332753,0.33989629,0.79464251,3.92493296,1866.00000000,2.81745338
65578,0.72000000,7.32000000,41.00000000,9.32731056,2.54879999,2.12357569,2.44360518,0.29314375,0.78120720,4.39142084,1866.00000000,2.89367318
65579,0.72000000,7.38000000,42.00000000,8.96524715,2.35080004,2.12528396,2.44515133,0.29332927,0.78126371,4.38927603,1866.00000000,2.89247537
65580,0.72000000,7.44000000,42.00000000,8.96524715,2.35080004,2.12528396,2.44515133,0.29332927,0.78126371,4.38927603,1866.00000000,2.89247537
65581,0.72000000,7.50000000,40.00000000,8.96612740,2.43000007,2.12395167,2.44437790,0.29323649,0.78123546,4.39034843,1866.00000000,2.89321899
65583,0.72000000,7.62000000,48.00000000,20.63355064,14.61600018,2.01037741,2.72733402,0.32718092,0.79113680,4.03860569,1866.00000000,2.83717084
65584,0.72000000,7.68000000,49.00000000,20.80438995,14.16240025,1.98237908,2.84584832,0.34139833,0.79504991,3.91206431,1866.00000000,2.80471778
65585,0.72000000,7.74000000,47.00000000,19.86268616,12.78719997,1.98055542,2.84480071,0.34127265,0.79501587,3.91313672,1866.00000000,2.80613041
131110,0.78000000,7.08000000,47.00000000,16.96795273,9.32400036,1.98272526,3.11107135,0.37321544,0.80337393,3.66380692,1866.00000000,2.67410874
131111,0.78000000,7.14000000,55.00000000,24.52680397,18.40320015,1.98708487,3.29758954,0.39559084,0.80890787,3.51313663,1866.00000000,2.59623742
131112,0.78000000,7.20000000,48.00000000,15.60370541,8.21160030,1.98580003,2.85057211,0.34196502,0.79520327,3.90723872,1866.00000000,2.79959750
131113,0.78000000,7.26000000,45.00000000,11.06357765,3.52080011,1.96122360,2.83125162,0.33964723,0.79457480,3.92707777,1866.00000000,2.82652187
