Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability
38,0.66000000,7.08000000,39.00000000,16.14000702,10.42199993,0.61943322,0.93653786,0.20744681
39,0.66000000,7.14000000,46.00000000,24.59118462,21.43079948,0.61449277,1.07046986,0.19087137
40,0.66000000,7.20000000,35.00000000,14.15540791,8.93879986,0.74285716,0.83978450,0.20958084
42,0.66000000,7.32000000,35.00000000,9.34003258,2.96639991,0.83697480,0.98102224,0.34653464
43,0.66000000,7.38000000,40.00000000,10.20815849,3.16799998,0.67179489,1.11735666,0.29197079
44,0.66000000,7.44000000,35.00000000,8.51910400,2.57399988,0.83025211,0.99325514,0.38043478
45,0.66000000,7.50000000,35.00000000,9.34003258,2.96639991,0.82857144,0.97898412,0.36458334
47,0.66000000,7.62000000,41.00000000,21.50289726,17.51040077,0.74390244,0.92350775,0.26114649
48,0.66000000,7.68000000,44.00000000,20.71555710,15.29640007,0.63213533,1.02274716,0.25433525
49,0.66000000,7.74000000,43.00000000,19.48905373,13.26599979,0.61904764,0.97863501,0.24712643
65574,0.72000000,7.08000000,42.00000000,15.99015141,9.69120026,0.56678283,1.00401258,0.19178082
65575,0.72000000,7.14000000,52.00000000,25.00289154,20.02680016,0.53393668,1.19778752,0.19117647
65576,0.72000000,7.20000000,42.00000000,14.46628666,8.38080025,0.58188152,1.01371121,0.23076923
65578,0.72000000,7.32000000,41.00000000,9.32731056,2.54879999,0.65731710,1.13692439,0.30147058
65579,0.72000000,7.38000000,42.00000000,8.96524715,2.35080004,0.66898954,1.13657773,0.30215827
65580,0.72000000,7.44000000,42.00000000,8.96524715,2.35080004,0.66898954,1.13657773,0.30215827
65581,0.72000000,7.50000000,40.00000000,8.96612740,2.43000007,0.69999999,1.09488535,0.28776979
65583,0.72000000,7.62000000,48.00000000,20.63355064,14.61600018,0.57624114,1.09572136,0.27906978
65584,0.72000000,7.68000000,49.00000000,20.80438995,14.16240025,0.56462586,1.11140239,0.23902439
65585,0.72000000,7.74000000,47.00000000,19.86268616,12.78719997,0.55504161,1.05269289,0.22926830
131110,0.78000000,7.08000000,47.00000000,16.96795273,9.32400036,0.50601298,1.10453296,0.21461187
131111,0.78000000,7.14000000,55.00000000,24.52680397,18.40320015,0.50707072,1.25825310,0.20220588
131112,0.78000000,7.20000000,48.00000000,15.60370541,8.21160030,0.50886524,1.12869942,0.22966507
131113,0.78000000,7.26000000,45.00000000,11.06357765,3.52080011,0.53232324,1.10172021,0.23809524
131114,0.78000000,7.32000000,46.00000000,9.51834202,2.37599993,0.61932367,1.21902168,0.33093524
131115,0.78000000,7.38000000,46.00000000,9.00217342,2.12400007,0.62028986,1.21811593,0.33093524
131116,0.78000000,7.44000000,45.00000000,8.67906380,2.01959991,0.63737375,1.19199181,0.32374102
131117,0.78000000,7.50000000,47.00000000,9.82428265,2.46959996,0.60499537,1.23892057,0.33812949
131118,0.78000000,7.56000000,31.00000000,6.82004833,1.91880000,0.58924729,0.70679438,0.22142857
131119,0.78000000,7.62000000,56.00000000,21.18447876,12.81960011,0.47987014,1.27222073,0.27317074
131120,0.78000000,7.68000000,53.00000000,21.59004784,14.20199966,0.53120464,1.19205117,0.25603864
131121,0.78000000,7.74000000,50.00000000,19.56577301,11.72159958,0.50857145,1.12536836,0.24271844
196646,0.84000000,7.08000000,34.00000000,8.76250267,3.61439991,0.68805707,0.83216554,0.20118344
196647,0.84000000,7.14000000,46.00000000,19.16096115,14.50800037,0.61642510,1.06977439,0.19246861
196648,0.84000000,7.20000000,36.00000000,10.68726254,5.95800018,0.67460316,0.85976565,0.19889502
196650,0.84000000,7.32000000,36.00000000,7.15860605,1.74600005,0.80158728,1.00360322,0.36363637
196651,0.84000000,7.38000000,35.00000000,5.93245077,1.23479998,0.81680673,0.97101402,0.28000000
196652,0.84000000,7.44000000,38.00000000,6.84849834,1.52639997,0.71977240,1.04427016,0.28571430
196653,0.84000000,7.50000000,35.00000000,6.91121960,1.68480003,0.82352942,0.97726846,0.36842105
196655,0.84000000,7.62000000,38.00000000,13.44343281,8.03880024,0.74110955,0.83581930,0.24836601
196656,0.84000000,7.68000000,46.00000000,17.84958649,11.87279987,0.64057970,1.03815043,0.25988701
196657,0.84000000,7.74000000,41.00000000,13.13754749,6.88679981,0.59146339,0.94212782,0.23163842
262149,0.90000000,5.10000000,80.00000000,32.73764801,16.26840019,0.83164555,0.89970452,0.33755276
262150,0.90000000,5.16000000,91.00000000,45.30130386,34.53839874,0.70891333,1.03154874,0.25000000
262151,0.90000000,5.22000000,90.00000000,43.33089828,33.15599823,0.71910113,1.02252996,0.24725275
262152,0.90000000,5.28000000,80.00000000,29.51815224,14.76360035,0.81455696,0.96965086,0.28169015
262153,0.90000000,5.34000000,75.00000000,26.04678535,11.62800026,0.90486485,0.86373556,0.30991736
262154,0.90000000,5.40000000,74.00000000,26.83385849,12.25080013,0.90744168,0.88839239,0.31759655
262155,0.90000000,5.46000000,72.00000000,27.13816833,12.18599987,0.93857592,0.88163871,0.35467979
262172,0.90000000,6.48000000,25.00000000,9.63487339,5.95440006,0.51999998,0.95401633,0.07987221
262173,0.90000000,6.54000000,19.00000000,3.63952994,0.98280001,0.59064329,0.94664687,0.10795455
262174,0.90000000,6.60000000,16.00000000,2.32923174,0.42120001,0.70833331,0.85591251,0.11428571
262175,0.90000000,6.66000000,13.00000000,1.95361757,0.34200001,0.93589741,0.69634950,0.29545453
262176,0.90000000,6.72000000,7.00000000,0.89613986,0.14399999,0.90476191,0.46555620,0.16666667
262177,0.90000000,6.78000000,10.00000000,1.69534993,0.36359999,0.60000002,0.62011969,0.10416666
262182,0.90000000,7.08000000,31.00000000,6.31249905,1.66680002,0.79784948,0.75450307,0.19496855
262183,0.90000000,7.14000000,44.00000000,17.47346306,12.61079979,0.66173363,1.01283371,0.18257262
262184,0.90000000,7.20000000,32.00000000,7.67842054,3.08520007,0.78024191,0.76071316,0.20000000
262186,0.90000000,7.32000000,34.00000000,6.58114243,1.58039999,0.85918003,0.95075369,0.34693879
262187,0.90000000,7.38000000,32.00000000,5.02270794,0.95400000,0.94556451,0.90482628,0.36363637
262188,0.90000000,7.44000000,31.00000000,4.63852072,0.80640000,1.00000000,0.88109100,0.51666665
262189,0.90000000,7.50000000,34.00000000,6.58114243,1.58039999,0.85739750,0.95512688,0.35789475
262191,0.90000000,7.62000000,38.00000000,12.62071133,7.01280022,0.72403985,0.84197527,0.24675325
262192,0.90000000,7.68000000,41.00000000,15.39915657,9.92520046,0.76829267,0.90086043,0.26282051
262193,0.90000000,7.74000000,36.00000000,9.48387241,3.86640000,0.68571430,0.82490039,0.23376623
327685,0.96000000,5.10000000,82.00000000,31.09652328,14.74199963,0.79765129,0.92467731,0.34166667
327686,0.96000000,5.16000000,93.00000000,42.51575089,30.87000084,0.69050956,1.04986894,0.25549451
327687,0.96000000,5.22000000,92.00000000,40.63651276,29.82239914,0.69923556,1.04705274,0.25274727
327688,0.96000000,5.28000000,79.00000000,25.27159882,11.44799995,0.83479393,0.89806402,0.27816901
327689,0.96000000,5.34000000,78.00000000,24.21743011,9.89280033,0.84681982,0.92655331,0.32098764
327690,0.96000000,5.40000000,77.00000000,25.10808182,10.59119987,0.86056048,0.94867086,0.32905984
327691,0.96000000,5.46000000,72.00000000,24.31167793,9.95040035,0.93857592,0.88163865,0.35467979
327708,0.96000000,6.48000000,17.00000000,2.94843268,0.67320001,0.69117647,0.87191868,0.06273063
327709,0.96000000,6.54000000,24.00000000,5.55511475,2.25359988,0.48913044,1.03616202,0.07619048
327710,0.96000000,6.60000000,18.00000000,2.16292715,0.30960000,0.69934642,1.00509298,0.13333334
327711,0.96000000,6.66000000,17.00000000,2.03593516,0.28080001,0.72794116,0.99107242,0.30357143
327712,0.96000000,6.72000000,14.00000000,1.87148988,0.31320000,0.64835167,0.90593648,0.25000000
327713,0.96000000,6.78000000,15.00000000,2.47276974,0.51480001,0.56190479,0.93869263,0.15463917
327718,0.96000000,7.08000000,31.00000000,6.45135498,1.68840003,0.76559138,0.75532818,0.19254659
327719,0.96000000,7.14000000,42.00000000,16.19852829,11.06639957,0.71660858,0.96236122,0.18918920
327720,0.96000000,7.20000000,29.00000000,5.60568905,1.35360003,0.88423645,0.70297164,0.21481481
327722,0.96000000,7.32000000,32.00000000,6.22177839,1.48679996,0.94556451,0.90482628,0.36363637
327723,0.96000000,7.38000000,31.00000000,5.09770632,1.03680003,1.00000000,0.88109100,0.51666665
327724,0.96000000,7.44000000,31.00000000,5.09770632,1.03680003,1.00000000,0.88109100,0.51666665
327725,0.96000000,7.50000000,31.00000000,5.75316334,1.26719999,1.00000000,0.88109100,0.51666665
327727,0.96000000,7.62000000,36.00000000,10.93198967,5.50080013,0.73174602,0.79836601,0.23376623
327728,0.96000000,7.68000000,43.00000000,15.81974125,9.44639969,0.74418604,0.94045645,0.27564102
327729,0.96000000,7.74000000,31.00000000,6.80789137,2.00519991,0.79139787,0.69584727,0.23134328
393221,1.02000000,5.10000000,88.00000000,33.50370407,16.78319931,0.72335422,0.96851760,0.23719676
393222,1.02000000,5.16000000,96.00000000,40.85511398,27.41040039,0.65548247,1.06552982,0.19512194
393223,1.02000000,5.22000000,96.00000000,39.74020767,27.70560074,0.65833336,1.08154070,0.19712526
393224,1.02000000,5.28000000,81.00000000,23.39509201,9.67319965,0.81018519,0.93132454,0.28621909
393225,1.02000000,5.34000000,79.00000000,22.00840759,8.16479969,0.82765335,0.94176167,0.33193278
393226,1.02000000,5.40000000,75.00000000,21.16810799,7.68240023,0.88684684,0.92032009,0.32188842
393227,1.02000000,5.46000000,71.00000000,21.46588135,7.83360004,0.95935613,0.83977634,0.34975371
393229,1.02000000,5.58000000,91.00000000,43.34988785,25.81920052,0.93870574,0.82089084,0.20222223
393230,1.02000000,5.64000000,94.00000000,40.50537109,22.15080070,0.88172042,0.86036378,0.20842572
393231,1.02000000,5.70000000,100.00000000,40.95536804,21.25799942,0.80888891,0.96693987,0.20408164
393232,1.02000000,5.76000000,106.00000000,43.21392059,22.84560013,0.74375564,1.04454672,0.21457490
393233,1.02000000,5.82000000,112.00000000,46.60991287,26.50320053,0.68886745,1.13342011,0.20588236
393234,1.02000000,5.88000000,116.00000000,48.33191681,27.47879982,0.65007496,1.17650461,0.24892704
393235,1.02000000,5.94000000,223.00000000,300.79418945,724.28039551,0.52240133,1.61952066,0.21587609
393236,1.02000000,6.00000000,224.00000000,301.49008179,724.49279785,0.51905829,1.62629759,0.21192053
393237,1.02000000,6.06000000,108.00000000,41.80269241,21.42720032,0.73745239,1.02098155,0.23126338
393238,1.02000000,6.12000000,102.00000000,39.03260803,19.90800095,0.81828773,0.94472146,0.29059830
393239,1.02000000,6.18000000,97.00000000,38.41374969,20.68919945,0.87972510,0.86724836,0.28529412
393240,1.02000000,6.24000000,97.00000000,41.44226074,23.90760040,0.88509452,0.86305338,0.28529412
393241,1.02000000,6.30000000,95.00000000,44.43724823,27.76320076,0.90033597,0.84538788,0.28023598
393242,1.02000000,6.36000000,95.00000000,48.82481766,32.66640091,0.90033597,0.84538788,0.28023598
393244,1.02000000,6.48000000,15.00000000,2.27684236,0.41400000,0.77142859,0.82824987,0.20270270
393245,1.02000000,6.54000000,27.00000000,7.84675217,3.99959993,0.50142449,1.01943827,0.08544303
393246,1.02000000,6.60000000,16.00000000,1.92115414,0.26280001,0.75000000,0.94886780,0.34042552
393247,1.02000000,6.66000000,12.00000000,1.60312045,0.24120000,1.00000000,0.64646095,0.31578946
393248,1.02000000,6.72000000,11.00000000,1.41725349,0.22679999,0.63636363,0.74156034,0.20754717
393249,1.02000000,6.78000000,21.00000000,8.31491089,6.15600014,0.37142858,0.94438118,0.06583072
393254,1.02000000,7.08000000,30.00000000,6.53448200,1.76400006,0.80919540,0.72152936,0.20689656
393255,1.02000000,7.14000000,44.00000000,17.13909149,10.95839977,0.68498945,1.00734794,0.19298245
393256,1.02000000,7.20000000,29.00000000,6.07937622,1.57319999,0.84236455,0.70828730,0.21323529
393258,1.02000000,7.32000000,31.00000000,6.61989212,1.72800004,1.00000000,0.88109100,0.51666665
393259,1.02000000,7.38000000,31.00000000,6.00907755,1.49759996,1.00000000,0.88109100,0.51666665
393260,1.02000000,7.44000000,31.00000000,6.00907755,1.49759996,1.00000000,0.88109100,0.51666665
393261,1.02000000,7.50000000,32.00000000,7.08850718,1.94760001,0.93750000,0.91067052,0.41025642
393263,1.02000000,7.62000000,31.00000000,7.05613804,2.11680007,0.80430108,0.69090712,0.22962964
393264,1.02000000,7.68000000,43.00000000,15.32364368,8.39519978,0.74418604,0.94045645,0.27564102
393265,1.02000000,7.74000000,30.00000000,6.58433914,1.79639995,0.80000001,0.66782963,0.22556391
458757,1.08000000,5.10000000,96.00000000,40.60129547,25.17840004,0.65745616,1.04069984,0.25806451
458758,1.08000000,5.16000000,106.00000000,46.38515472,31.04640007,0.58598381,1.14731073,0.21588595
458759,1.08000000,5.22000000,106.00000000,44.24412155,30.00600052,0.58454627,1.17265737,0.21544716
458760,1.08000000,5.28000000,91.00000000,27.01309013,11.20320034,0.69059831,1.04715407,0.24202128
458761,1.08000000,5.34000000,85.00000000,23.02655602,8.24040031,0.74845940,1.02194369,0.23611110
458762,1.08000000,5.40000000,76.00000000,19.08142853,5.80319977,0.87228072,0.88772559,0.37254903
458763,1.08000000,5.46000000,75.00000000,21.57253456,7.52759981,0.88864863,0.92849916,0.35714287
458765,1.08000000,5.58000000,96.00000000,44.04328918,26.25839996,0.85307020,0.88169152,0.20689656
458766,1.08000000,5.64000000,107.00000000,46.63488007,26.42399979,0.73020631,1.09911859,0.21272366
458767,1.08000000,5.70000000,106.00000000,42.27201843,22.10759926,0.76082659,1.02936888,0.21946169
458768,1.08000000,5.76000000,107.00000000,39.94696426,19.58040047,0.76706046,1.00801313,0.22107439
458769,1.08000000,5.82000000,103.00000000,35.41400909,15.86880016,0.81477249,0.94067121,0.21280992
458770,1.08000000,5.88000000,109.00000000,38.04235840,17.36280060,0.74872577,1.03515756,0.22336066
458771,1.08000000,5.94000000,223.00000000,289.69946289,689.12640381,0.53064275,1.60153925,0.21462946
458772,1.08000000,6.00000000,224.00000000,291.07287598,690.66357422,0.52738631,1.62104189,0.21353669
458773,1.08000000,6.06000000,112.00000000,42.29165268,22.46039963,0.72602957,1.07934034,0.20626152
458774,1.08000000,6.12000000,107.00000000,40.93088913,22.37039948,0.77552462,0.99653220,0.23362446
458775,1.08000000,6.18000000,105.00000000,41.78563690,23.66279984,0.79652017,0.96631360,0.20628683
458776,1.08000000,6.24000000,99.00000000,40.97061157,24.20999908,0.87074828,0.89261824,0.25384617
458777,1.08000000,6.30000000,97.00000000,43.95406342,28.02960014,0.89261168,0.86347550,0.28613570
458778,1.08000000,6.36000000,95.00000000,47.19939041,31.71599960,0.90503919,0.84405559,0.28023598
458781,1.08000000,6.54000000,30.00000000,8.37633801,3.72600007,0.45057473,1.11192930,0.08875740
458785,1.08000000,6.78000000,23.00000000,9.62978363,6.08039999,0.50988144,0.81124079,0.07467532
458790,1.08000000,7.08000000,28.00000000,6.87446213,2.06999993,0.81481481,0.69627994,0.20588236
458791,1.08000000,7.14000000,47.00000000,18.36944389,10.83600044,0.64107311,1.06197059,0.20614035
458792,1.08000000,7.20000000,27.00000000,6.44635868,1.89359999,0.86324787,0.67741334,0.19148937
458794,1.08000000,7.32000000,31.00000000,7.88915539,2.41919994,1.00000000,0.88109100,0.51666665
458795,1.08000000,7.38000000,31.00000000,7.35054255,2.18880010,1.00000000,0.88109100,0.51666665
458796,1.08000000,7.44000000,31.00000000,7.35054255,2.18880010,1.00000000,0.88109100,0.51666665
458797,1.08000000,7.50000000,31.00000000,7.88915539,2.41919994,1.00000000,0.88109100,0.51666665
458799,1.08000000,7.62000000,28.00000000,6.56601954,1.90439999,0.84920633,0.63772988,0.21538462
458800,1.08000000,7.68000000,48.00000000,16.83477783,8.31960011,0.67021275,1.02973032,0.30769232
458801,1.08000000,7.74000000,32.00000000,8.06240177,2.45880008,0.64717740,0.71445841,0.23880596
524293,1.14000000,5.10000000,111.00000000,59.24015427,50.79600143,0.57117116,1.19839931,0.20517559
524294,1.14000000,5.16000000,121.00000000,62.96975327,52.12799835,0.52493113,1.29892397,0.19706841
524295,1.14000000,5.22000000,129.00000000,68.01834106,57.12120056,0.49043119,1.39055920,0.19604863
524296,1.14000000,5.28000000,121.00000000,54.60052109,39.98519897,0.53319561,1.36032796,0.22161172
