Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
38,0.6600000,7.0800000,1.9766783,1866.0000000,3688.4816895,39.0000000,16.1400070,10.4219999
39,0.6600000,7.1400000,1.9456899,1866.0000000,3630.6574707,46.0000000,24.5911846,21.4307995
40,0.6600000,7.2000000,1.9501582,1866.0000000,3638.9953613,35.0000000,14.1554079,8.9387999
42,0.6600000,7.3200000,2.6677516,1866.0000000,4978.0244141,35.0000000,9.3400326,2.9663999
43,0.6600000,7.3800000,2.2006209,1866.0000000,4106.3583984,40.0000000,10.2081585,3.1680000
44,0.6600000,7.4400000,2.3235083,1866.0000000,4335.6665039,35.0000000,8.5191040,2.5739999
45,0.6600000,7.5000000,2.4150558,1866.0000000,4506.4941406,35.0000000,9.3400326,2.9663999
47,0.6600000,7.6200000,2.3072624,1866.0000000,4305.3515625,41.0000000,21.5028973,17.5104008
48,0.6600000,7.6800000,2.2191446,1866.0000000,4140.9238281,44.0000000,20.7155571,15.2964001
49,0.6600000,7.7400000,2.1450827,1866.0000000,4002.7243652,43.0000000,19.4890537,13.2659998
65574,0.7200000,7.0800000,1.9776031,1866.0000000,3690.2072754,42.0000000,15.9901514,9.6912003
65575,0.7200000,7.1400000,1.9362757,1866.0000000,3613.0905762,52.0000000,25.0028915,20.0268002
65576,0.7200000,7.2000000,1.9278334,1866.0000000,3597.3371582,42.0000000,14.4662867,8.3808002
65578,0.7200000,7.3200000,2.2051160,1866.0000000,4114.7465820,41.0000000,9.3273106,2.5488000
65579,0.7200000,7.3800000,2.3944616,1866.0000000,4468.0654297,42.0000000,8.9652472,2.3508000
65580,0.7200000,7.4400000,2.4745340,1866.0000000,4617.4804688,42.0000000,8.9652472,2.3508000
65581,0.7200000,7.5000000,2.5167027,1866.0000000,4696.1669922,40.0000000,8.9661274,2.4300001
65583,0.7200000,7.6200000,2.2887664,1866.0000000,4270.8378906,48.0000000,20.6335506,14.6160002
65584,0.7200000,7.6800000,2.1979563,1866.0000000,4101.3867188,49.0000000,20.8043900,14.1624002
65585,0.7200000,7.7400000,2.1193583,1866.0000000,3954.7226562,47.0000000,19.8626862,12.7872000
131110,0.7800000,7.0800000,1.9840301,1866.0000000,3702.2001953,47.0000000,16.9679527,9.3240004
131111,0.7800000,7.1400000,1.9380999,1866.0000000,3616.4943848,55.0000000,24.5268040,18.4032001
131112,0.7800000,7.2000000,1.9332414,1866.0000000,3607.4284668,48.0000000,15.6037054,8.2116003
131113,0.7800000,7.2600000,1.9298762,1866.0000000,3601.1489258,45.0000000,11.0635777,3.5208001
131114,0.7800000,7.3200000,2.6730838,1866.0000000,4987.9741211,46.0000000,9.5183420,2.3759999
131115,0.7800000,7.3800000,2.6730583,1866.0000000,4987.9267578,46.0000000,9.0021734,2.1240001
131116,0.7800000,7.4400000,2.6731067,1866.0000000,4988.0170898,45.0000000,8.6790638,2.0195999
131117,0.7800000,7.5000000,2.6729326,1866.0000000,4987.6923828,47.0000000,9.8242826,2.4696000
131118,0.7800000,7.5600000,2.6673255,1866.0000000,4977.2294922,31.0000000,6.8200483,1.9188000
131119,0.7800000,7.6200000,2.2869966,1866.0000000,4267.5356445,56.0000000,21.1844788,12.8196001
131120,0.7800000,7.6800000,2.2025831,1866.0000000,4110.0200195,53.0000000,21.5900478,14.2019997
131121,0.7800000,7.7400000,2.1156077,1866.0000000,3947.7241211,50.0000000,19.5657730,11.7215996
196646,0.8400000,7.0800000,2.0074179,1866.0000000,3745.8417969,34.0000000,8.7625027,3.6143999
196647,0.8400000,7.1400000,1.9477582,1866.0000000,3634.5168457,46.0000000,19.1609612,14.5080004
196648,0.8400000,7.2000000,1.9481667,1866.0000000,3635.2790527,36.0000000,10.6872625,5.9580002
196650,0.8400000,7.3200000,3.3078341,1866.0000000,6172.4184570,36.0000000,7.1586061,1.7460001
196651,0.8400000,7.3800000,3.1311691,1866.0000000,5842.7617188,35.0000000,5.9324508,1.2348000
196652,0.8400000,7.4400000,2.9581609,1866.0000000,5519.9282227,38.0000000,6.8484983,1.5264000
196653,0.8400000,7.5000000,2.9013348,1866.0000000,5413.8906250,35.0000000,6.9112196,1.6848000
196655,0.8400000,7.6200000,2.3451762,1866.0000000,4376.0986328,38.0000000,13.4434328,8.0388002
196656,0.8400000,7.6800000,2.2214801,1866.0000000,4145.2817383,46.0000000,17.8495865,11.8727999
196657,0.8400000,7.7400000,2.1197381,1866.0000000,3955.4311523,41.0000000,13.1375475,6.8867998
262149,0.9000000,5.1000000,1.1021290,1866.0000000,2056.5727539,80.0000000,32.7376480,16.2684002
262150,0.9000000,5.1600000,1.0720326,1866.0000000,2000.4127197,91.0000000,45.3013039,34.5383987
262151,0.9000000,5.2200000,1.1129553,1866.0000000,2076.7746582,90.0000000,43.3308983,33.1559982
262152,0.9000000,5.2800000,1.1713357,1866.0000000,2185.7124023,80.0000000,29.5181522,14.7636003
262153,0.9000000,5.3400000,1.2478813,1866.0000000,2328.5463867,75.0000000,26.0467854,11.6280003
262154,0.9000000,5.4000000,1.3321040,1866.0000000,2485.7060547,74.0000000,26.8338585,12.2508001
262155,0.9000000,5.4600000,1.4343103,1866.0000000,2676.4230957,72.0000000,27.1381683,12.1859999
262172,0.9000000,6.4800000,1.3572465,1866.0000000,2532.6220703,25.0000000,9.6348734,5.9544001
262173,0.9000000,6.5400000,1.4203228,1866.0000000,2650.3222656,19.0000000,3.6395299,0.9828000
262174,0.9000000,6.6000000,1.6060694,1866.0000000,2996.9255371,16.0000000,2.3292317,0.4212000
262175,0.9000000,6.6600000,1.6833885,1866.0000000,3141.2028809,13.0000000,1.9536176,0.3420000
262176,0.9000000,6.7200000,1.6430157,1866.0000000,3065.8674316,7.0000000,0.8961399,0.1440000
262177,0.9000000,6.7800000,1.4061713,1866.0000000,2623.9157715,10.0000000,1.6953499,0.3636000
262182,0.9000000,7.0800000,2.0292370,1866.0000000,3786.5561523,31.0000000,6.3124990,1.6668000
262183,0.9000000,7.1400000,1.9546684,1866.0000000,3647.4111328,44.0000000,17.4734631,12.6107998
262184,0.9000000,7.2000000,1.9490371,1866.0000000,3636.9030762,32.0000000,7.6784205,3.0852001
262186,0.9000000,7.3200000,3.4685194,1866.0000000,6472.2573242,34.0000000,6.5811424,1.5804000
262187,0.9000000,7.3800000,3.3507659,1866.0000000,6252.5292969,32.0000000,5.0227079,0.9540000
262188,0.9000000,7.4400000,3.1711936,1866.0000000,5917.4472656,31.0000000,4.6385207,0.8064000
262189,0.9000000,7.5000000,3.0578675,1866.0000000,5705.9809570,34.0000000,6.5811424,1.5804000
