Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
38,0.66,7.08,2.5667121,39,16.140007,10.422
39,0.66,7.14,2.5032611,46,24.591185,21.430799
40,0.66,7.2,2.5486569,35,14.155408,8.9387999
42,0.66,7.32,3.3430436,35,9.3400326,2.9663999
43,0.66,7.38,2.8430436,40,10.208158,3.168
44,0.66,7.44,2.9687095,35,8.519104,2.5739999
45,0.66,7.5,3.0478764,35,9.3400326,2.9663999
47,0.66,7.62,2.8733802,41,21.502897,17.510401
48,0.66,7.68,2.7942133,44,20.715557,15.2964
49,0.66,7.74,2.7150464,43,19.489054,13.266
65574,0.72,7.08,2.5700278,42,15.990151,9.6912003
65575,0.72,7.14,2.5032611,52,25.002892,20.0268
65576,0.72,7.2,2.5521357,42,14.466287,8.3808002
65578,0.72,7.32,2.8430436,41,9.3273106,2.5488
65579,0.72,7.38,3.0478764,42,8.9652472,2.3508
65580,0.72,7.44,3.1382108,42,8.9652472,2.3508
65581,0.72,7.5,3.1870854,40,8.9661274,2.4300001
65583,0.72,7.62,2.8838162,48,20.633551,14.616
65584,0.72,7.68,2.7942133,49,20.80439,14.1624
65585,0.72,7.74,2.7038789,47,19.862686,12.7872
131110,0.78,7.08,2.5737076,47,16.967953,9.3240004
131111,0.78,7.14,2.5032611,55,24.526804,18.4032
131112,0.78,7.2,2.560977,48,15.603705,8.2116003
131113,0.78,7.26,2.5478764,45,11.063578,3.5208001
131114,0.78,7.32,3.3430436,46,9.518342,2.3759999
131115,0.78,7.38,3.3430436,46,9.0021734,2.1240001
131116,0.78,7.44,3.3430436,45,8.6790638,2.0195999
131117,0.78,7.5,3.3430436,47,9.8242826,2.4696
131118,0.78,7.56,3.3430436,31,6.8200483,1.9188
131119,0.78,7.62,2.8949838,56,21.184479,12.8196
131120,0.78,7.68,2.7942133,53,21.590048,14.202
131121,0.78,7.74,2.6890764,50,19.565773,11.7216
196646,0.84,7.08,2.587646,34,8.7625027,3.6143999
196647,0.84,7.14,2.5032611,46,19.160961,14.508
196648,0.84,7.2,2.6270432,36,10.687263,5.9580002
196650,0.84,7.32,3.9713845,36,7.1586061,1.7460001
196651,0.84,7.38,3.8430436,35,5.9324508,1.2348
196652,0.84,7.44,3.6382108,38,6.8484983,1.5264
196653,0.84,7.5,3.5478764,35,6.9112196,1.6848
196655,0.84,7.62,2.9097862,38,13.443433,8.0388002
196656,0.84,7.68,2.7942133,46,17.849586,11.8728
196657,0.84,7.74,2.6685474,41,13.137547,6.8867998
