Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
38,0.6600000,7.0800000,39.0000000,0.1591779,0.1485701,15.4788599,0.3691929,1.2828521,0.0088300,2.0725927,3.6692781,16.1400070,10.4219999
39,0.6600000,7.1400000,46.0000000,0.1883419,0.1324846,3.0550938,0.4963810,1.5208950,0.0088300,2.4480062,4.2266436,24.5911846,21.4307995
40,0.6600000,7.2000000,35.0000000,0.1513457,0.1264725,352.3419189,0.3936928,1.3005950,0.0088300,2.3173769,3.8778574,14.1554079,8.9387999
42,0.6600000,7.3200000,35.0000000,0.1244162,0.3879498,29.2200680,0.2569650,0.5223588,0.0088300,0.5637460,2.0075004,9.3400326,2.9663999
43,0.6600000,7.3800000,40.0000000,0.1325204,0.2205238,10.8956871,0.2311848,0.5030835,0.0088300,1.2235720,2.7480116,10.2081585,3.1680000
44,0.6600000,7.4400000,35.0000000,0.1341369,0.2266586,351.0751038,0.2289815,0.4987209,0.0088300,1.1939870,2.7270491,8.5191040,2.5739999
45,0.6600000,7.5000000,35.0000000,0.1258839,0.3739254,332.2422180,0.2532925,0.5266912,0.0088300,0.6017402,2.0568256,9.3400326,2.9663999
47,0.6600000,7.6200000,41.0000000,0.1574600,0.2057582,7.7529445,0.4605939,1.2821162,0.0088300,1.5979987,3.1010692,21.5028973,17.5104008
48,0.6600000,7.6800000,44.0000000,0.1794111,0.1625114,357.1151123,0.4705176,1.2761164,0.0088300,2.0615828,3.7246690,20.7155571,15.2964001
49,0.6600000,7.7400000,43.0000000,0.1664042,0.1558153,346.8804016,0.4228523,1.2844473,0.0088300,2.0803826,3.6633809,19.4890537,13.2659998
65574,0.7200000,7.0800000,42.0000000,0.1753360,0.1256924,28.5323734,0.2960650,1.2238020,0.0446940,2.4979792,4.1868362,15.9901514,9.6912003
65575,0.7200000,7.1400000,52.0000000,0.2087417,0.1173047,8.8282537,0.4046158,1.4609163,0.0688300,2.8323188,4.7288094,25.0028915,20.0268002
65576,0.7200000,7.2000000,42.0000000,0.1748681,0.1209145,358.1317749,0.2893973,1.2221373,0.0591110,2.5365546,4.2630553,14.4662867,8.3808002
65578,0.7200000,7.3200000,41.0000000,0.1509319,0.2469170,28.6772957,0.1794134,0.4780122,0.0161280,1.1204569,2.7715323,9.3273106,2.5488000
65579,0.7200000,7.3800000,42.0000000,0.1549973,0.2733936,9.7046900,0.1470719,0.4446320,0.0688300,1.0049504,2.6691487,8.9652472,2.3508000
65580,0.7200000,7.4400000,42.0000000,0.1543361,0.2742695,349.9486389,0.1466634,0.4413033,0.0688300,1.0000348,2.6591930,8.9652472,2.3508000
65581,0.7200000,7.5000000,40.0000000,0.1540123,0.2597465,332.3041687,0.1702639,0.4831254,0.0265600,1.0597970,2.7296548,8.9661274,2.4300001
65583,0.7200000,7.6200000,48.0000000,0.1827546,0.1585606,3.8108194,0.3540873,1.2229816,0.0475620,2.1040897,3.8057601,20.6335506,14.6160002
65584,0.7200000,7.6800000,49.0000000,0.2014024,0.1399922,350.5896912,0.3788010,1.2162898,0.0688300,2.4615781,4.2519231,20.8043900,14.1624002
65585,0.7200000,7.7400000,47.0000000,0.1842982,0.1306133,336.0477600,0.3424625,1.2255801,0.0413220,2.5300658,4.2108688,19.8626862,12.7872000
131110,0.7800000,7.0800000,47.0000000,0.1784293,0.1271846,41.4691887,0.2352678,1.1649743,0.0446940,2.4046495,4.1987576,16.9679527,9.3240004
131111,0.7800000,7.1400000,55.0000000,0.2190141,0.1219753,13.8434219,0.3312101,1.4009399,0.1046940,2.7311726,4.7501249,24.5268040,18.4032001
131112,0.7800000,7.2000000,48.0000000,0.1913113,0.1323183,9.8644180,0.1896868,1.1630982,0.0597213,2.3534803,4.2625093,15.6037054,8.2116003
131113,0.7800000,7.2600000,45.0000000,0.1722790,0.2080093,355.7753906,0.0966949,0.6743709,0.0085160,1.7151505,3.2261145,11.0635777,3.5208001
131114,0.7800000,7.3200000,46.0000000,0.1621034,0.2873765,47.7156563,0.0964525,0.4704466,0.0182383,0.7708342,2.6624124,9.5183420,2.3759999
131115,0.7800000,7.3800000,46.0000000,0.1583017,0.2830736,18.6349983,0.0716218,0.4148873,0.0766028,0.8528706,2.6509287,9.0021734,2.1240001
131116,0.7800000,7.4400000,45.0000000,0.1575471,0.2802962,340.5342407,0.0727916,0.4201425,0.0869779,0.8858582,2.6576731,8.6790638,2.0195999
131117,0.7800000,7.5000000,47.0000000,0.1603276,0.2851689,312.4863281,0.0979706,0.4747782,0.0278919,0.8000531,2.6580188,9.8242826,2.4696000
