Ref,x,y,Connectivity,Metric Step Shortest-Path Angle,Metric Step Shortest-Path Length,Metric Straight-Line Distance,Point First Moment,Point Second Moment
38,0.66000000,7.08000000,39.00000000,5.28162193,3.92222714,3.14413738,16.14000702,10.42199993
39,0.66000000,7.14000000,46.00000000,5.20245504,3.91849184,3.18452501,24.59118462,21.43079948
40,0.66000000,7.20000000,35.00000000,5.12328815,3.92222714,3.22552323,14.15540791,8.93879986
42,0.66000000,7.32000000,35.00000000,5.79278946,3.96281791,3.30925965,9.34003258,2.96639991
43,0.66000000,7.38000000,40.00000000,5.29278994,3.98767090,3.35195470,10.20815849,3.16799998
44,0.66000000,7.44000000,35.00000000,5.41845512,4.03429842,3.39517307,8.51910400,2.57399988
45,0.66000000,7.50000000,35.00000000,5.49762249,4.08629322,3.43889523,9.34003258,2.96639991
47,0.66000000,7.62000000,41.00000000,6.79278946,4.24535179,3.52777553,21.50289726,17.51040077
48,0.66000000,7.68000000,44.00000000,6.29278946,4.27020454,3.57289791,20.71555710,15.29640007
49,0.66000000,7.74000000,43.00000000,6.08795643,4.31951571,3.61845279,19.48905373,13.26599979
65574,0.72000000,7.08000000,42.00000000,5.29278946,3.86275578,3.09974194,15.99015141,9.69120026
65575,0.72000000,7.14000000,52.00000000,5.20245504,3.85849190,3.14070058,25.00289154,20.02680016
65576,0.72000000,7.20000000,42.00000000,5.11212015,3.86275578,3.18226337,14.46628666,8.38080025
65578,0.72000000,7.32000000,41.00000000,5.29278946,3.90281796,3.26710892,9.32731056,2.54879999
65579,0.72000000,7.38000000,42.00000000,5.49762201,3.95212913,3.31034732,8.96524715,2.35080004
65580,0.72000000,7.44000000,42.00000000,5.58795643,4.00770187,3.35410190,8.96524715,2.35080004
65581,0.72000000,7.50000000,40.00000000,5.63683081,4.06535149,3.39835262,8.96612740,2.43000007
65583,0.72000000,7.62000000,48.00000000,5.94874763,4.18535137,3.48826599,20.63355064,14.61600018
65584,0.72000000,7.68000000,49.00000000,5.70245457,4.24222898,3.53389311,20.80438995,14.16240025
65585,0.72000000,7.74000000,47.00000000,5.71362257,4.30170059,3.57994413,19.86268616,12.78719997
131110,0.78000000,7.08000000,47.00000000,5.30759192,3.80345774,3.05587959,16.96795273,9.32400036
