Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
38,0.66000000,7.08000000,39.00000000,16.14000702,10.42199993,0.00000000
39,0.66000000,7.14000000,46.00000000,24.59118462,21.43079948,14.00000000
40,0.66000000,7.20000000,35.00000000,14.15540791,8.93879986,0.00000000
42,0.66000000,7.32000000,35.00000000,9.34003258,2.96639991,0.00000000
43,0.66000000,7.38000000,40.00000000,10.20815849,3.16799998,18.00000000
44,0.66000000,7.44000000,35.00000000,8.51910400,2.57399988,22.00000000
45,0.66000000,7.50000000,35.00000000,9.34003258,2.96639991,0.00000000
47,0.66000000,7.62000000,41.00000000,21.50289726,17.51040077,0.00000000
48,0.66000000,7.68000000,44.00000000,20.71555710,15.29640007,12.00000000
49,0.66000000,7.74000000,43.00000000,19.48905373,13.26599979,0.00000000
65574,0.72000000,7.08000000,42.00000000,15.99015141,9.69120026,54.00000000
65575,0.72000000,7.14000000,52.00000000,25.00289154,20.02680016,122.00000000
65576,0.72000000,7.20000000,42.00000000,14.46628666,8.38080025,114.00000000
65578,0.72000000,7.32000000,41.00000000,9.32731056,2.54879999,98.00000000
65579,0.72000000,7.38000000,42.00000000,8.96524715,2.35080004,140.00000000
65580,0.72000000,7.44000000,42.00000000,8.96524715,2.35080004,142.00000000
65581,0.72000000,7.50000000,40.00000000,8.96612740,2.43000007,98.00000000
65583,0.72000000,7.62000000,48.00000000,20.63355064,14.61600018,130.00000000
65584,0.72000000,7.68000000,49.00000000,20.80438995,14.16240025,118.00000000
65585,0.72000000,7.74000000,47.00000000,19.86268616,12.78719997,62.00000000
131110,0.78000000,7.08000000,47.00000000,16.96795273,9.32400036,88.00000000
131111,0.78000000,7.14000000,55.00000000,24.52680397,18.40320015,206.00000000
131112,0.78000000,7.20000000,48.00000000,15.60370541,8.21160030,174.00000000
131113,0.78000000,7.26000000,45.00000000,11.06357765,3.52080011,126.00000000
131114,0.78000000,7.32000000,46.00000000,9.51834202,2.37599993,190.00000000
131115,0.78000000,7.38000000,46.00000000,9.00217342,2.12400007,252.00000000
131116,0.78000000,7.44000000,45.00000000,8.67906380,2.01959991,252.00000000
131117,0.78000000,7.50000000,47.00000000,9.82428265,2.46959996,196.00000000
131118,0.78000000,7.56000000,31.00000000,6.82004833,1.91880000,142.00000000
131119,0.78000000,7.62000000,56.00000000,21.18447876,12.81960011,206.00000000
131120,0.78000000,7.68000000,53.00000000,21.59004784,14.20199966,198.00000000
131121,0.78000000,7.74000000,50.00000000,19.56577301,11.72159958,106.00000000
196646,0.84000000,7.08000000,34.00000000,8.76250267,3.61439991,118.00000000
196647,0.84000000,7.14000000,46.00000000,19.16096115,14.50800037,255.00000000
196648,0.84000000,7.20000000,36.00000000,10.68726254,5.95800018,140.00000000
196650,0.84000000,7.32000000,36.00000000,7.15860605,1.74600005,62.00000000
196651,0.84000000,7.38000000,35.00000000,5.93245077,1.23479998,199.00000000
196652,0.84000000,7.44000000,38.00000000,6.84849834,1.52639997,202.00000000
196653,0.84000000,7.50000000,35.00000000,6.91121960,1.68480003,60.00000000
196655,0.84000000,7.62000000,38.00000000,13.44343281,8.03880024,172.00000000
196656,0.84000000,7.68000000,46.00000000,17.84958649,11.87279987,246.00000000
196657,0.84000000,7.74000000,41.00000000,13.13754749,6.88679981,137.00000000
262149,0.90000000,5.10000000,80.00000000,32.73764801,16.26840019,0.00000000
262150,0.90000000,5.16000000,91.00000000,45.30130386,34.53839874,30.00000000
262151,0.90000000,5.22000000,90.00000000,43.33089828,33.15599823,40.00000000
262152,0.90000000,5.28000000,80.00000000,29.51815224,14.76360035,46.00000000
262153,0.90000000,5.34000000,75.00000000,26.04678535,11.62800026,40.00000000
262154,0.90000000,5.40000000,74.00000000,26.83385849,12.25080013,30.00000000
262155,0.90000000,5.46000000,72.00000000,27.13816833,12.18599987,0.00000000
262172,0.90000000,6.48000000,25.00000000,9.63487339,5.95440006,0.00000000
262173,0.90000000,6.54000000,19.00000000,3.63952994,0.98280001,14.00000000
262174,0.90000000,6.60000000,16.00000000,2.32923174,0.42120001,12.00000000
262175,0.90000000,6.66000000,13.00000000,1.95361757,0.34200001,0.00000000
262176,0.90000000,6.72000000,7.00000000,0.89613986,0.14399999,0.00000000
262177,0.90000000,6.78000000,10.00000000,1.69534993,0.36359999,0.00000000
262182,0.90000000,7.08000000,31.00000000,6.31249905,1.66680002,128.00000000
262183,0.90000000,7.14000000,44.00000000,17.47346306,12.61079979,286.00000000
262184,0.90000000,7.20000000,32.00000000,7.67842054,3.08520007,160.00000000
262186,0.90000000,7.32000000,34.00000000,6.58114243,1.58039999,60.00000000
262187,0.90000000,7.38000000,32.00000000,5.02270794,0.95400000,174.00000000
262188,0.90000000,7.44000000,31.00000000,4.63852072,0.80640000,170.00000000
262189,0.90000000,7.50000000,34.00000000,6.58114243,1.58039999,58.00000000
262191,0.90000000,7.62000000,38.00000000,12.62071133,7.01280022,188.00000000
262192,0.90000000,7.68000000,41.00000000,15.39915657,9.92520046,274.00000000
262193,0.90000000,7.74000000,36.00000000,9.48387241,3.86640000,156.00000000
327685,0.96000000,5.10000000,82.00000000,31.09652328,14.74199963,70.00000000
327686,0.96000000,5.16000000,93.00000000,42.51575089,30.87000084,226.00000000
327687,0.96000000,5.22000000,92.00000000,40.63651276,29.82239914,278.00000000
327688,0.96000000,5.28000000,79.00000000,25.27159882,11.44799995,262.00000000
327689,0.96000000,5.34000000,78.00000000,24.21743011,9.89280033,242.00000000
327690,0.96000000,5.40000000,77.00000000,25.10808182,10.59119987,188.00000000
327691,0.96000000,5.46000000,72.00000000,24.31167793,9.95040035,60.00000000
327708,0.96000000,6.48000000,17.00000000,2.94843268,0.67320001,30.00000000
327709,0.96000000,6.54000000,24.00000000,5.55511475,2.25359988,50.00000000
327710,0.96000000,6.60000000,18.00000000,2.16292715,0.30960000,62.00000000
327711,0.96000000,6.66000000,17.00000000,2.03593516,0.28080001,48.00000000
327712,0.96000000,6.72000000,14.00000000,1.87148988,0.31320000,32.00000000
327713,0.96000000,6.78000000,15.00000000,2.47276974,0.51480001,12.00000000
327718,0.96000000,7.08000000,31.00000000,6.45135498,1.68840003,114.00000000
327719,0.96000000,7.14000000,42.00000000,16.19852829,11.06639957,333.00000000
327720,0.96000000,7.20000000,29.00000000,5.60568905,1.35360003,151.00000000
327722,0.96000000,7.32000000,32.00000000,6.22177839,1.48679996,52.00000000
327723,0.96000000,7.38000000,31.00000000,5.09770632,1.03680003,138.00000000
327724,0.96000000,7.44000000,31.00000000,5.09770632,1.03680003,140.00000000
327725,0.96000000,7.50000000,31.00000000,5.75316334,1.26719999,52.00000000
327727,0.96000000,7.62000000,36.00000000,10.93198967,5.50080013,198.00000000
327728,0.96000000,7.68000000,43.00000000,15.81974125,9.44639969,329.00000000
327729,0.96000000,7.74000000,31.00000000,6.80789137,2.00519991,145.00000000
393221,1.02000000,5.10000000,88.00000000,33.50370407,16.78319931,106.00000000
393222,1.02000000,5.16000000,96.00000000,40.85511398,27.41040039,388.00000000
393223,1.02000000,5.22000000,96.00000000,39.74020767,27.70560074,482.00000000
393224,1.02000000,5.28000000,81.00000000,23.39509201,9.67319965,480.00000000
393225,1.02000000,5.34000000,79.00000000,22.00840759,8.16479969,404.00000000
393226,1.02000000,5.40000000,75.00000000,21.16810799,7.68240023,314.00000000
393227,1.02000000,5.46000000,71.00000000,21.46588135,7.83360004,88.00000000
393229,1.02000000,5.58000000,91.00000000,43.34988785,25.81920052,0.00000000
393230,1.02000000,5.64000000,94.00000000,40.50537109,22.15080070,116.00000000
393231,1.02000000,5.70000000,100.00000000,40.95536804,21.25799942,176.00000000
393232,1.02000000,5.76000000,106.00000000,43.21392059,22.84560013,220.00000000
393233,1.02000000,5.82000000,112.00000000,46.60991287,26.50320053,250.00000000
393234,1.02000000,5.88000000,116.00000000,48.33191681,27.47879982,256.00000000
393235,1.02000000,5.94000000,223.00000000,300.79418945,724.28039551,272.00000000
393236,1.02000000,6.00000000,224.00000000,301.49008179,724.49279785,264.00000000
393237,1.02000000,6.06000000,108.00000000,41.80269241,21.42720032,258.00000000
393238,1.02000000,6.12000000,102.00000000,39.03260803,19.90800095,250.00000000
393239,1.02000000,6.18000000,97.00000000,38.41374969,20.68919945,232.00000000
393240,1.02000000,6.24000000,97.00000000,41.44226074,23.90760040,196.00000000
393241,1.02000000,6.30000000,95.00000000,44.43724823,27.76320076,126.00000000
393242,1.02000000,6.36000000,95.00000000,48.82481766,32.66640091,0.00000000
393244,1.02000000,6.48000000,15.00000000,2.27684236,0.41400000,6.00000000
393245,1.02000000,6.54000000,27.00000000,7.84675217,3.99959993,82.00000000
393246,1.02000000,6.60000000,16.00000000,1.92115414,0.26280001,38.00000000
393247,1.02000000,6.66000000,12.00000000,1.60312045,0.24120000,18.00000000
393248,1.02000000,6.72000000,11.00000000,1.41725349,0.22679999,16.00000000
393249,1.02000000,6.78000000,21.00000000,8.31491089,6.15600014,18.00000000
393254,1.02000000,7.08000000,30.00000000,6.53448200,1.76400006,76.00000000
393255,1.02000000,7.14000000,44.00000000,17.13909149,10.95839977,388.00000000
393256,1.02000000,7.20000000,29.00000000,6.07937622,1.57319999,112.00000000
393258,1.02000000,7.32000000,31.00000000,6.61989212,1.72800004,38.00000000
393259,1.02000000,7.38000000,31.00000000,6.00907755,1.49759996,82.00000000
393260,1.02000000,7.44000000,31.00000000,6.00907755,1.49759996,82.00000000
393261,1.02000000,7.50000000,32.00000000,7.08850718,1.94760001,38.00000000
