Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Step Depth
38,0.66,7.08,39,16.140007,10.422,4
39,0.66,7.14,46,24.591185,21.430799,4
40,0.66,7.2,35,14.155408,8.9387999,4
42,0.66,7.32,35,9.3400326,2.9663999,5
43,0.66,7.38,40,10.208158,3.168,5
44,0.66,7.44,35,8.519104,2.5739999,5
45,0.66,7.5,35,9.3400326,2.9663999,5
47,0.66,7.62,41,21.502897,17.510401,4
48,0.66,7.68,44,20.715557,15.2964,4
49,0.66,7.74,43,19.489054,13.266,4
65574,0.72,7.08,42,15.990151,9.6912003,4
65575,0.72,7.14,52,25.002892,20.0268,4
65576,0.72,7.2,42,14.466287,8.3808002,4
65578,0.72,7.32,41,9.3273106,2.5488,5
65579,0.72,7.38,42,8.9652472,2.3508,5
65580,0.72,7.44,42,8.9652472,2.3508,5
65581,0.72,7.5,40,8.9661274,2.4300001,5
65583,0.72,7.62,48,20.633551,14.616,4
65584,0.72,7.68,49,20.80439,14.1624,4
65585,0.72,7.74,47,19.862686,12.7872,4
131110,0.78,7.08,47,16.967953,9.3240004,4
131111,0.78,7.14,55,24.526804,18.4032,4
131112,0.78,7.2,48,15.603705,8.2116003,4
131113,0.78,7.26,45,11.063578,3.5208001,4
131114,0.78,7.32,46,9.518342,2.3759999,5
131115,0.78,7.38,46,9.0021734,2.1240001,5
131116,0.78,7.44,45,8.6790638,2.0195999,5
131117,0.78,7.5,47,9.8242826,2.4696,5
131118,0.78,7.56,31,6.8200483,1.9188,5
131119,0.78,7.62,56,21.184479,12.8196,4
131120,0.78,7.68,53,21.590048,14.202,4
131121,0.78,7.74,50,19.565773,11.7216,4
196646,0.84,7.08,34,8.7625027,3.6143999,4
196647,0.84,7.14,46,19.160961,14.508,4
196648,0.84,7.2,36,10.687263,5.9580002,4
196650,0.84,7.32,36,7.1586061,1.7460001,5
196651,0.84,7.38,35,5.9324508,1.2348,5
196652,0.84,7.44,38,6.8484983,1.5264,5
196653,0.84,7.5,35,6.9112196,1.6848,5
196655,0.84,7.62,38,13.443433,8.0388002,4
196656,0.84,7.68,46,17.849586,11.8728,4
196657,0.84,7.74,41,13.137547,6.8867998,4
262149,0.9,5.1,80,32.737648,16.2684,4
262150,0.9,5.16,91,45.301304,34.538399,3
262151,0.9,5.22,90,43.330898,33.155998,3
262152,0.9,5.28,80,29.518152,14.7636,3
262153,0.9,5.34,75,26.046785,11.628,3
262154,0.9,5.4,74,26.833858,12.2508,3
262155,0.9,5.46,72,27.138168,12.186,4
262172,0.9,6.48,25,9.6348734,5.9544001,3
262173,0.9,6.54,19,3.6395299,0.98280001,4
262174,0.9,6.6,16,2.3292317,0.42120001,4
262175,0.9,6.66,13,1.9536176,0.34200001,4
262176,0.9,6.72,7,0.89613986,0.14399999,4
262177,0.9,6.78,10,1.6953499,0.36359999,4
262182,0.9,7.08,31,6.312499,1.6668,4
262183,0.9,7.14,44,17.473463,12.6108,4
262184,0.9,7.2,32,7.6784205,3.0852001,4
262186,0.9,7.32,34,6.5811424,1.5804,5
262187,0.9,7.38,32,5.0227079,0.954,5
262188,0.9,7.44,31,4.6385207,0.8064,6
262189,0.9,7.5,34,6.5811424,1.5804,5
262191,0.9,7.62,38,12.620711,7.0128002,4
262192,0.9,7.68,41,15.399157,9.9252005,4
262193,0.9,7.74,36,9.4838724,3.8664,4
327685,0.96,5.1,82,31.096523,14.742,4
327686,0.96,5.16,93,42.515751,30.870001,3
327687,0.96,5.22,92,40.636513,29.822399,3
327688,0.96,5.28,79,25.271599,11.448,3
327689,0.96,5.34,78,24.21743,9.8928003,3
327690,0.96,5.4,77,25.108082,10.5912,3
327691,0.96,5.46,72,24.311678,9.9504004,4
327708,0.96,6.48,17,2.9484327,0.67320001,3
327709,0.96,6.54,24,5.5551147,2.2535999,3
327710,0.96,6.6,18,2.1629272,0.3096,4
327711,0.96,6.66,17,2.0359352,0.28080001,4
327712,0.96,6.72,14,1.8714899,0.3132,4
327713,0.96,6.78,15,2.4727697,0.51480001,4
327718,0.96,7.08,31,6.451355,1.6884,4
327719,0.96,7.14,42,16.198528,11.0664,4
327720,0.96,7.2,29,5.605689,1.3536,4
327722,0.96,7.32,32,6.2217784,1.4868,5
327723,0.96,7.38,31,5.0977063,1.0368,6
327724,0.96,7.44,31,5.0977063,1.0368,6
327725,0.96,7.5,31,5.7531633,1.2672,6
327727,0.96,7.62,36,10.93199,5.5008001,4
327728,0.96,7.68,43,15.819741,9.4463997,4
327729,0.96,7.74,31,6.8078914,2.0051999,4
393221,1.02,5.1,88,33.503704,16.783199,3
393222,1.02,5.16,96,40.855114,27.4104,3
393223,1.02,5.22,96,39.740208,27.705601,3
393224,1.02,5.28,81,23.395092,9.6731997,3
393225,1.02,5.34,79,22.008408,8.1647997,3
393226,1.02,5.4,75,21.168108,7.6824002,4
393227,1.02,5.46,71,21.465881,7.8336,4
393229,1.02,5.58,91,43.349888,25.819201,3
393230,1.02,5.64,94,40.505371,22.150801,3
393231,1.02,5.7,100,40.955368,21.257999,3
393232,1.02,5.76,106,43.213921,22.8456,3
393233,1.02,5.82,112,46.609913,26.503201,3
393234,1.02,5.88,116,48.331917,27.4788,3
393235,1.02,5.94,223,300.79419,724.2804,2
