Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy R3,Visual Integration [HH] R3,Visual Integration [P-value] R3,Visual Integration [Tekl] R3,Visual Mean Depth R3,Visual Node Count R3,Visual Relativised Entropy R3
38,0.6600000,7.0800000,39.0000000,16.1400070,10.4219999,1.0313374,4.1047597,0.5875961,0.8285852,2.6789773,705.0000000,2.9908643
39,0.6600000,7.1400000,46.0000000,24.5911846,21.4307995,1.0666053,4.3049994,0.5960297,0.8341348,2.6583035,838.0000000,2.9433427
40,0.6600000,7.2000000,35.0000000,14.1554079,8.9387999,1.1970807,4.0209374,0.6234695,0.8263303,2.5738397,475.0000000,2.7689559
42,0.6600000,7.3200000,35.0000000,9.3400326,2.9663999,1.4504156,3.8275659,0.7143353,0.8230429,2.3478260,208.0000000,2.3966334
43,0.6600000,7.3800000,40.0000000,10.2081585,3.1680000,1.4121799,4.0511169,0.7005781,0.8290127,2.3867595,288.0000000,2.4520025
44,0.6600000,7.4400000,35.0000000,8.5191040,2.5739999,1.2291923,3.6035540,0.6282268,0.8131958,2.5451264,278.0000000,2.7401440
45,0.6600000,7.5000000,35.0000000,9.3400326,2.9663999,1.2532477,3.6375499,0.6341534,0.8144580,2.5306859,278.0000000,2.7066104
47,0.6600000,7.6200000,41.0000000,21.5028973,17.5104008,1.2520072,4.0171986,0.6370411,0.8264061,2.5375588,427.0000000,2.6998801
48,0.6600000,7.6800000,44.0000000,20.7155571,15.2964001,1.3043319,4.1372094,0.6560722,0.8301746,2.4929578,427.0000000,2.6206262
49,0.6600000,7.7400000,43.0000000,19.4890537,13.2659998,1.3029383,4.1372094,0.6560722,0.8301746,2.4929578,427.0000000,2.6210454
65574,0.7200000,7.0800000,42.0000000,15.9901514,9.6912003,1.1117098,4.2263288,0.6049987,0.8320175,2.6306818,705.0000000,2.8836987
65575,0.7200000,7.1400000,52.0000000,25.0028915,20.0268002,1.1368284,4.4229012,0.6123532,0.8372612,2.6140981,838.0000000,2.8495026
65576,0.7200000,7.2000000,42.0000000,14.4662867,8.3808002,1.2577857,4.1374059,0.6415285,0.8299128,2.5295358,475.0000000,2.6856463
65578,0.7200000,7.3200000,41.0000000,9.3273106,2.5488000,1.4141196,4.0511169,0.7005781,0.8290127,2.3867595,288.0000000,2.4515090
65579,0.7200000,7.3800000,42.0000000,8.9652472,2.3508000,1.4252211,4.0922451,0.7076905,0.8304139,2.3728223,288.0000000,2.4314125
65580,0.7200000,7.4400000,42.0000000,8.9652472,2.3508000,1.4252211,4.0922451,0.7076905,0.8304139,2.3728223,288.0000000,2.4314125
65581,0.7200000,7.5000000,40.0000000,8.9661274,2.4300001,1.4165627,4.0715775,0.7041163,0.8297109,2.3797910,288.0000000,2.4424138
65583,0.7200000,7.6200000,48.0000000,20.6335506,14.6160002,1.3155369,4.1568170,0.6591815,0.8307831,2.4859154,427.0000000,2.6085002
65584,0.7200000,7.6800000,49.0000000,20.8043900,14.1624002,1.3326336,4.3211727,0.6712087,0.8354526,2.4617021,471.0000000,2.5711219
65585,0.7200000,7.7400000,47.0000000,19.8626862,12.7872000,1.3253973,4.3086295,0.6692604,0.8350810,2.4659574,471.0000000,2.5795672
131110,0.7800000,7.0800000,47.0000000,16.9679527,9.3240004,1.1256570,4.2448168,0.6076453,0.8325333,2.6235795,705.0000000,2.8683915
131111,0.7800000,7.1400000,55.0000000,24.5268040,18.4032001,1.1440814,4.4327440,0.6137160,0.8375195,2.6105137,838.0000000,2.8415339
131112,0.7800000,7.2000000,48.0000000,15.6037054,8.2116003,1.3311656,4.3347101,0.6721217,0.8358248,2.4599156,475.0000000,2.5700972
131113,0.7800000,7.2600000,45.0000000,11.0635777,3.5208001,1.3003055,4.2087722,0.6566978,0.8321532,2.4934783,461.0000000,2.6227415
131114,0.7800000,7.3200000,46.0000000,9.5183420,2.3759999,1.4404900,4.1342168,0.7149489,0.8318341,2.3588850,288.0000000,2.4113686
131115,0.7800000,7.3800000,46.0000000,9.0021734,2.1240001,1.4404900,4.1342168,0.7149489,0.8318341,2.3588850,288.0000000,2.4113686
131116,0.7800000,7.4400000,45.0000000,8.6790638,2.0195999,1.4369234,4.1236434,0.7131204,0.8314773,2.3623693,288.0000000,2.4161398
131117,0.7800000,7.5000000,47.0000000,9.8242826,2.4696000,1.4438926,4.1448450,0.7167868,0.8321922,2.3554008,288.0000000,2.4067535
131118,0.7800000,7.5600000,31.0000000,6.8200483,1.9188000,1.3701088,3.9909520,0.6901734,0.8269458,2.4076655,288.0000000,2.4965005
131119,0.7800000,7.6200000,56.0000000,21.1844788,12.8196001,1.3554188,4.3656554,0.6781183,0.8367645,2.4468086,471.0000000,2.5440223
131120,0.7800000,7.6800000,53.0000000,21.5900478,14.2019997,1.3495378,4.3592448,0.6771225,0.8365760,2.4489362,471.0000000,2.5487616
131121,0.7800000,7.7400000,50.0000000,19.5657730,11.7215996,1.3377894,4.3337893,0.6731685,0.8358256,2.4574468,471.0000000,2.5638638
196646,0.8400000,7.0800000,34.0000000,8.7625027,3.6143999,0.9661738,4.0230727,0.5759026,0.8262377,2.7130682,705.0000000,3.0724840
196647,0.8400000,7.1400000,46.0000000,19.1609612,14.5080004,1.0627068,4.2988052,0.5951721,0.8339688,2.6606929,838.0000000,2.9486482
196648,0.8400000,7.2000000,36.0000000,10.6872625,5.9580002,1.2320130,4.0978408,0.6353937,0.8287038,2.5443039,475.0000000,2.7158668
196650,0.8400000,7.3200000,36.0000000,7.1586061,1.7460001,1.4470639,3.8138959,0.7117841,0.8225203,2.3526571,208.0000000,2.4056962
