Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
38,0.66,7.08,39,16.140007,10.422,1.9471215,3.086839,0.37030843,0.80263644,3.6847186,1866,2.710495
39,0.66,7.14,46,24.591185,21.430799,1.9523141,3.2696853,0.39224333,0.80809546,3.5345845,1866,2.6329269
40,0.66,7.2,35,14.155408,8.9387999,1.9517217,2.8224621,0.33859283,0.7942878,3.936193,1866,2.8316085
42,0.66,7.32,35,9.3400326,2.9663999,2.0569494,2.1445541,0.25726852,0.76972651,4.8643432,1866,3.1513197
43,0.66,7.38,40,10.208158,3.168,2.1232772,2.4436052,0.29314375,0.7812072,4.3914208,1866,2.8937492
44,0.66,7.44,35,8.519104,2.5739999,2.0821264,2.4206424,0.29038909,0.78036541,4.4235926,1866,2.9310105
45,0.66,7.5,35,9.3400326,2.9663999,2.0856993,2.4221599,0.29057112,0.7804212,4.4214478,1866,2.9277484
47,0.66,7.62,41,21.502897,17.510401,1.9958662,2.7167871,0.32591566,0.79078227,4.0504022,1866,2.849936
48,0.66,7.68,44,20.715557,15.2964,2.007818,2.7258911,0.3270078,0.79108834,4.0402145,1866,2.8388174
49,0.66,7.74,43,19.489054,13.266,2.0074997,2.7258911,0.3270078,0.79108834,4.0402145,1866,2.838913
65574,0.72,7.08,42,15.990151,9.6912003,1.9774604,3.1079433,0.3728402,0.80327898,3.6664879,1866,2.6785991
65575,0.72,7.14,52,25.002892,20.0268,1.9838297,3.2954803,0.39533779,0.80884665,3.5147452,1866,2.5991256
65576,0.72,7.2,42,14.466287,8.3808002,1.9671502,2.8333275,0.33989629,0.79464251,3.924933,1866,2.8174534
65578,0.72,7.32,41,9.3273106,2.5488,2.1235757,2.4436052,0.29314375,0.7812072,4.3914208,1866,2.8936732
65579,0.72,7.38,42,8.9652472,2.3508,2.125284,2.4451513,0.29332927,0.78126371,4.389276,1866,2.8924754
65580,0.72,7.44,42,8.9652472,2.3508,2.125284,2.4451513,0.29332927,0.78126371,4.389276,1866,2.8924754
65581,0.72,7.5,40,8.9661274,2.4300001,2.1239517,2.4443779,0.29323649,0.78123546,4.3903484,1866,2.893219
65583,0.72,7.62,48,20.633551,14.616,2.0103774,2.727334,0.32718092,0.7911368,4.0386057,1866,2.8371708
65584,0.72,7.68,49,20.80439,14.1624,1.9823791,2.8458483,0.34139833,0.79504991,3.9120643,1866,2.8047178
65585,0.72,7.74,47,19.862686,12.7872,1.9805554,2.8448007,0.34127265,0.79501587,3.9131367,1866,2.8061304
131110,0.78,7.08,47,16.967953,9.3240004,1.9827253,3.1110713,0.37321544,0.80337393,3.6638069,1866,2.6741087
131111,0.78,7.14,55,24.526804,18.4032,1.9870849,3.2975895,0.39559084,0.80890787,3.5131366,1866,2.5962374
131112,0.78,7.2,48,15.603705,8.2116003,1.9858,2.8505721,0.34196502,0.79520327,3.9072387,1866,2.7995975
131113,0.78,7.26,45,11.063578,3.5208001,1.9612236,2.8312516,0.33964723,0.7945748,3.9270778,1866,2.8265219
131114,0.78,7.32,46,9.518342,2.3759999,2.1276338,2.4466996,0.293515,0.78132021,4.3871312,1866,2.8913026
131115,0.78,7.38,46,9.0021734,2.1240001,2.1276338,2.4466996,0.293515,0.78132021,4.3871312,1866,2.8913026
131116,0.78,7.44,45,8.6790638,2.0195999,2.127085,2.4463124,0.29346853,0.78130609,4.3876677,1866,2.8915575
131117,0.78,7.5,47,9.8242826,2.4696,2.1281574,2.447087,0.29356149,0.78133434,4.3865952,1866,2.891073
131118,0.78,7.56,31,6.8200483,1.9188,2.1168029,2.4412892,0.29286593,0.78112257,4.3946381,1866,2.8977854
131119,0.78,7.62,56,21.184479,12.8196,1.9881212,2.8495209,0.34183893,0.79516917,3.9083109,1866,2.8004105
131120,0.78,7.68,53,21.590048,14.202,1.9866391,2.8489957,0.34177589,0.79515213,3.9088471,1866,2.8012428
