Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability
38,0.66,7.08,39,16.140007,10.422,0.61943322,0.93653786,0.20744681
39,0.66,7.14,46,24.591185,21.430799,0.61449277,1.0704699,0.19087137
40,0.66,7.2,35,14.155408,8.9387999,0.74285716,0.8397845,0.20958084
42,0.66,7.32,35,9.3400326,2.9663999,0.8369748,0.98102224,0.34653464
43,0.66,7.38,40,10.208158,3.168,0.67179489,1.1173567,0.29197079
44,0.66,7.44,35,8.519104,2.5739999,0.83025211,0.99325514,0.38043478
45,0.66,7.5,35,9.3400326,2.9663999,0.82857144,0.97898412,0.36458334
47,0.66,7.62,41,21.502897,17.510401,0.74390244,0.92350775,0.26114649
48,0.66,7.68,44,20.715557,15.2964,0.63213533,1.0227472,0.25433525
49,0.66,7.74,43,19.489054,13.266,0.61904764,0.97863501,0.24712643
65574,0.72,7.08,42,15.990151,9.6912003,0.56678283,1.0040126,0.19178082
65575,0.72,7.14,52,25.002892,20.0268,0.53393668,1.1977875,0.19117647
65576,0.72,7.2,42,14.466287,8.3808002,0.58188152,1.0137112,0.23076923
65578,0.72,7.32,41,9.3273106,2.5488,0.6573171,1.1369244,0.30147058
65579,0.72,7.38,42,8.9652472,2.3508,0.66898954,1.1365777,0.30215827
65580,0.72,7.44,42,8.9652472,2.3508,0.66898954,1.1365777,0.30215827
65581,0.72,7.5,40,8.9661274,2.4300001,0.69999999,1.0948853,0.28776979
65583,0.72,7.62,48,20.633551,14.616,0.57624114,1.0957214,0.27906978
65584,0.72,7.68,49,20.80439,14.1624,0.56462586,1.1114024,0.23902439
65585,0.72,7.74,47,19.862686,12.7872,0.55504161,1.0526929,0.2292683
131110,0.78,7.08,47,16.967953,9.3240004,0.50601298,1.104533,0.21461187
131111,0.78,7.14,55,24.526804,18.4032,0.50707072,1.2582531,0.20220588
131112,0.78,7.2,48,15.603705,8.2116003,0.50886524,1.1286994,0.22966507
131113,0.78,7.26,45,11.063578,3.5208001,0.53232324,1.1017202,0.23809524
131114,0.78,7.32,46,9.518342,2.3759999,0.61932367,1.2190217,0.33093524
131115,0.78,7.38,46,9.0021734,2.1240001,0.62028986,1.2181159,0.33093524
131116,0.78,7.44,45,8.6790638,2.0195999,0.63737375,1.1919918,0.32374102
131117,0.78,7.5,47,9.8242826,2.4696,0.60499537,1.2389206,0.33812949
131118,0.78,7.56,31,6.8200483,1.9188,0.58924729,0.70679438,0.22142857
131119,0.78,7.62,56,21.184479,12.8196,0.47987014,1.2722207,0.27317074
131120,0.78,7.68,53,21.590048,14.202,0.53120464,1.1920512,0.25603864
131121,0.78,7.74,50,19.565773,11.7216,0.50857145,1.1253684,0.24271844
196646,0.84,7.08,34,8.7625027,3.6143999,0.68805707,0.83216554,0.20118344
196647,0.84,7.14,46,19.160961,14.508,0.6164251,1.0697744,0.19246861
196648,0.84,7.2,36,10.687263,5.9580002,0.67460316,0.85976565,0.19889502
196650,0.84,7.32,36,7.1586061,1.7460001,0.80158728,1.0036032,0.36363637
196651,0.84,7.38,35,5.9324508,1.2348,0.81680673,0.97101402,0.28
196652,0.84,7.44,38,6.8484983,1.5264,0.7197724,1.0442702,0.2857143
196653,0.84,7.5,35,6.9112196,1.6848,0.82352942,0.97726846,0.36842105
196655,0.84,7.62,38,13.443433,8.0388002,0.74110955,0.8358193,0.24836601
196656,0.84,7.68,46,17.849586,11.8728,0.6405797,1.0381504,0.25988701
196657,0.84,7.74,41,13.137547,6.8867998,0.59146339,0.94212782,0.23163842
262149,0.9,5.1,80,32.737648,16.2684,0.83164555,0.89970452,0.33755276
262150,0.9,5.16,91,45.301304,34.538399,0.70891333,1.0315487,0.25
262151,0.9,5.22,90,43.330898,33.155998,0.71910113,1.02253,0.24725275
262152,0.9,5.28,80,29.518152,14.7636,0.81455696,0.96965086,0.28169015
262153,0.9,5.34,75,26.046785,11.628,0.90486485,0.86373556,0.30991736
262154,0.9,5.4,74,26.833858,12.2508,0.90744168,0.88839239,0.31759655
262155,0.9,5.46,72,27.138168,12.186,0.93857592,0.88163871,0.35467979
262172,0.9,6.48,25,9.6348734,5.9544001,0.51999998,0.95401633,0.079872206
262173,0.9,6.54,19,3.6395299,0.98280001,0.59064329,0.94664687,0.10795455
262174,0.9,6.6,16,2.3292317,0.42120001,0.70833331,0.85591251,0.11428571
262175,0.9,6.66,13,1.9536176,0.34200001,0.93589741,0.6963495,0.29545453
262176,0.9,6.72,7,0.89613986,0.14399999,0.90476191,0.4655562,0.16666667
262177,0.9,6.78,10,1.6953499,0.36359999,0.60000002,0.62011969,0.10416666
262182,0.9,7.08,31,6.312499,1.6668,0.79784948,0.75450307,0.19496855
262183,0.9,7.14,44,17.473463,12.6108,0.66173363,1.0128337,0.18257262
262184,0.9,7.2,32,7.6784205,3.0852001,0.78024191,0.76071316,0.2
262186,0.9,7.32,34,6.5811424,1.5804,0.85918003,0.95075369,0.34693879
262187,0.9,7.38,32,5.0227079,0.954,0.94556451,0.90482628,0.36363637
262188,0.9,7.44,31,4.6385207,0.8064,1,0.881091,0.51666665
262189,0.9,7.5,34,6.5811424,1.5804,0.8573975,0.95512688,0.35789475
262191,0.9,7.62,38,12.620711,7.0128002,0.72403985,0.84197527,0.24675325
262192,0.9,7.68,41,15.399157,9.9252005,0.76829267,0.90086043,0.26282051
262193,0.9,7.74,36,9.4838724,3.8664,0.6857143,0.82490039,0.23376623
327685,0.96,5.1,82,31.096523,14.742,0.79765129,0.92467731,0.34166667
327686,0.96,5.16,93,42.515751,30.870001,0.69050956,1.0498689,0.25549451
327687,0.96,5.22,92,40.636513,29.822399,0.69923556,1.0470527,0.25274727
327688,0.96,5.28,79,25.271599,11.448,0.83479393,0.89806402,0.27816901
327689,0.96,5.34,78,24.21743,9.8928003,0.84681982,0.92655331,0.32098764
327690,0.96,5.4,77,25.108082,10.5912,0.86056048,0.94867086,0.32905984
327691,0.96,5.46,72,24.311678,9.9504004,0.93857592,0.88163865,0.35467979
327708,0.96,6.48,17,2.9484327,0.67320001,0.69117647,0.87191868,0.062730625
327709,0.96,6.54,24,5.5551147,2.2535999,0.48913044,1.036162,0.076190479
327710,0.96,6.6,18,2.1629272,0.3096,0.69934642,1.005093,0.13333334
327711,0.96,6.66,17,2.0359352,0.28080001,0.72794116,0.99107242,0.30357143
327712,0.96,6.72,14,1.8714899,0.3132,0.64835167,0.90593648,0.25
327713,0.96,6.78,15,2.4727697,0.51480001,0.56190479,0.93869263,0.15463917
327718,0.96,7.08,31,6.451355,1.6884,0.76559138,0.75532818,0.19254659
327719,0.96,7.14,42,16.198528,11.0664,0.71660858,0.96236122,0.1891892
327720,0.96,7.2,29,5.605689,1.3536,0.88423645,0.70297164,0.21481481
327722,0.96,7.32,32,6.2217784,1.4868,0.94556451,0.90482628,0.36363637
327723,0.96,7.38,31,5.0977063,1.0368,1,0.881091,0.51666665
327724,0.96,7.44,31,5.0977063,1.0368,1,0.881091,0.51666665
327725,0.96,7.5,31,5.7531633,1.2672,1,0.881091,0.51666665
327727,0.96,7.62,36,10.93199,5.5008001,0.73174602,0.79836601,0.23376623
327728,0.96,7.68,43,15.819741,9.4463997,0.74418604,0.94045645,0.27564102
327729,0.96,7.74,31,6.8078914,2.0051999,0.79139787,0.69584727,0.23134328
393221,1.02,5.1,88,33.503704,16.783199,0.72335422,0.9685176,0.23719676
393222,1.02,5.16,96,40.855114,27.4104,0.65548247,1.0655298,0.19512194
393223,1.02,5.22,96,39.740208,27.705601,0.65833336,1.0815407,0.19712526
393224,1.02,5.28,81,23.395092,9.6731997,0.81018519,0.93132454,0.28621909
393225,1.02,5.34,79,22.008408,8.1647997,0.82765335,0.94176167,0.33193278
393226,1.02,5.4,75,21.168108,7.6824002,0.88684684,0.92032009,0.32188842
393227,1.02,5.46,71,21.465881,7.8336,0.95935613,0.83977634,0.34975371
393229,1.02,5.58,91,43.349888,25.819201,0.93870574,0.82089084,0.20222223
393230,1.02,5.64,94,40.505371,22.150801,0.88172042,0.86036378,0.20842572
393231,1.02,5.7,100,40.955368,21.257999,0.80888891,0.96693987,0.20408164
393232,1.02,5.76,106,43.213921,22.8456,0.74375564,1.0445467,0.2145749
393233,1.02,5.82,112,46.609913,26.503201,0.68886745,1.1334201,0.20588236
393234,1.02,5.88,116,48.331917,27.4788,0.65007496,1.1765046,0.24892704
393235,1.02,5.94,223,300.79419,724.2804,0.52240133,1.6195207,0.21587609
393236,1.02,6,224,301.49008,724.4928,0.51905829,1.6262976,0.21192053
393237,1.02,6.06,108,41.802692,21.4272,0.73745239,1.0209816,0.23126338
393238,1.02,6.12,102,39.032608,19.908001,0.81828773,0.94472146,0.2905983
393239,1.02,6.18,97,38.41375,20.689199,0.8797251,0.86724836,0.28529412
393240,1.02,6.24,97,41.442261,23.9076,0.88509452,0.86305338,0.28529412
393241,1.02,6.3,95,44.437248,27.763201,0.90033597,0.84538788,0.28023598
