Ref,x1,y1,x2,y2,Angular Connectivity,Angular Mean Depth,Angular Node Count,Angular Total Depth,Axial Line Ref,Connectivity,Segment Length
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,2.0346432,178,360.13184,0,3,66.173325
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,2.0253687,178,358.49026,0,4,82.40506
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,2.0496914,178,362.79535,0,4,243.39876
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,2.1276441,178,376.59299,0,3,138.96246
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,2.0115945,178,356.05222,1,3,130.18936
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1.9952215,178,353.15421,1,4,162.06264
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1.9277134,178,341.20526,1,4,184.86253
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1.9013562,178,336.54007,1,4,186.81696
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1.9004283,178,336.37579,1,3,70.41478
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2.6680799,178,472.25015,2,5,64.546532
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2.6935983,178,476.76691,2,5,53.262371
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2.7092893,178,479.54422,2,4,10.496307
12,530670.301217,184204.951786,530796.661501,184257.206605,4,2.2410309,178,396.66248,3,5,136.73875
13,530796.661501,184257.206605,530930.06091,184312.372373,4,2.2291868,178,394.56604,3,6,144.35603
14,530930.06091,184312.372373,531122.455508,184391.934911,4,2.1878631,178,387.25177,3,5,208.19673
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,3.2739437,178,579.48804,4,4,8.9747467
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,2.93519,178,519.52863,4,3,62.642906
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,3.1286857,178,553.77734,5,3,68.832535
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,3.129076,178,553.8465,5,4,5.5661507
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,2.6585228,178,470.55856,6,4,31.722631
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,2.7784717,178,491.78946,6,4,153.36557
21,530681.022227,184123.247113,530759.810269,184121.949841,4,1.9045813,178,337.11087,7,5,78.798721
22,530759.810269,184121.949841,530852.420354,184120.424984,4,1.90785,178,337.68945,7,6,92.622635
23,530852.420354,184120.424984,530924.739254,184119.234229,4,1.9084202,178,337.79037,7,6,72.328705
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,1.9053907,178,337.25418,7,5,78.076729
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,1.9017162,178,336.60376,7,4,38.178894
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,2.5618129,178,453.44086,7,4,19.806421
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,2.6702819,178,472.63989,8,4,152.64659
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,2.7316527,178,483.50256,8,4,30.569248
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,2.9778404,178,527.07776,9,3,36.273235
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,2.9655495,178,524.90228,9,3,20.292385
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,2.3392029,178,414.03891,10,4,63.638454
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,2.3403068,178,414.23431,10,4,72.13398
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,2.341048,178,414.36551,10,5,69.456345
34,530813.405101,183883.932657,530817.267644,183969.060997,4,2.3857973,178,422.28613,10,5,85.215919
35,530806.987301,183742.48786,530914.42656,183744.957076,4,2.8531966,178,505.01578,11,4,107.46763
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,1.9744444,178,349.47665,12,4,11.691815
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,1.9411006,178,343.5748,12,4,67.515892
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,1.9403737,178,343.44614,12,4,71.218079
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,1.9397604,178,343.33762,12,5,69.910538
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,1.9573545,178,346.45175,12,5,149.26498
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,1.9568692,178,346.36584,12,5,84.025612
42,530924.739254,184119.234229,530930.06091,184312.372373,4,1.956949,178,346.37997,12,6,193.21144
43,530930.06091,184312.372373,530931.972172,184381.737517,4,1.9299706,178,341.6048,12,5,69.391472
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,2.3117585,178,409.18124,13,3,72.605972
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,2.3180547,178,410.29568,13,5,109.37788
46,531176.603948,184225.137479,531408.976546,184268.735201,4,2.3067739,178,408.29898,13,5,236.42712
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,2.7400832,178,484.99472,14,3,73.804344
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,3.2897105,178,582.27875,15,4,1.1576769
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,3.1464055,178,556.91376,15,4,51.738968
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,2.76739,178,489.82803,16,2,57.332561
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,2.788902,178,493.63568,16,4,1.773312
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,2.3607044,178,417.8447,17,4,1.5755012
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,2.3481247,178,415.61807,17,5,94.138809
54,531158.779512,184280.043406,531391.966563,184338.919115,4,2.3545365,178,416.75296,17,5,240.50478
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,1.7511251,178,309.94916,18,4,63.214619
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,1.7640666,178,312.23978,18,4,55.795689
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,1.7641389,178,312.25259,18,5,61.844196
58,531158.779512,184280.043406,531176.603948,184225.137479,4,1.7617439,178,311.82867,18,6,57.726696
59,531176.603948,184225.137479,531200.805668,184150.587138,4,1.7605565,178,311.6185,18,6,78.380333
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,1.7472492,178,309.26312,18,5,76.566856
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,2.222074,178,393.3071,18,4,7.2528086
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,2.0450859,178,361.98019,19,4,4.8203835
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,2.0251868,178,358.45807,19,4,57.263824
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,2.0229781,178,358.06714,19,4,81.338486
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,2.0200679,178,357.55203,19,5,69.343399
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,1.9396986,178,343.32666,19,4,15.855036
67,531168.490957,183890.561739,531168.634422,183891.041697,4,1.897684,178,335.89005,20,5,0.50094116
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,1.8654556,178,330.18564,20,5,31.326914
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,1.6521972,178,292.4389,20,4,20.039038
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,1.65046,178,292.13141,20,4,80.945
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,1.6422169,178,290.67239,20,4,54.103935
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,1.7405815,178,308.08292,20,4,8.468255
73,531103.958023,183944.145791,531183.34523,183940.256055,2,2.6462817,178,468.39188,21,2,79.482445
74,531275.708412,184523.127156,531297.510832,184441.573404,2,2.9476249,178,521.72961,22,2,84.41777
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,1.65885,178,293.61646,23,3,141.50713
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,1.6593252,178,293.70056,23,4,75.595688
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,1.6598054,178,293.78555,23,4,72.215797
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,1.6564186,178,293.1861,23,5,73.287651
79,531426.238998,184197.509594,531433.414157,184167.904584,4,1.6512492,178,292.27109,23,6,30.462101
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,2.2009432,178,389.56696,23,4,41.801193
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,1.9045423,178,337.104,24,4,19.99411
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,1.900457,178,336.38089,24,4,81.959412
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,1.9023066,178,336.70828,24,5,61.298454
84,531200.805668,184150.587138,531426.238998,184197.509594,4,1.9078377,178,337.68729,24,6,230.26486
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,1.9073693,178,337.60434,24,4,11.345068
86,531379.770132,183732.449503,531382.423865,183753.991164,4,1.8653395,178,330.1651,25,5,21.704504
87,531382.423865,183753.991164,531401.51399,183908.955152,4,1.832442,178,324.34225,25,6,156.13542
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,1.7238797,178,305.12671,25,5,4.3709054
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,1.6495423,178,291.96899,25,4,123.53465
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,1.648689,178,291.81796,25,5,88.042221
91,531427.917161,184123.282742,531433.414157,184167.904584,4,1.5838182,178,280.33582,25,6,44.959156
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,1.7727867,178,313.78323,25,4,32.158134
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,1.7291083,178,306.05215,26,3,156.51314
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,1.7778511,178,314.67966,26,4,28.49353
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,1.7389914,178,307.80148,26,5,152.589
96,531401.51399,183908.955152,531401.85296,183913.274241,4,2.3554115,178,416.90784,26,5,4.3323708
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,2.2447524,178,397.32117,27,4,5.734199
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,2.2129683,178,391.69537,27,5,58.77298
99,531357.702997,183744.164384,531382.423865,183753.991164,4,2.1732881,178,384.672,27,6,26.602385
100,531382.423865,183753.991164,531389.575254,183756.833909,4,2.1946158,178,388.44702,27,5,7.6956849
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,2.544878,178,450.44342,28,4,14.008615
