Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,191,1037775.4,732.55475,684.07074,129662.2,12216.636,178,66.173325
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,389,2669377.5,672.46411,633.81207,119026.14,12216.636,178,82.40506
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,412,4307976.5,639.26111,629.23846,113149.21,12216.636,178,243.39876
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,377,2828497.5,650.47687,653.7951,115134.41,12216.636,178,138.96246
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,190,1739806.2,746.41687,697.45679,132115.78,12216.636,178,130.18936
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,205,2301829.2,718.88354,667.67218,127242.38,12216.636,178,162.06264
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,409,4556006,647.63959,614.17603,114632.21,12216.636,178,184.86253
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,422,3621399,695.25,675.0705,123059.25,12216.636,178,186.81696
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,258,1516701.6,761.86938,738.35431,134850.89,12216.636,178,70.41478
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,353,2270109.2,659.255,613.69666,116688.13,12216.636,178,64.546532
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,759,4487440.5,610.38965,572.82867,108038.97,12216.636,178,53.262371
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,777,3677922.8,587.09161,553.78668,103915.21,12216.636,178,10.496307
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,251,2635814.5,691.15558,647.11115,122334.53,12216.636,178,136.73875
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,376,3746620.2,657.23822,610.09509,116331.16,12216.636,178,144.35603
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,428,4441151.5,599.71112,570.83026,106148.87,12216.636,178,208.19673
