Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,363,3003724,2.480226,2.2373767,439,12216.636,178
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,580,4642601,2.480226,2.2403696,439,12216.636,178
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,748,6651110.5,2.480226,2.270494,439,12216.636,178
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,676,4888536,2.480226,2.2508609,439,12216.636,178
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,309,3169018.2,2.40113,2.1527228,425,12216.636,178
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,1113,8683220,2.40113,2.1584148,425,12216.636,178
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,1460,11219369,2.40113,2.1625049,425,12216.636,178
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,1304,9102546,2.40113,2.1628563,425,12216.636,178
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,1009,5732907.5,2.40113,2.1421287,425,12216.636,178
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,828,2433693.5,3.2259886,2.9508045,571,12216.636,178
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,811,2124331.5,3.2259886,2.9480669,571,12216.636,178
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,384,735403.19,3.2259886,2.9377379,571,12216.636,178
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,337,2842743,2.6497176,2.3782451,469,12216.636,178
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,1064,6720125,2.6497176,2.3797457,469,12216.636,178
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,1278,8690005,2.6497176,2.3923972,469,12216.636,178
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,273,511572.25,3.9548023,3.6866496,700,12216.636,178
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,347,889569.62,3.9548023,3.7029288,700,12216.636,178
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,280,920369.81,3.9548023,3.7044325,700,12216.636,178
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,273,445604.34,3.9548023,3.6852396,700,12216.636,178
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,496,2228111.5,3.3502824,3.1523755,593,12216.636,178
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,503,2597977,3.3502824,3.1841631,593,12216.636,178
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,364,2450705.8,2.5028248,2.2850864,443,12216.636,178
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,912,5164452,2.5028248,2.2876921,443,12216.636,178
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,1876,9380328,2.5028248,2.283869,443,12216.636,178
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,2115,9875979,2.5028248,2.2849505,443,12216.636,178
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,1514,6442211,2.5028248,2.2774649,443,12216.636,178
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,1189,4864804,2.5028248,2.2740343,443,12216.636,178
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,572,2713539,3.3502824,3.1845143,593,12216.636,178
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,564,2303830.8,3.3502824,3.1526127,593,12216.636,178
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,352,983195.56,3.5084746,3.4405742,621,12216.636,178
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,395,1020261.4,3.5084746,3.4360659,621,12216.636,178
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,370,1672497,2.8926554,2.8068035,512,12216.636,178
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,515,2361175,2.8926554,2.8087668,512,12216.636,178
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,1020,4199218.5,2.8926554,2.8081477,512,12216.636,178
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,841,3390994.2,2.8926554,2.8117957,512,12216.636,178
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,205,1469871.9,3.2372882,2.9775784,573,12216.636,178
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,932,6021072,2.3107345,2.027729,409,12216.636,178
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,1244,7507261.5,2.3107345,2.0370462,409,12216.636,178
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,1475,8964684,2.3107345,2.037667,409,12216.636,178
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,2641,14605296,2.3107345,2.0374477,409,12216.636,178
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,2845,16917558,2.3107345,2.0508459,409,12216.636,178
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,2599,16155773,2.3107345,2.0398183,409,12216.636,178
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,1751,13207152,2.3107345,2.058342,409,12216.636,178
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,965,7548248.5,2.3107345,2.0373607,409,12216.636,178
