Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration R500 metric,T1024 Node Count R500 metric,T1024 Total Depth R500 metric
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,25.116457,38,57.492188
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,31.22887,46,67.757812
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,33.92091,52,79.714844
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,26.11224,49,91.949219
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,18.71497,30,48.089844
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,27.879845,43,66.320312
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,35.351044,55,85.570312
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,25.419552,36,50.984375
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,21.574907,29,38.980469
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,25.506458,44,75.902344
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,25.115318,57,129.36328
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,25.230036,63,157.3125
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,22.621367,35,54.152344
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,28.370516,51,91.679688
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,36.663605,67,122.4375
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,24.193932,62,158.88281
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,28.467697,69,167.24219
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,26.033245,52,103.86719
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,25.000177,47,88.359375
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,30.845501,62,124.62109
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,29.095381,62,132.11719
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,37.150208,56,84.414062
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,43.419044,69,109.65234
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,52.215168,89,151.69922
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,58.670784,99,167.05078
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,59.789139,111,206.07422
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,42.861431,112,292.66406
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,32.566647,76,177.35938
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,34.498867,76,167.42578
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,33.045574,78,184.10938
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,34.476524,82,195.03125
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,29.602209,48,77.832031
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,36.040863,63,110.125
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,40.89296,77,144.98828
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,39.02346,80,164.00391
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,27.392551,61,135.83984
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,37.350704,56,83.960938
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,41.346264,59,84.191406
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,50.086956,75,112.30469
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,54.720215,93,158.05859
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,53.343979,98,180.03906
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,57.577835,106,195.14453
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,42.058968,77,140.96875
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,34.172562,56,91.769531
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,38.601841,91,214.52344
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,42.799126,99,229
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,42.246269,77,140.34375
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,36.285164,85,199.11719
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,24.781595,72,209.1875
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,23.68388,68,195.23828
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,22.938021,62,167.58203
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,26.067263,61,142.74609
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,31.28945,61,118.92188
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,38.925198,83,176.98047
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,34.231655,63,115.94531
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,44.887287,62,85.636719
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,53.76265,78,113.16406
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,59.016392,90,137.25
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,61.140526,94,144.51953
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,67.066101,108,173.91797
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,74.18383,122,200.63672
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,54.390133,120,264.75391
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,63.960682,121,228.90625
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,63.005489,115,209.90234
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,60.345566,104,179.23438
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,57.815228,101,176.44141
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,59.865414,96,153.94531
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,69.936737,131,245.37891
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,72.120201,135,252.70312
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,83.998535,134,213.76562
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,85.049194,131,201.77734
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,80.567833,121,181.72266
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,75.438721,123,200.54688
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,48.723446,125,320.6875
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,10.194126,20,39.238281
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,29.562593,35,41.4375
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,40.561405,51,64.125
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,44.318787,65,95.332031
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,55.323315,80,115.68359
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,61.231552,94,144.30469
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,44.341778,91,186.75391
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,60.483837,116,222.47266
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,56.737663,109,209.40234
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,59.287613,110,204.08984
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,50.979717,90,158.88672
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,45.300911,82,148.42969
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,42.581383,79,146.56641
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,53.427155,91,154.99609
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,62.03933,94,142.42578
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,66.157303,92,127.9375
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,64.599388,93,133.88672
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,68.668404,93,125.95312
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,53.105598,87,142.52734
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,40.039982,65,105.51953
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,45.812073,79,136.23047
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,57.306408,91,144.50391
