Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration R5 step,T1024 Node Count R5 step,T1024 Total Depth R5 step
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,31.721771,47,69.636719
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,36.769077,56,85.289062
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,37.297417,61,99.765625
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,33.204193,58,101.3125
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,29.570173,46,71.558594
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,32.675129,54,89.242188
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,38.161209,58,88.152344
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,33.618183,43,55
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,28.281345,34,40.875
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,25.96804,45,77.980469
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,25.834122,40,61.933594
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,24.23609,41,69.359375
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,32.559952,57,99.785156
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,37.287872,71,135.19141
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,42.396057,78,143.50391
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,17.825918,36,72.703125
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,24.150944,40,66.25
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,21.740704,39,69.960938
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,21.278931,37,64.335938
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,26.993969,50,92.613281
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,26.92535,55,112.34766
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,35.231316,56,89.011719
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,40.208347,61,92.542969
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,43.344669,78,140.36328
