Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration R5 step,T1024 Node Count,T1024 Node Count R5 step,T1024 Total Depth,T1024 Total Depth R5 step
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,88.617859,31.721771,178,47,357.53516,69.636719
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,89.036148,36.769077,178,56,355.85547,85.289062
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,87.789162,37.297417,178,61,360.91016,99.765625
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,84.789192,33.204193,178,58,373.67969,101.3125
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,89.3825,29.570173,178,46,354.47656,71.558594
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,90.132393,32.675129,178,54,351.52734,89.242188
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,93.362,38.161209,178,58,339.36719,88.152344
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,94.585724,33.618183,178,43,334.97656,55
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,94.632072,28.281345,178,34,334.8125,40.875
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,67.747787,25.96804,178,45,467.67578,77.980469
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,66.705902,25.834122,178,40,474.98047,61.933594
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,66.317581,24.23609,178,41,477.76172,69.359375
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,80.08831,32.559952,178,57,395.61328,99.785156
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,80.518425,37.287872,178,71,393.5,135.19141
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,82.457573,42.396057,178,78,384.24609,143.50391
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,54.864071,17.825918,178,36,577.5,72.703125
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,61.200176,24.150944,178,40,517.71094,66.25
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,57.446114,21.740704,178,39,551.54297,69.960938
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,57.439606,21.278931,178,37,551.60547,64.335938
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,67.549751,26.993969,178,50,469.04688,92.613281
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,64.708687,26.92535,178,55,489.64062,112.34766
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,94.541626,35.231316,178,56,335.13281,89.011719
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,94.387596,40.208347,178,61,335.67969,92.542969
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,94.350273,43.344669,178,78,335.8125,140.36328
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,94.411774,45.488697,178,86,335.59375,162.58984
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,94.596756,45.186195,178,81,334.9375,145.19922
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,70.44252,30.510746,178,61,449.78516,121.95703
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,67.250679,30.284658,178,64,471.13281,135.25
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,65.794159,29.633413,178,59,481.5625,117.46875
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,60.132584,23.361479,178,52,526.90234,115.74609
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,60.404408,24.247278,178,59,524.53125,143.5625
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,76.827156,25.145803,178,40,412.40625,63.628906
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,76.798058,27.61607,178,48,412.5625,83.429688
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,76.773346,29.882862,178,61,412.69531,124.51953
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,75.121597,30.31645,178,65,421.76953,139.36328
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,63.447308,22.542488,178,46,499.375,93.867188
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,91.489624,24.737551,178,42,346.3125,71.308594
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,93.415764,33.803303,178,52,339.17188,79.992188
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,93.450203,42.523815,178,61,339.04688,87.503906
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,93.480362,50.933693,178,77,338.9375,116.40625
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,92.603081,54.049263,178,90,342.14844,149.86328
