Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration [Segment Length Wgt],T1024 Node Count,T1024 Total Depth,T1024 Total Depth [Segment Length Wgt],T1024 Total Segment Length
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,88.617859,6618.5718,178,357.53516,22549.607,12216.636
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,89.036148,6680.416,178,355.85547,22340.854,12216.636
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,87.789162,6583.7954,178,360.91016,22668.717,12216.636
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,84.789192,6377.4712,178,373.67969,23402.096,12216.636
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,89.3825,6714.5283,178,354.47656,22227.355,12216.636
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,90.132393,6768.0562,178,351.52734,22051.561,12216.636
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,93.362,7145.4531,178,339.36719,20886.877,12216.636
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,94.585724,7241.9897,178,334.97656,20608.453,12216.636
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,94.632072,7246.8599,178,334.8125,20594.604,12216.636
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,67.747787,4992.2837,178,467.67578,29895.375,12216.636
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,66.705902,4920.8042,178,474.98047,30329.635,12216.636
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,66.317581,4891.7046,178,477.76172,30510.059,12216.636
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,80.08831,6026.8027,178,395.61328,24763.744,12216.636
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,80.518425,6047.978,178,393.5,24677.041,12216.636
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,82.457573,6239.9404,178,384.24609,23917.889,12216.636
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,54.864071,3917.8215,178,577.5,38094.18,12216.636
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,61.200176,4461.4165,178,517.71094,33452.648,12216.636
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,57.446114,4183.127,178,551.54297,35678.145,12216.636
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,57.439606,4182.6602,178,551.60547,35682.125,12216.636
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,67.549751,4859.6494,178,469.04688,30711.309,12216.636
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,64.708687,4663.2021,178,489.64062,32005.088,12216.636
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,94.541626,6940.915,178,335.13281,21502.381,12216.636
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,94.387596,6921.416,178,335.67969,21562.957,12216.636
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,94.350273,6925.3647,178,335.8125,21550.662,12216.636
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,94.411774,6929.8618,178,335.59375,21536.678,12216.636
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,94.596756,6949.0996,178,334.9375,21477.057,12216.636
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,70.44252,5291.4692,178,449.78516,28205.059,12216.636
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,67.250679,4869.6396,178,471.13281,30648.303,12216.636
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,65.794159,4767.6074,178,481.5625,31304.215,12216.636
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,60.132584,4206.0908,178,526.90234,35483.352,12216.636
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,60.404408,4222.1895,178,524.53125,35348.059,12216.636
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,76.827156,5356.625,178,412.40625,27861.982,12216.636
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,76.798058,5353.8901,178,412.5625,27876.215,12216.636
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,76.773346,5351.5645,178,412.69531,27888.332,12216.636
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,75.121597,5252.0879,178,421.76953,28416.547,12216.636
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,63.447308,4644.291,178,499.375,32135.412,12216.636
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,91.489624,6918.437,178,346.3125,21572.242,12216.636
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,93.415764,7065.1655,178,339.17188,21124.232,12216.636
