Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T4 Integration,T4 Node Count,T4 Total Depth
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,89.756371,178,353
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,89.756371,178,353
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,89.756371,178,353
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,89.756371,178,353
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,97.790123,178,324
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,97.790123,178,324
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,97.790123,178,324
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,97.790123,178,324
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,97.790123,178,324
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,74.028038,178,428
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,74.028038,178,428
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,72.503433,178,437
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,85.632431,178,370
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,85.632431,178,370
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,85.632431,178,370
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,71.360359,178,444
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,73.512764,178,431
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,73.17321,178,433
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,73.17321,178,433
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,73.17321,178,433
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,73.17321,178,433
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,105.26246,178,301
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,105.26246,178,301
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,105.26246,178,301
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,105.26246,178,301
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,105.26246,178,301
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,70.252769,178,451
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,73.512764,178,431
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,73.512764,178,431
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,63.241516,178,501
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,63.241516,178,501
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,79.012466,178,401
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,79.012466,178,401
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,79.012466,178,401
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,79.012466,178,401
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,62.990059,178,503
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,93.463127,178,339
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,93.463127,178,339
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,93.463127,178,339
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,93.463127,178,339
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,93.463127,178,339
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,93.463127,178,339
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,93.463127,178,339
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,93.463127,178,339
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,82.942406,178,382
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,82.942406,178,382
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,82.942406,178,382
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,67.845825,178,467
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,58.029305,178,546
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,58.029305,178,546
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,82.510414,178,384
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,82.510414,178,384
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,82.082901,178,386
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,82.942406,178,382
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,82.942406,178,382
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,122.8062,178,258
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,122.8062,178,258
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,122.8062,178,258
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,122.8062,178,258
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,122.8062,178,258
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,122.8062,178,258
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,94.297623,178,336
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,112.35461,178,282
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,112.35461,178,282
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,112.35461,178,282
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,112.35461,178,282
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,112.35461,178,282
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,117.34814,178,270
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,117.34814,178,270
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,137.75652,178,230
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,137.75652,178,230
