Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Shortest Path Distance,Metric Shortest Path Order,Segment Length
0,530636.411822,184463.222417,530644.992375,184397.830134,4,0,5,-1,-1,65.952835
1,530644.992375,184397.830134,530653.35652,184334.087101,4,0,6,-1,-1,64.289444
2,530653.35652,184334.087101,530661.691978,184270.562683,3.1653719,0,5,-1,-1,64.068962
3,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,4,-1,-1,66.173325
4,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,-1,-1,82.40506
5,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,-1,-1,243.39876
6,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,-1,-1,138.96246
7,530661.691978,184270.562683,530692.36177,184283.178143,4,1,5,-1,-1,33.163021
8,530692.36177,184283.178143,530782.093572,184320.087685,3.1035011,1,5,-1,-1,97.026337
9,530782.093572,184320.087685,530930.484985,184381.12579,2.8964992,1,5,-1,-1,160.45454
10,530930.484985,184381.12579,531102.93655,184452.060599,3.0485959,1,5,-1,-1,186.47061
11,531102.93655,184452.060599,531200.789701,184492.31071,2.9514041,1,5,-1,-1,105.80789
12,531200.789701,184492.31071,531203.452509,184493.406007,3.082129,1,5,-1,-1,2.8792751
13,531203.452509,184493.406007,531340.829339,184549.913463,2.2738433,1,4,-1,-1,148.54456
14,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,-1,-1,64.546532
15,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,-1,-1,53.262371
16,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,-1,-1,10.496307
17,530670.301217,184204.951786,530732.568117,184230.701535,3.1665726,3,4,-1,-1,67.381126
18,530732.568117,184230.701535,530796.661501,184257.206605,2.8334274,3,5,-1,-1,69.357628
19,530796.661501,184257.206605,530928.717304,184311.81674,4,3,6,-1,-1,142.90207
20,530928.717304,184311.81674,531122.455508,184391.934911,4,3,5,-1,-1,209.6507
21,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,-1,-1,8.9747467
22,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,-1,-1,62.642906
23,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,-1,-1,68.832535
24,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,-1,-1,5.5661507
25,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,-1,-1,31.722631
26,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,-1,-1,153.36557
27,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,-1,-1,78.798721
28,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,-1,-1,92.622635
29,530852.420354,184120.424984,530923.806009,184119.249595,4,7,6,-1,-1,71.395332
30,530923.806009,184119.249595,531002.805399,184117.948843,3.0542002,7,5,-1,-1,79.010101
31,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,-1,-1,38.178894
32,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,-1,-1,19.806421
33,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,-1,-1,152.64659
34,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,-1,-1,30.569248
35,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,-1,-1,36.273235
36,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,-1,-1,20.292385
37,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,-1,-1,63.638454
38,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,-1,-1,72.13398
39,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,-1,-1,69.456345
40,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,-1,-1,85.215919
41,530806.987301,183742.48786,530914.259832,183744.953244,4,11,4,-1,-1,107.30086
42,530912.24057,183665.779945,530912.539003,183677.481209,3.2868223,12,4,-1,-1,11.705069
43,530912.539003,183677.481209,530914.259832,183744.953244,1.7440393,12,4,-1,-1,67.493973
44,530914.259832,183744.953244,530916.075489,183816.143418,1.9949708,12,4,-1,-1,71.213326
45,530916.075489,183816.143418,530917.857721,183886.023019,2.9741676,12,5,-1,-1,69.902321
46,530917.857721,183886.023019,530921.664603,184035.287141,3.0227754,12,5,-1,-1,149.31265
47,530921.664603,184035.287141,530923.806009,184119.249595,2.9772246,12,5,-1,-1,83.989754
48,530923.806009,184119.249595,530928.717304,184311.81674,4,12,6,-1,-1,192.62976
49,530928.717304,184311.81674,530930.484985,184381.12579,4,12,6,-1,-1,69.331589
50,530930.484985,184381.12579,530932.28179,184451.576755,2.5330358,12,4,-1,-1,70.473877
51,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,-1,-1,72.605972
52,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,-1,-1,109.37788
53,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,-1,-1,236.42712
54,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,-1,-1,73.804344
55,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,-1,-1,1.1576769
56,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,-1,-1,51.738968
57,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,-1,-1,57.332561
58,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,-1,-1,1.773312
59,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,-1,-1,1.5755012
60,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,-1,-1,94.138809
61,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,-1,-1,240.50478
62,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,-1,-1,63.214619
63,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,-1,-1,55.795689
64,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,-1,-1,61.844196
65,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,-1,-1,57.726696
66,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,-1,-1,78.380333
67,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,-1,-1,76.566856
68,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,-1,-1,7.2528086
69,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,-1,-1,4.8203835
70,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,-1,-1,57.263824
71,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,-1,-1,81.338486
72,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,-1,-1,69.343399
73,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,5,-1,-1,15.855036
74,531443.26017,184127.27952,531443.260655,184127.279646,3.0108566,19,4,-1,-1,0.00050104933
75,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,-1,-1,0.50094116
