Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
38,0.66,7.08,1.9766783,1866,3688.4817,39,16.140007,10.422
39,0.66,7.14,1.9456899,1866,3630.6575,46,24.591185,21.430799
40,0.66,7.2,1.9501582,1866,3638.9954,35,14.155408,8.9387999
42,0.66,7.32,2.6677516,1866,4978.0244,35,9.3400326,2.9663999
43,0.66,7.38,2.2006209,1866,4106.3584,40,10.208158,3.168
44,0.66,7.44,2.3235083,1866,4335.6665,35,8.519104,2.5739999
45,0.66,7.5,2.4150558,1866,4506.4941,35,9.3400326,2.9663999
47,0.66,7.62,2.3072624,1866,4305.3516,41,21.502897,17.510401
48,0.66,7.68,2.2191446,1866,4140.9238,44,20.715557,15.2964
49,0.66,7.74,2.1450827,1866,4002.7244,43,19.489054,13.266
65574,0.72,7.08,1.9776031,1866,3690.2073,42,15.990151,9.6912003
65575,0.72,7.14,1.9362757,1866,3613.0906,52,25.002892,20.0268
65576,0.72,7.2,1.9278334,1866,3597.3372,42,14.466287,8.3808002
65578,0.72,7.32,2.205116,1866,4114.7466,41,9.3273106,2.5488
65579,0.72,7.38,2.3944616,1866,4468.0654,42,8.9652472,2.3508
65580,0.72,7.44,2.474534,1866,4617.4805,42,8.9652472,2.3508
65581,0.72,7.5,2.5167027,1866,4696.167,40,8.9661274,2.4300001
65583,0.72,7.62,2.2887664,1866,4270.8379,48,20.633551,14.616
65584,0.72,7.68,2.1979563,1866,4101.3867,49,20.80439,14.1624
65585,0.72,7.74,2.1193583,1866,3954.7227,47,19.862686,12.7872
131110,0.78,7.08,1.9840301,1866,3702.2002,47,16.967953,9.3240004
131111,0.78,7.14,1.9380999,1866,3616.4944,55,24.526804,18.4032
131112,0.78,7.2,1.9332414,1866,3607.4285,48,15.603705,8.2116003
131113,0.78,7.26,1.9298762,1866,3601.1489,45,11.063578,3.5208001
131114,0.78,7.32,2.6730838,1866,4987.9741,46,9.518342,2.3759999
131115,0.78,7.38,2.6730583,1866,4987.9268,46,9.0021734,2.1240001
131116,0.78,7.44,2.6731067,1866,4988.0171,45,8.6790638,2.0195999
131117,0.78,7.5,2.6729326,1866,4987.6924,47,9.8242826,2.4696
131118,0.78,7.56,2.6673255,1866,4977.2295,31,6.8200483,1.9188
131119,0.78,7.62,2.2869966,1866,4267.5356,56,21.184479,12.8196
131120,0.78,7.68,2.2025831,1866,4110.02,53,21.590048,14.202
131121,0.78,7.74,2.1156077,1866,3947.7241,50,19.565773,11.7216
196646,0.84,7.08,2.0074179,1866,3745.8418,34,8.7625027,3.6143999
196647,0.84,7.14,1.9477582,1866,3634.5168,46,19.160961,14.508
196648,0.84,7.2,1.9481667,1866,3635.2791,36,10.687263,5.9580002
196650,0.84,7.32,3.3078341,1866,6172.4185,36,7.1586061,1.7460001
196651,0.84,7.38,3.1311691,1866,5842.7617,35,5.9324508,1.2348
196652,0.84,7.44,2.9581609,1866,5519.9282,38,6.8484983,1.5264
196653,0.84,7.5,2.9013348,1866,5413.8906,35,6.9112196,1.6848
196655,0.84,7.62,2.3451762,1866,4376.0986,38,13.443433,8.0388002
196656,0.84,7.68,2.2214801,1866,4145.2817,46,17.849586,11.8728
196657,0.84,7.74,2.1197381,1866,3955.4312,41,13.137547,6.8867998
262149,0.9,5.1,1.102129,1866,2056.5728,80,32.737648,16.2684
262150,0.9,5.16,1.0720326,1866,2000.4127,91,45.301304,34.538399
262151,0.9,5.22,1.1129553,1866,2076.7747,90,43.330898,33.155998
262152,0.9,5.28,1.1713357,1866,2185.7124,80,29.518152,14.7636
262153,0.9,5.34,1.2478813,1866,2328.5464,75,26.046785,11.628
262154,0.9,5.4,1.332104,1866,2485.7061,74,26.833858,12.2508
262155,0.9,5.46,1.4343103,1866,2676.4231,72,27.138168,12.186
262172,0.9,6.48,1.3572465,1866,2532.6221,25,9.6348734,5.9544001
262173,0.9,6.54,1.4203228,1866,2650.3223,19,3.6395299,0.98280001
262174,0.9,6.6,1.6060694,1866,2996.9255,16,2.3292317,0.42120001
262175,0.9,6.66,1.6833885,1866,3141.2029,13,1.9536176,0.34200001
262176,0.9,6.72,1.6430157,1866,3065.8674,7,0.89613986,0.14399999
262177,0.9,6.78,1.4061713,1866,2623.9158,10,1.6953499,0.36359999
262182,0.9,7.08,2.029237,1866,3786.5562,31,6.312499,1.6668
262183,0.9,7.14,1.9546684,1866,3647.4111,44,17.473463,12.6108
262184,0.9,7.2,1.9490371,1866,3636.9031,32,7.6784205,3.0852001
262186,0.9,7.32,3.4685194,1866,6472.2573,34,6.5811424,1.5804
262187,0.9,7.38,3.3507659,1866,6252.5293,32,5.0227079,0.954
