Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
38,0.66,7.08,39,0.15917793,0.14857012,15.47886,0.3691929,1.2828521,0.0088299997,2.0725927,3.6692781,16.140007,10.422
39,0.66,7.14,46,0.1883419,0.13248464,3.0550938,0.49638104,1.520895,0.0088299997,2.4480062,4.2266436,24.591185,21.430799
40,0.66,7.2,35,0.15134567,0.12647253,352.34192,0.39369282,1.300595,0.0088299997,2.3173769,3.8778574,14.155408,8.9387999
42,0.66,7.32,35,0.12441619,0.38794976,29.220068,0.25696495,0.52235883,0.0088299997,0.56374598,2.0075004,9.3400326,2.9663999
43,0.66,7.38,40,0.13252042,0.22052383,10.895687,0.23118475,0.50308353,0.0088299997,1.223572,2.7480116,10.208158,3.168
44,0.66,7.44,35,0.13413692,0.22665864,351.0751,0.22898151,0.49872091,0.0088299997,1.193987,2.7270491,8.519104,2.5739999
45,0.66,7.5,35,0.12588386,0.37392539,332.24222,0.25329253,0.5266912,0.0088299997,0.60174018,2.0568256,9.3400326,2.9663999
47,0.66,7.62,41,0.15746002,0.20575824,7.7529445,0.46059391,1.2821162,0.0088299997,1.5979987,3.1010692,21.502897,17.510401
48,0.66,7.68,44,0.17941108,0.16251138,357.11511,0.47051758,1.2761164,0.0088299997,2.0615828,3.724669,20.715557,15.2964
49,0.66,7.74,43,0.1664042,0.15581529,346.8804,0.42285234,1.2844473,0.0088299997,2.0803826,3.6633809,19.489054,13.266
65574,0.72,7.08,42,0.17533596,0.12569237,28.532373,0.29606497,1.223802,0.044693999,2.4979792,4.1868362,15.990151,9.6912003
65575,0.72,7.14,52,0.20874174,0.11730473,8.8282537,0.40461579,1.4609163,0.068829998,2.8323188,4.7288094,25.002892,20.0268
65576,0.72,7.2,42,0.17486812,0.12091454,358.13177,0.28939733,1.2221373,0.059110999,2.5365546,4.2630553,14.466287,8.3808002
65578,0.72,7.32,41,0.15093189,0.24691702,28.677296,0.17941344,0.47801223,0.016128,1.1204569,2.7715323,9.3273106,2.5488
65579,0.72,7.38,42,0.15499727,0.27339363,9.70469,0.14707193,0.44463199,0.068829998,1.0049504,2.6691487,8.9652472,2.3508
65580,0.72,7.44,42,0.15433605,0.27426949,349.94864,0.14666343,0.44130328,0.068829998,1.0000348,2.659193,8.9652472,2.3508
65581,0.72,7.5,40,0.15401228,0.25974652,332.30417,0.17026389,0.48312542,0.026559999,1.059797,2.7296548,8.9661274,2.4300001
65583,0.72,7.62,48,0.18275464,0.15856065,3.8108194,0.35408726,1.2229816,0.047561999,2.1040897,3.8057601,20.633551,14.616
65584,0.72,7.68,49,0.20140241,0.13999216,350.58969,0.37880096,1.2162898,0.068829998,2.4615781,4.2519231,20.80439,14.1624
65585,0.72,7.74,47,0.1842982,0.13061333,336.04776,0.34246245,1.2255801,0.041322,2.5300658,4.2108688,19.862686,12.7872
131110,0.78,7.08,47,0.17842928,0.12718455,41.469189,0.23526779,1.1649743,0.044693999,2.4046495,4.1987576,16.967953,9.3240004
131111,0.78,7.14,55,0.21901408,0.12197529,13.843422,0.33121011,1.4009399,0.104694,2.7311726,4.7501249,24.526804,18.4032
131112,0.78,7.2,48,0.19131133,0.13231827,9.864418,0.18968678,1.1630982,0.059721291,2.3534803,4.2625093,15.603705,8.2116003
131113,0.78,7.26,45,0.17227903,0.20800927,355.77539,0.096694931,0.67437088,0.0085159997,1.7151505,3.2261145,11.063578,3.5208001
131114,0.78,7.32,46,0.16210337,0.28737649,47.715656,0.096452482,0.47044665,0.018238274,0.77083421,2.6624124,9.518342,2.3759999
131115,0.78,7.38,46,0.15830173,0.28307363,18.634998,0.07162182,0.41488728,0.076602839,0.85287058,2.6509287,9.0021734,2.1240001
131116,0.78,7.44,45,0.15754715,0.28029624,340.53424,0.072791606,0.42014253,0.086977907,0.88585818,2.6576731,8.6790638,2.0195999
131117,0.78,7.5,47,0.16032763,0.28516889,312.48633,0.09797056,0.47477821,0.027891859,0.80005312,2.6580188,9.8242826,2.4696
131118,0.78,7.56,31,0.10118549,0.27042907,250.64287,0.086834669,0.53202003,0.0085159997,1.1085179,2.1683898,6.8200483,1.9188
131119,0.78,7.62,56,0.20503637,0.13971841,353.90051,0.24524269,1.1640497,0.048318382,2.3689847,4.2943115,21.184479,12.8196
131120,0.78,7.68,53,0.21363041,0.14671129,344.25577,0.30486542,1.156504,0.101322,2.358994,4.2776446,21.590048,14.202
131121,0.78,7.74,50,0.18896569,0.13303907,326.13687,0.27741215,1.1667151,0.041322,2.4236858,4.2248063,19.565773,11.7216
196646,0.84,7.08,34,0.15113857,0.14385022,39.309731,0.15896767,1.1064514,0.044693999,1.9952855,3.6336019,8.7625027,3.6143999
196647,0.84,7.14,46,0.19112809,0.14007886,4.1966472,0.31816188,1.3409665,0.104694,2.2881031,4.1407681,19.160961,14.508
196648,0.84,7.2,36,0.14550926,0.15683064,342.69757,0.18512149,1.1043093,0.059110999,1.8515217,3.4145603,10.687263,5.9580002
196650,0.84,7.32,36,0.12564035,0.39769119,75.770988,0.13115044,0.49847242,0.016128,0.5198673,1.9924916,7.1586061,1.7460001
196651,0.84,7.38,35,0.13052997,0.29034269,64.393845,0.057511531,0.44352689,0.076127999,0.7888242,2.3768656,5.9324508,1.2348
196652,0.84,7.44,38,0.13209738,0.27741846,300.32547,0.044682749,0.44658035,0.086560003,0.82856089,2.4461572,6.8484983,1.5264
196653,0.84,7.5,35,0.1269189,0.38640952,284.32446,0.12252004,0.50159472,0.026559999,0.53205663,2.0316279,6.9112196,1.6848
196655,0.84,7.62,38,0.156545,0.17399108,13.652793,0.26942453,1.1053958,0.047561999,1.8238032,3.3624904,13.443433,8.0388002
196656,0.84,7.68,46,0.18261857,0.17449239,356.16373,0.29556057,1.0967743,0.101322,1.8850514,3.6265123,17.849586,11.8728
196657,0.84,7.74,41,0.16037987,0.15389366,332.74234,0.21615706,1.1073707,0.041322,1.9371663,3.6188409,13.137547,6.8867998
262149,0.9,5.1,80,0.26430413,0.25810632,33.321358,0.39122474,1.0342619,0.002654,1.5931776,3.5872164,32.737648,16.2684
262150,0.9,5.16,91,0.29370725,0.16007774,17.935709,0.44821069,1.6554129,0.002654,2.7270758,4.8017197,45.301304,34.538399
262151,0.9,5.22,90,0.30706146,0.17182544,7.8422637,0.47966093,1.6536213,0.002654,2.5571303,4.7388597,43.330898,33.155998
262152,0.9,5.28,80,0.26494029,0.18821645,1.5410191,0.35290399,1.3170859,0.002654,2.2202353,4.2058148,29.518152,14.7636
262153,0.9,5.34,75,0.25008851,0.24741848,350.79623,0.32520196,1.0425855,0.002654,1.6402769,3.5639839,26.046785,11.628
262154,0.9,5.4,74,0.2415278,0.28973326,339.57562,0.3283917,1.0664128,0.002654,1.3393431,3.2366021,26.833858,12.2508
262155,0.9,5.46,72,0.23570892,0.27838123,329.61453,0.34153631,1.0968888,0.002654,1.383993,3.2619174,27.138168,12.186
262172,0.9,6.48,25,0.098082937,0.14700301,26.236898,0.34037831,1.00652,0.022515999,1.8355787,2.8955998,9.6348734,5.9544001
262173,0.9,6.54,19,0.068302155,0.22094227,17.455994,0.13743399,0.53197199,0.022515999,0.87508029,1.9709823,3.6395299,0.98280001
262174,0.9,6.6,16,0.057755075,0.29614654,342.35428,0.10594938,0.32735631,0.022515999,0.5974738,1.5654769,2.3292317,0.42120001
262175,0.9,6.66,13,0.048754051,0.47628084,307.4296,0.14195842,0.35623804,0.0035959999,0.28435037,1.1341715,1.9536176,0.34200001
262176,0.9,6.72,7,0.036260787,0.32117552,20.404043,0.11019702,0.3444528,0.022515999,0.41441303,1.1911112,0.89613986,0.14399999
262177,0.9,6.78,10,0.051232032,0.18482146,341.97647,0.15408781,0.50560629,0.022515999,0.95838398,1.8663777,1.6953499,0.36359999
262182,0.9,7.08,31,0.13540842,0.13724144,63.08643,0.09302973,1.0483588,0.044693999,1.9380304,3.5211549,6.312499,1.6668
262183,0.9,7.14,44,0.1836216,0.14930737,2.01422,0.28605989,1.2809963,0.104694,2.1671324,3.9312096,17.473463,12.6108
262184,0.9,7.2,32,0.13729961,0.17745326,329.15735,0.11639486,1.0458739,0.059110999,1.6080701,3.1181543,7.6784205,3.0852001
262186,0.9,7.32,34,0.11839153,0.39513245,99.861786,0.11400978,0.52390087,0.016128,0.48881337,1.9404118,6.5811424,1.5804
262187,0.9,7.38,32,0.11533222,0.42187783,108.71046,0.044948563,0.41100261,0.076127999,0.41647026,1.8534757,5.0227079,0.954
262188,0.9,7.44,31,0.11490797,0.42618409,246.01129,0.033670783,0.39272383,0.086560003,0.40571132,1.8406931,4.6385207,0.8064
262189,0.9,7.5,34,0.11796729,0.40053961,259.36374,0.10204173,0.50353217,0.026559999,0.47423884,1.9238136,6.5811424,1.5804
262191,0.9,7.62,38,0.15244952,0.19759193,18.94429,0.20656045,1.0471214,0.047561999,1.6036335,3.1137474,12.620711,7.0128002
262192,0.9,7.68,41,0.17614014,0.19132383,358.2865,0.26350585,1.0371243,0.101322,1.7508668,3.4013364,15.399157,9.9252005
262193,0.9,7.74,36,0.14514628,0.15052649,326.09824,0.1497606,1.0481009,0.041322,1.8403084,3.480979,9.4838724,3.8664
327685,0.96,5.1,82,0.27201542,0.22223367,40.7453,0.35273376,0.99852097,0.0039530001,1.8650373,3.9219022,31.096523,14.742
327686,0.96,5.16,93,0.29927707,0.15231936,22.477343,0.38998991,1.5955575,0.062654004,2.8367682,4.9689441,42.515751,30.870001
327687,0.96,5.22,92,0.31351647,0.15064777,9.9492292,0.42095315,1.5936666,0.062654004,2.8811097,5.1139178,40.636513,29.822399
327688,0.96,5.28,79,0.26812309,0.18132728,3.0725224,0.28903535,1.2575433,0.062654004,2.286665,4.3106275,25.271599,11.448
327689,0.96,5.34,78,0.25280929,0.23947041,349.4397,0.26468787,0.98610884,0.062654004,1.6897708,3.6422985,24.21743,9.8928003
327690,0.96,5.4,77,0.24208617,0.23508553,335.28937,0.26947942,1.0128212,0.062654004,1.6824954,3.5973024,25.108082,10.5912
327691,0.96,5.46,72,0.2351702,0.44538489,323.33548,0.28933302,0.7942912,0.036596,0.69287968,2.575896,24.311678,9.9504004
327708,0.96,6.48,17,0.07016135,0.19630399,56.970737,0.14069091,0.58692831,0.047958001,1.0908151,2.1192849,2.9484327,0.67320001
327709,0.96,6.54,24,0.086655013,0.083880015,21.443924,0.19049877,1.2807332,0.082516,2.3952117,3.6030686,5.5551147,2.2535999
327710,0.96,6.6,18,0.065808326,0.33301604,352.0705,0.035746902,0.27238518,0.063853703,0.51500976,1.5758424,2.1629272,0.3096
327711,0.96,6.66,17,0.067805499,0.35138488,301.13165,0.053104196,0.25391805,0.0067657651,0.42551062,1.5572052,2.0359352,0.28080001
327712,0.96,6.72,14,0.061519839,0.28894553,302.17542,0.072513789,0.30891639,0.036461219,0.59833324,1.6357033,1.8714899,0.3132
327713,0.96,6.78,15,0.067060545,0.20851666,309.28922,0.12364293,0.45921043,0.051562998,0.96024048,2.0103335,2.4727697,0.51480001
327718,0.96,7.08,31,0.13070214,0.29482123,100.27074,0.078135267,0.49387768,0.044693999,0.85043097,2.3602984,6.451355,1.6884
327719,0.96,7.14,42,0.1841028,0.17055272,1.8410921,0.23808382,1.2210302,0.104694,1.9308659,3.6830347,16.198528,11.0664
327720,0.96,7.2,29,0.12862223,0.36190277,263.03226,0.058275592,0.49315655,0.059110999,0.60943639,2.1133285,5.605689,1.3536
327722,0.96,7.32,32,0.11337317,0.44950867,125.09547,0.12462009,0.48348674,0.016128,0.3904973,1.7802912,6.2217784,1.4868
327723,0.96,7.38,31,0.11148106,0.46803665,151.65904,0.077552013,0.40625393,0.076127999,0.34730062,1.7300774,5.0977063,1.0368
327724,0.96,7.44,31,0.11125451,0.47093657,200.7646,0.072555393,0.39430654,0.086560003,0.34105253,1.7229892,5.0977063,1.0368
327725,0.96,7.5,31,0.11314663,0.45350203,231.87006,0.11539279,0.46918514,0.026559999,0.38171011,1.7706639,5.7531633,1.2672
327727,0.96,7.62,36,0.14663248,0.19359675,31.756294,0.13010192,0.987881,0.047561999,1.5039004,3.0851123,10.93199,5.5008001
327728,0.96,7.68,43,0.17803173,0.22197689,358.25189,0.21523468,0.97759116,0.101322,1.5267344,3.1746786,15.819741,9.4463997
327729,0.96,7.74,31,0.13156931,0.15941451,285.84732,0.079234093,0.91021013,0.041322,1.6954664,3.2204628,6.8078914,2.0051999
393221,1.02,5.1,88,0.28893191,0.20323767,51.949459,0.33907777,1.1087958,0.0039530001,2.0646803,4.2266917,33.503704,16.783199
393222,1.02,5.16,96,0.31279296,0.13767828,31.170446,0.34166729,1.5357186,0.063952997,3.1249287,5.3431907,40.855114,27.4104
393223,1.02,5.22,96,0.32711291,0.13550363,14.464696,0.3642205,1.533717,0.122654,3.1778514,5.5078015,39.740208,27.705601
393224,1.02,5.28,81,0.27572969,0.16907957,7.5866256,0.22577016,1.1980706,0.122654,2.4227862,4.5269022,23.395092,9.6731997
393225,1.02,5.34,79,0.25882387,0.22513588,348.73804,0.2036121,0.93055981,0.122654,1.7891945,3.800885,22.008408,8.1647997
393226,1.02,5.4,75,0.24449953,0.22402415,329.33258,0.21095404,0.96087164,0.096596003,1.7523006,3.7033651,21.168108,7.6824002
393227,1.02,5.46,71,0.23661928,0.43842235,314.88602,0.24610345,0.76554686,0.036596,0.71077734,2.6042559,21.465881,7.8336
393229,1.02,5.58,91,0.35393214,0.28473547,69.881302,0.4438144,1.2559816,0.037204999,1.2988361,3.9522476,43.349888,25.819201
393230,1.02,5.64,94,0.36799634,0.26650244,64.528175,0.36976328,1.2018175,0.037204999,1.4270184,4.165586,40.505371,22.150801
393231,1.02,5.7,100,0.38844088,0.12930194,54.975529,0.29567096,1.8423076,0.037204999,3.3007321,6.1441936,40.955368,21.257999
393232,1.02,5.76,106,0.4062981,0.11338934,42.839703,0.24112101,1.748265,0.037204999,3.7976847,6.710289,43.213921,22.8456
393233,1.02,5.82,112,0.42145273,0.10964449,31.287283,0.2191962,1.654496,0.037204999,3.9493725,6.9500184,46.609913,26.503201
393234,1.02,5.88,116,0.43414527,0.11128724,18.96389,0.216607,1.5610495,0.037204999,4.0178847,7.0016398,48.331917,27.4788
393235,1.02,5.94,223,0.66565561,0.050709385,1.3435303,0.9739846,3.9882805,0.037204999,9.0428238,12.843564,300.79419,724.2804
393236,1.02,6,224,0.66164678,0.051144168,357.26437,0.97876698,3.9882329,0.037204999,8.9957514,12.750288,301.49008,724.4928
393237,1.02,6.06,108,0.41623065,0.1576692,326.88437,0.23612939,1.0198433,0.037204999,2.8518071,5.7596822,41.802692,21.4272
393238,1.02,6.12,102,0.38855499,0.1771909,309.83652,0.26564428,1.0726899,0.037204999,2.4120331,5.2494097,39.032608,19.908001
393239,1.02,6.18,97,0.37654307,0.26045015,300.7717,0.30987331,1.1270491,0.037204999,1.5528601,4.2623587,38.41375,20.689199
393240,1.02,6.24,97,0.37340757,0.33939642,295.57657,0.36289519,1.1825038,0.037204999,1.0764846,3.7182865,41.442261,23.9076
393241,1.02,6.3,95,0.37140211,0.35537708,291.86398,0.41856703,1.2387737,0.037204999,1.0348234,3.6239519,44.437248,27.763201
393242,1.02,6.36,95,0.36962879,0.36887294,289.05322,0.47563803,1.2956648,0.037204999,1.0057231,3.5485377,48.824818,32.666401
393244,1.02,6.48,15,0.057310678,0.36407065,112.16331,0.11520194,0.3693634,0.047958001,0.49619147,1.406468,2.2768424,0.414
393245,1.02,6.54,27,0.10632419,0.14868526,25.403124,0.2126617,0.88806099,0.052954238,1.77925,2.9976921,7.8467522,3.9995999
393246,1.02,6.6,16,0.061660543,0.32615718,195.86905,0.041862439,0.27190483,0.051846001,0.52996063,1.5413282,1.9211541,0.26280001
393247,1.02,6.66,12,0.046087135,0.70595539,248.72038,0.11969248,0.26884133,0.0035959999,0.11030028,0.90574545,1.6031204,0.2412
393248,1.02,6.72,11,0.043364543,0.303821,195.78015,0.058373634,0.32129523,0.036008,0.49402601,1.3392555,1.4172535,0.22679999
393249,1.02,6.78,21,0.086208947,0.080803156,335.2037,0.23407117,1.2268126,0.051562998,2.54849,3.6615667,8.3149109,6.1560001
393254,1.02,7.08,30,0.12929586,0.29741424,131.54089,0.1030121,0.46634623,0.044693999,0.84003377,2.3373101,6.534482,1.7640001
393255,1.02,7.14,44,0.18821114,0.17274,2.3399734,0.18635021,1.1610692,0.104694,1.928979,3.7002509,17.139091,10.9584
393256,1.02,7.2,29,0.12775892,0.38674939,220.52951,0.091263354,0.42873189,0.059110999,0.52626532,2.0374444,6.0793762,1.5732
393258,1.02,7.32,31,0.11108093,0.4772391,142.54021,0.16105516,0.49432191,0.016128,0.34702945,1.7102385,6.6198921,1.728
393259,1.02,7.38,31,0.11048102,0.62261993,164.20985,0.13170826,0.39688209,0.076127999,0.13187715,1.4932663,6.0090775,1.4976
393260,1.02,7.44,31,0.11048102,0.62304032,191.25574,0.12922375,0.39314935,0.086560003,0.13137327,1.4927624,6.0090775,1.4976
393261,1.02,7.5,32,0.1109439,0.48015368,214.31447,0.15447707,0.48341441,0.026559999,0.34119457,1.703988,7.0885072,1.9476
393263,1.02,7.62,31,0.13144384,0.18353529,109.01436,0.069653876,0.90466177,0.047561999,1.3854785,2.9999585,7.056138,2.1168001
393264,1.02,7.68,43,0.18319514,0.22446826,357.63074,0.16582488,0.91823894,0.101322,1.5277562,3.2024653,15.323644,8.3951998
393265,1.02,7.74,30,0.12834771,0.35505393,238.58777,0.090339571,0.46813241,0.041322,0.64390188,2.1313355,6.5843391,1.7964
458757,1.08,5.1,96,0.33041692,0.18350826,67.509415,0.39730933,1.3450135,0.0039530001,2.3913634,4.7567272,40.601295,25.1784
458758,1.08,5.16,106,0.35281062,0.12068562,50.462887,0.34658951,1.475899,0.063952997,3.5723767,6.0610518,46.385155,31.0464
458759,1.08,5.22,106,0.36585209,0.11787035,29.116783,0.32644776,1.4737735,0.123953,3.6147087,6.2453303,44.244122,30.006001
458760,1.08,5.28,91,0.30321479,0.17560212,28.075935,0.18237583,0.94485611,0.18265399,2.3397508,4.6581688,27.01309,11.2032
458761,1.08,5.34,85,0.27950174,0.18854743,358.64526,0.14213949,0.87633091,0.156596,2.1475229,4.3160539,23.026556,8.2404003
458762,1.08,5.4,76,0.25529337,0.2987279,323.40634,0.1497626,0.68009162,0.096596003,1.213616,3.2770782,19.081429,5.8031998
458763,1.08,5.46,75,0.24092311,0.34057978,303.87164,0.20888856,0.7287432,0.036596,1.0471426,2.9814994,21.572535,7.5275998
458765,1.08,5.58,96,0.36771828,0.2661497,76.022842,0.40729055,1.2494228,0.055709001,1.4429644,4.1667705,44.043289,26.2584
458766,1.08,5.64,107,0.40962887,0.18939045,64.713531,0.28022543,1.1898226,0.097204998,2.3248451,5.2134013,46.63488,26.424
458767,1.08,5.7,106,0.41043162,0.21212094,59.262928,0.22370136,1.1302675,0.097204998,2.057461,4.930984,42.272018,22.107599
458768,1.08,5.76,107,0.40343085,0.2074025,54.086498,0.18276778,1.0707654,0.097204998,2.0923452,4.944046,39.946964,19.5804
458769,1.08,5.82,103,0.40214646,0.1890714,44.558029,0.15079111,1.0113267,0.097204998,2.2688663,5.1699238,35.414009,15.8688
458770,1.08,5.88,109,0.42215133,0.18236931,22.320324,0.14377387,0.94914526,0.097204998,2.4165764,5.3934064,38.042358,17.362801
458771,1.08,5.94,223,0.66537732,0.060661655,0.61590302,0.91525769,3.9282918,0.097204998,7.9380913,11.740371,289.69946,689.1264
458772,1.08,6,224,0.6684379,0.049149226,357.03442,0.91350007,3.9282432,0.097204998,9.2458096,13.073056,291.07288,690.66357
458773,1.08,6.06,112,0.42793292,0.12378414,322.57394,0.16797279,1.4098395,0.097204998,3.5399871,6.591136,42.291653,22.4604
458774,1.08,6.12,107,0.40557849,0.1355112,303.85785,0.19183896,1.305063,0.097204998,3.1952426,6.1327434,40.930889,22.370399
458775,1.08,6.18,105,0.39646938,0.16757818,294.25647,0.24506751,1.2008837,0.097204998,2.6359007,5.4525676,41.785637,23.6628
458776,1.08,6.24,99,0.38265297,0.21931858,287.22333,0.32660279,1.1625572,0.097204998,1.9618155,4.6824136,40.970612,24.209999
458777,1.08,6.3,97,0.37404954,0.34383181,283.68497,0.3987124,1.220737,0.097204998,1.0607817,3.6974003,43.954063,28.0296
458778,1.08,6.36,95,0.37124476,0.3665235,281.77899,0.45962787,1.2792237,0.056329999,1.0049542,3.5676658,47.19939,31.716
458781,1.08,6.54,30,0.10405004,0.15377438,32.95911,0.17509988,0.81735802,0.010777,1.8690321,2.915977,8.376338,3.7260001
458785,1.08,6.78,23,0.096088305,0.10067423,343.32858,0.30466807,1.1617888,0.018022999,2.4374273,3.4632277,9.6297836,6.0804
458790,1.08,7.08,28,0.12704811,0.3260617,147.94568,0.15606727,0.46473208,0.044693999,0.72754085,2.2127845,6.8744621,2.0699999
458791,1.08,7.14,47,0.19632719,0.17427905,3.3149729,0.13767922,1.1011139,0.063479595,1.9377403,3.7624657,18.369444,10.836
458792,1.08,7.2,27,0.12298597,0.30352432,202.71236,0.15676196,0.45936835,0.059110999,0.76611596,2.2565033,6.4463587,1.8936
458794,1.08,7.32,31,0.1101367,0.63095933,152.61044,0.20980741,0.4759855,0.016128,0.13134041,1.4810518,7.8891554,2.4191999
458795,1.08,7.38,31,0.1101367,0.63471085,169.15201,0.18967739,0.45318317,0.059783,0.126957,1.4766685,7.3505425,2.1888001
458796,1.08,7.44,31,0.1101367,0.63501489,187.68071,0.1879743,0.44991776,0.059783,0.12660345,1.4763149,7.3505425,2.1888001
458797,1.08,7.5,31,0.1101367,0.63185096,204.76642,0.20515758,0.47155207,0.026559999,0.13029508,1.4800066,7.8891554,2.4191999
458799,1.08,7.62,28,0.12116253,0.3886396,152.99495,0.14155117,0.45817024,0.047561999,0.46654621,1.979318,6.5660195,1.9044
458800,1.08,7.68,48,0.1933127,0.22497277,356.27045,0.12071927,0.85918391,0.065115348,1.5432297,3.2860198,16.834778,8.3196001
458801,1.08,7.74,32,0.12859029,0.32640937,220.01494,0.13605593,0.48147431,0.041322,0.73034251,2.2249882,8.0624018,2.4588001
524293,1.14,5.1,111,0.38217574,0.1487893,81.015427,0.49573264,1.7235507,0.0039530001,3.3466032,5.6813378,59.240154,50.796001
524294,1.14,5.16,121,0.41685399,0.10715426,72.269539,0.43004534,1.6636103,0.063952997,4.4412231,6.9918513,62.969753,52.127998
524295,1.14,5.22,129,0.45478097,0.10760485,58.808159,0.3782765,1.6036748,0.123953,4.4682751,7.2876945,68.018341,57.121201
524296,1.14,5.28,121,0.41035435,0.14232679,72.280609,0.31624714,1.5437443,0.183953,3.3201933,6.0192327,54.600521,39.985199
524297,1.14,5.34,120,0.40152004,0.13506858,70.642769,0.25591305,1.48382,0.156596,3.3533976,6.1119723,51.820988,35.632801
