Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
38,0.66,7.08,39,3.1210539,2.9476385,2.4979751,1866,16.140007,10.422
39,0.66,7.14,46,3.0592835,2.9421945,2.5196922,1866,24.591185,21.430799
40,0.66,7.2,35,3.0133913,2.9448831,2.5429115,1866,14.155408,8.9387999
42,0.66,7.32,35,3.6146576,2.9763923,2.5937293,1866,9.3400326,2.9663999
43,0.66,7.38,40,3.1423221,2.9974015,2.6212986,1866,10.208158,3.168
44,0.66,7.44,35,3.2702165,3.038969,2.6503134,1866,8.519104,2.5739999
45,0.66,7.5,35,3.3714812,3.0863745,2.6807427,1866,9.3400326,2.9663999
47,0.66,7.62,41,4.4980249,3.2298737,2.7455752,1866,21.502897,17.510401
48,0.66,7.68,44,4.0240855,3.2523708,2.7798841,1866,20.715557,15.2964
49,0.66,7.74,43,3.8348594,3.2977507,2.8154132,1866,19.489054,13.266
65574,0.72,7.08,42,3.1262906,2.8897932,2.4494576,1866,15.990151,9.6912003
65575,0.72,7.14,52,3.0499222,2.883599,2.4714913,1866,25.002892,20.0268
65576,0.72,7.2,42,2.9773252,2.8856754,2.4950666,1866,14.466287,8.3808002
65578,0.72,7.32,41,3.1450958,2.9183285,2.5467005,1866,9.3273106,2.5488
65579,0.72,7.38,42,3.3349903,2.9623008,2.574724,1866,8.9652472,2.3508
65580,0.72,7.44,42,3.4200163,3.0119362,2.6042299,1866,8.9652472,2.3508
65581,0.72,7.5,40,3.4601896,3.0628936,2.6351864,1866,8.9661274,2.4300001
65583,0.72,7.62,48,3.7132907,3.1701655,2.70116,1866,20.633551,14.616
65584,0.72,7.68,49,3.4967859,3.2217968,2.7360833,1866,20.80439,14.1624
65585,0.72,7.74,47,3.5681319,3.2645454,2.7722585,1866,19.862686,12.7872
131110,0.78,7.08,47,3.1387815,2.8326256,2.4019065,1866,16.967953,9.3240004
131111,0.78,7.14,55,3.0505393,2.8257985,2.4242899,1866,24.526804,18.4032
131112,0.78,7.2,48,2.9634998,2.8285327,2.4482405,1866,15.603705,8.2116003
131113,0.78,7.26,45,2.8742712,2.8402731,2.4737337,1866,11.063578,3.5208001
131114,0.78,7.32,46,3.6149209,2.8940814,2.5007184,1866,9.518342,2.3759999
131115,0.78,7.38,46,3.6141622,2.9481008,2.5292106,1866,9.0021734,2.1240001
131116,0.78,7.44,45,3.616262,3.0018089,2.5592134,1866,8.6790638,2.0195999
131117,0.78,7.5,47,3.614965,3.0546856,2.5906918,1866,9.8242826,2.4696
131118,0.78,7.56,31,3.6219337,3.1072688,2.62358,1866,6.8200483,1.9188
131119,0.78,7.62,56,3.5814669,3.1586556,2.6577969,1866,21.184479,12.8196
131120,0.78,7.68,53,3.6472456,3.2007489,2.6933265,1866,21.590048,14.202
131121,0.78,7.74,50,3.3054135,3.2301607,2.7301271,1866,19.565773,11.7216
196646,0.84,7.08,34,3.1614492,2.7763424,2.3553994,1866,8.7625027,3.6143999
196647,0.84,7.14,46,3.0570707,2.7688174,2.3781619,1866,19.160961,14.508
196648,0.84,7.2,36,2.9604347,2.7729592,2.4025207,1866,10.687263,5.9580002
196650,0.84,7.32,36,4.5633278,2.9508777,2.4558742,1866,7.1586061,1.7460001
196651,0.84,7.38,35,4.0955591,2.971884,2.4848359,1866,5.9324508,1.2348
196652,0.84,7.44,38,3.913414,3.0160172,2.5153375,1866,6.8484983,1.5264
196653,0.84,7.5,35,3.8586071,3.0668869,2.5473466,1866,6.9112196,1.6848
196655,0.84,7.62,38,3.5528052,3.1716688,2.6155677,1866,13.443433,8.0388002
